 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16
89	184.591	184.591	176.547	177.988	171.496	180.037	173.568	182.279	184.066	181.603	176.794	183.768	186.957	186.715	192.997	189.701
90	178.968	178.968	181.054	175.158	170.135	178.355	177.865	181.495	180.679	182.620	180.063	183.905	187.788	187.172	192.260	188.066
91	173.861	173.861	178.569	179.091	170.982	175.696	178.281	180.410	174.023	180.893	186.097	189.221	184.662	185.601	189.909	193.400
92	178.036	178.036	173.530	178.696	168.424	175.588	174.456	182.554	181.801	182.160	183.697	183.145	184.518	187.469	195.018	190.790
93	178.781	178.781	177.216	177.712	168.321	179.987	178.647	183.211	180.155	189.324	183.877	187.321	180.251	186.730	196.672	193.643
94	180.210	180.210	178.956	176.674	173.708	178.249	176.646	182.159	181.591	191.252	183.935	192.173	186.239	184.899	191.560	194.962
95	181.601	181.601	175.337	174.936	169.509	182.754	173.099	187.390	178.149	191.774	189.316	190.119	188.964	186.218	193.514	198.122
96	179.864	179.864	176.809	180.760	172.743	176.283	179.608	186.074	183.790	191.620	181.793	189.731	189.106	196.365	197.209	196.708
97	186.886	186.886	180.481	179.975	167.310	180.127	182.060	181.754	180.783	191.180	189.787	189.191	184.740	187.009	197.698	195.311
98	175.227	175.227	185.132	180.778	169.703	175.179	175.175	178.043	180.560	191.753	185.882	181.040	180.870	188.284	189.508	197.601
99	183.609	183.609	184.613	176.625	171.287	176.890	174.872	183.189	181.007	189.708	184.625	181.790	181.135	186.495	188.759	194.753
100	182.624	182.624	183.942	177.337	174.700	180.893	176.346	184.304	179.169	183.579	186.570	186.036	179.952	187.646	188.579	195.658
101	184.861	184.861	179.252	176.786	174.906	184.017	175.172	184.868	183.342	181.477	182.281	190.473	182.262	188.668	188.864	188.562
102	181.846	181.846	182.438	179.820	174.852	184.704	178.192	185.514	180.476	190.107	186.591	183.356	185.311	191.461	187.181	188.215
103	186.383	186.383	185.157	184.490	174.115	185.982	177.299	183.025	186.358	181.179	183.675	186.160	187.495	190.933	188.095	192.258
104	185.231	185.231	186.592	181.155	170.643	184.750	175.374	179.265	178.208	182.253	180.712	184.466	189.226	189.383	187.720	194.299
105	189.609	189.609	188.182	176.999	178.442	184.327	177.206	179.957	185.526	185.755	186.684	189.801	185.787	191.434	195.353	193.138
106	190.252	190.252	185.252	176.059	178.227	179.526	179.528	180.700	186.522	186.332	188.269	191.979	187.742	191.985	191.985	191.045
107	184.770	184.770	189.748	178.014	174.439	179.354	176.173	182.979	183.946	188.382	183.234	188.002	187.820	194.630	194.949	191.506
108	185.952	185.952	184.847	180.371	173.180	180.592	174.932	181.935	189.136	190.619	182.994	183.987	181.080	196.258	193.966	185.201
109	185.172	185.172	177.214	178.209	174.254	177.158	177.035	187.631	187.655	190.313	186.880	190.874	183.437	188.598	190.666	190.996
110	192.091	192.091	186.176	182.035	172.567	180.662	177.927	188.077	188.052	192.366	184.562	193.071	187.344	187.670	196.670	193.746
111	191.284	191.284	182.710	179.522	172.006	180.821	175.502	185.979	188.649	189.344	183.314	193.557	181.846	188.699	193.142	194.329
112	182.350	182.350	183.509	184.183	174.697	185.375	177.740	190.788	188.292	193.208	184.900	188.909	185.514	189.540	187.451	190.564
113	187.018	187.018	189.134	186.841	176.773	181.590	181.131	190.702	183.488	191.326	191.584	186.165	184.160	191.213	186.313	196.427
114	188.500	188.500	186.663	177.452	171.977	186.249	180.125	188.156	187.865	191.315	190.997	189.249	185.878	190.041	192.424	189.756
115	186.608	186.608	185.221	177.817	172.819	185.466	182.842	190.336	188.275	191.711	189.520	184.215	180.970	187.623	198.964	191.788
116	184.333	184.333	187.091	184.810	180.399	184.391	187.181	197.562	186.505	187.903	188.097	185.810	181.219	184.768	193.122	192.416
117	185.360	185.360	181.739	178.607	181.136	189.041	177.130	190.987	185.791	185.673	185.163	183.302	184.274	188.858	192.155	184.652
118	187.589	187.589	181.895	177.618	179.408	185.040	177.071	191.957	181.134	189.332	182.249	181.328	178.822	184.789	189.430	192.053
119	184.635	184.635	182.178	178.050	179.433	183.459	182.531	183.223	182.865	182.829	187.063	179.171	181.391	180.761	190.935	191.361
120	181.030	181.030	186.468	177.657	181.246	184.642	187.722	185.174	187.888	181.066	179.832	176.910	180.972	181.577	185.619	189.822
121	179.962	179.962	185.597	179.541	175.085	182.287	184.560	182.427	182.050	180.257	180.406	178.532	175.790	179.524	189.406	189.889
122	190.340	190.340	187.996	183.578	172.726	178.834	176.906	181.001	178.815	179.839	180.372	185.018	183.547	178.412	187.846	192.655
123	189.212	189.212	182.884	177.612	169.838	181.396	176.366	186.053	181.039	178.320	178.839	183.470	177.965	181.221	186.422	186.301
124	189.132	189.132	183.408	178.091	173.276	183.623	180.916	182.490	184.670	184.036	181.136	176.885	177.641	180.562	183.682	187.428
125	182.566	182.566	181.758	175.475	172.610	181.220	186.243	186.005	182.772	179.156	180.201	173.299	178.400	186.821	183.982	185.128
126	183.951	183.951	182.340	175.325	172.392	175.218	180.851	180.533	174.412	177.822	174.533	178.211	179.082	180.886	189.425	189.787
127	188.028	188.028	182.183	174.634	174.882	179.592	177.088	178.976	177.392	179.353	177.349	173.352	179.664	180.243	193.138	189.737
128	184.386	184.386	176.346	174.784	171.120	178.517	175.538	174.950	176.575	175.262	181.116	180.465	176.480	179.152	187.994	189.239
129	180.374	180.374	180.336	176.480	170.854	179.050	170.809	180.209	175.922	176.376	177.139	177.121	176.159	184.240	193.339	184.222
130	176.992	176.992	177.119	175.155	171.733	173.614	167.847	177.640	175.465	182.474	173.112	172.824	176.716	175.703	184.258	189.645
131	177.867	177.867	175.242	173.655	165.812	178.993	174.772	176.467	176.811	177.620	175.447	174.856	174.687	176.439	182.370	193.103
132	176.383	176.383	176.321	179.207	169.653	182.670	174.711	176.638	173.808	177.628	179.116	176.085	177.140	174.128	181.449	195.314
133	173.825	173.825	168.229	177.786	169.660	175.464	171.114	172.948	178.093	173.868	176.483	175.401	173.729	179.195	185.490	192.611
