 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
96	251.317	251.317	237.684	245.701	242.485	241.039	223.985	247.321	231.883	232.177	227.966	225.491
97	248.723	248.723	246.725	242.873	244.539	243.036	228.356	234.931	236.160	236.131	236.026	225.075
98	252.997	252.997	240.429	251.822	235.864	242.071	238.553	235.186	231.702	235.167	238.716	225.933
99	252.553	252.553	254.582	250.646	242.590	245.143	240.181	239.399	244.061	236.499	239.348	238.800
100	248.186	248.186	248.511	245.749	243.414	259.215	239.717	236.784	239.968	234.110	240.045	237.441
101	255.559	255.559	252.815	244.037	243.947	247.048	245.652	232.793	245.699	235.085	240.307	229.042
102	257.451	257.451	250.143	248.458	250.300	248.693	249.998	230.967	243.156	245.588	240.499	234.961
103	250.983	250.983	248.347	248.431	247.949	253.069	243.748	236.061	253.860	233.458	242.473	236.816
104	259.989	259.989	255.881	264.183	261.377	259.331	245.935	240.496	255.954	240.946	238.953	249.585
105	268.444	268.444	253.303	257.176	261.005	258.548	252.578	237.827	254.785	240.858	239.034	242.127
106	265.649	265.649	256.440	256.375	259.358	251.462	240.511	244.932	247.481	246.703	248.781	237.228
107	275.364	275.364	263.709	266.961	260.527	256.712	255.088	248.794	254.141	245.008	245.883	237.234
108	276.896	276.896	272.241	268.290	260.389	266.136	245.760	256.007	260.176	242.865	240.741	241.041
109	271.541	271.541	277.181	278.053	258.455	253.223	247.973	257.605	263.303	249.260	244.257	247.044
110	280.095	280.095	282.315	280.403	263.652	258.096	262.170	259.500	260.970	246.225	247.920	252.222
111	281.555	281.555	279.654	285.321	269.345	261.821	267.846	259.875	269.532	240.393	251.315	248.547
112	290.647	290.647	280.233	297.578	261.140	274.166	268.929	263.555	275.792	250.991	261.806	250.600
113	300.274	300.274	283.537	297.881	267.265	273.515	271.984	272.906	275.075	258.565	265.654	250.023
114	291.374	291.374	295.707	287.522	269.771	260.314	277.825	277.099	279.464	255.075	259.061	247.961
115	285.156	285.156	296.829	292.946	274.999	270.070	272.346	284.137	288.529	254.951	259.175	247.144
116	280.775	280.775	288.644	305.444	281.678	272.195	274.067	283.479	281.843	271.142	258.521	248.262
117	279.524	279.524	296.198	285.209	289.069	273.491	273.660	276.401	278.879	266.934	251.581	252.538
118	273.585	273.585	287.278	292.796	287.789	267.903	272.267	271.211	275.447	283.390	260.851	255.432
119	273.590	273.590	278.276	280.164	279.288	280.157	265.199	267.030	270.819	282.107	276.617	255.758
120	273.413	273.413	282.423	274.450	280.288	284.423	260.901	266.935	269.417	285.210	272.991	262.600
121	280.603	280.603	283.604	275.620	274.160	281.819	273.314	265.634	274.252	287.511	284.414	264.552
122	275.443	275.443	278.978	273.410	275.858	277.444	273.463	271.903	272.149	279.325	282.283	273.683
123	288.137	288.137	280.672	273.722	282.889	280.463	276.715	276.728	279.013	279.735	272.808	275.152
124	288.607	288.607	282.311	269.067	272.167	281.554	283.367	286.915	289.419	277.326	278.990	275.362
125	286.212	286.212	287.035	288.283	274.579	279.703	288.623	272.466	278.429	277.386	270.621	284.514
126	292.673	292.673	281.445	291.824	289.700	291.119	286.698	277.669	282.568	282.176	267.967	286.372
127	296.837	296.837	285.884	283.842	285.333	288.970	290.468	273.966	297.959	280.713	260.618	283.493
128	294.342	294.342	294.308	281.700	281.601	291.514	289.657	279.670	289.501	284.524	279.978	285.648
129	294.673	294.673	288.771	290.382	285.757	295.292	286.827	281.356	288.713	278.517	280.819	281.550
130	284.860	284.860	300.306	292.572	288.942	294.051	290.579	289.780	285.349	278.607	291.036	289.917
131	297.231	297.231	290.660	292.042	278.897	285.640	290.511	278.783	278.028	289.153	287.379	287.905
132	299.293	299.293	289.423	297.630	293.241	284.101	297.152	285.410	283.050	280.006	287.206	293.139
133	297.455	297.455	301.665	295.296	288.023	300.184	290.408	296.901	282.985	287.504	282.290	292.642
134	304.545	304.545	291.210	300.514	280.260	296.459	297.539	296.266	287.472	285.408	287.300	287.103
135	294.396	294.396	297.568	304.037	292.063	299.771	293.863	290.004	282.715	290.303	283.635	293.737
136	294.213	294.213	309.911	312.612	290.446	297.965	294.453	299.423	280.987	301.482	301.884	299.007
137	298.357	298.357	305.439	302.898	293.535	293.890	291.363	298.309	280.915	294.148	301.419	293.531
138	298.800	298.800	312.121	313.325	307.974	302.839	303.457	291.718	293.255	303.617	285.524	287.856
139	307.312	307.312	306.111	333.560	291.129	301.979	306.165	298.898	291.487	301.353	300.485	298.534
