 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22	Profile_Slice_23	Profile_Slice_24
64	184.628	184.628	181.427	181.990	181.203	181.797	183.642	181.948	175.164	182.440	185.029	183.956	194.905	180.528	184.387	184.534	183.931	183.718	186.861	184.689	183.852	182.126	183.570	185.477
65	183.608	183.608	177.343	181.317	176.498	186.447	182.395	188.122	184.740	181.464	182.391	188.548	189.473	184.046	178.479	186.438	186.254	183.013	183.815	184.737	179.321	188.101	185.362	184.777
66	183.110	183.110	179.864	182.312	180.224	187.398	185.694	179.035	179.617	184.786	176.906	181.904	185.272	184.338	182.010	181.284	181.784	181.456	183.552	178.932	186.367	185.505	189.491	180.288
67	184.391	184.391	182.589	177.446	185.035	181.903	178.324	181.325	184.711	183.561	182.571	177.983	187.822	180.629	183.810	183.218	177.592	187.129	181.818	182.234	184.323	187.133	182.176	180.475
68	186.686	186.686	178.310	187.729	182.212	183.681	179.420	180.761	187.401	187.295	182.045	183.994	192.385	188.476	182.551	183.805	181.885	181.798	176.908	179.463	182.545	183.444	185.032	180.725
69	181.617	181.617	182.625	186.937	179.873	182.299	181.039	178.660	180.197	182.744	176.542	185.866	194.242	184.073	187.185	185.403	182.611	182.741	180.181	184.928	186.493	190.949	188.057	182.283
70	187.280	187.280	182.068	182.014	179.098	180.333	182.856	182.515	177.577	186.559	180.077	185.909	192.352	180.567	180.767	184.375	184.995	184.953	183.600	184.656	186.918	188.432	185.125	180.148
71	184.952	184.952	186.520	181.155	186.491	186.121	181.070	187.264	181.255	185.155	184.079	184.185	192.036	186.820	188.311	184.118	187.083	188.366	187.251	179.308	194.901	186.732	190.300	183.782
72	192.010	192.010	184.971	186.339	184.756	186.094	186.999	183.915	182.907	191.122	184.258	180.217	191.783	189.386	188.106	182.196	189.384	184.309	187.780	180.749	185.168	185.765	182.715	183.146
73	187.628	187.628	184.964	182.672	182.593	180.483	183.261	184.980	178.159	186.401	185.677	182.139	196.214	186.047	185.247	181.429	190.802	186.198	187.232	180.034	188.373	187.481	181.754	184.934
74	185.381	185.381	181.275	183.436	180.679	182.201	177.657	179.432	181.681	182.791	184.425	183.490	194.049	188.726	185.005	182.507	189.712	183.924	186.945	182.021	185.640	184.127	183.955	186.454
75	185.656	185.656	183.084	184.353	180.318	183.134	180.980	179.192	185.773	183.246	178.527	182.543	191.461	185.379	181.753	182.668	189.016	183.298	191.145	186.397	187.640	186.538	179.875	186.799
76	185.321	185.321	189.474	189.075	179.413	182.601	182.449	179.360	185.697	185.458	188.398	179.496	191.165	188.120	184.298	184.140	182.350	189.873	187.381	186.286	188.591	191.523	185.618	185.772
