 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4
258	268.074	268.074	259.212	256.020
259	271.249	271.249	263.878	262.452
260	268.140	268.140	250.302	258.832
261	264.494	264.494	251.965	257.314
262	264.208	264.208	259.060	260.039
263	265.444	265.444	258.782	259.329
264	262.628	262.628	253.075	257.642
265	267.783	267.783	255.281	248.898
266	256.135	256.135	260.612	250.923
267	260.104	260.104	253.292	254.726
268	262.078	262.078	261.440	249.603
269	266.881	266.881	251.965	250.739
270	278.796	278.796	250.566	252.977
271	272.222	272.222	253.463	255.856
272	276.857	276.857	263.165	254.251
273	270.272	270.272	252.703	250.036
274	267.110	267.110	253.867	260.005
275	270.704	270.704	255.722	257.796
276	264.975	264.975	261.854	252.439
277	269.944	269.944	252.050	255.483
278	266.473	266.473	251.177	242.072
279	272.776	272.776	251.797	255.528
280	261.210	261.210	245.829	256.772
281	261.399	261.399	252.273	255.948
282	268.796	268.796	251.823	248.358
283	265.139	265.139	247.514	255.397
284	260.495	260.495	254.464	254.308
285	268.272	268.272	249.590	253.941
286	264.830	264.830	247.568	245.040
287	250.376	250.376	247.925	257.442
288	262.305	262.305	246.918	254.990
289	259.773	259.773	243.635	247.396
290	265.698	265.698	252.221	248.622
291	261.580	261.580	249.790	255.624
292	259.162	259.162	251.730	250.115
293	251.944	251.944	260.390	253.795
294	269.214	269.214	262.648	253.087
295	264.361	264.361	253.626	252.129
296	248.997	248.997	252.290	250.699
297	259.858	259.858	244.818	248.564
298	249.413	249.413	251.634	251.730
299	248.806	248.806	257.040	246.189
300	265.773	265.773	250.058	251.456
301	272.546	272.546	243.945	257.325
302	258.931	258.931	251.206	251.492
303	258.282	258.282	251.057	249.989
304	266.625	266.625	253.200	253.953
305	268.259	268.259	267.061	253.277
306	259.419	259.419	260.335	245.781
307	259.220	259.220	252.617	247.742
308	264.878	264.878	253.542	243.970
