 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
139	1602.946	1602.946	1646.158	1668.599	1661.823	1712.282	1789.061	1784.038	1745.287
140	1568.018	1568.018	1657.764	1658.852	1652.744	1727.577	1763.058	1799.603	1735.760
141	1572.188	1572.188	1631.786	1614.548	1626.325	1701.371	1765.129	1797.472	1751.549
142	1553.239	1553.239	1607.518	1617.544	1609.988	1673.860	1753.758	1775.420	1703.136
143	1528.597	1528.597	1590.078	1583.543	1593.233	1648.629	1698.038	1749.848	1699.193
144	1525.228	1525.228	1607.061	1567.389	1595.219	1652.327	1722.810	1769.575	1681.949
145	1536.793	1536.793	1580.987	1570.673	1591.047	1608.494	1688.935	1756.208	1668.403
146	1521.592	1521.592	1580.140	1573.412	1582.366	1631.577	1671.394	1710.404	1645.384
147	1497.129	1497.129	1575.670	1562.323	1578.652	1620.069	1684.159	1695.498	1647.815
148	1501.185	1501.185	1571.013	1561.133	1580.917	1607.715	1688.937	1679.998	1640.202
149	1488.621	1488.621	1530.503	1571.100	1575.810	1589.359	1661.123	1664.619	1629.773
150	1493.462	1493.462	1539.592	1548.477	1529.897	1592.999	1633.649	1660.253	1600.090
151	1471.357	1471.357	1542.120	1553.114	1540.379	1578.925	1609.409	1644.605	1571.736
152	1479.559	1479.559	1538.018	1563.654	1557.000	1579.082	1623.857	1650.561	1586.665
153	1465.218	1465.218	1525.094	1549.187	1550.358	1556.990	1607.291	1619.891	1573.432
154	1452.943	1452.943	1519.975	1574.201	1573.109	1569.038	1606.130	1626.085	1572.112
155	1461.648	1461.648	1526.662	1547.313	1558.479	1559.158	1613.265	1610.496	1566.444
156	1452.620	1452.620	1508.022	1547.241	1549.544	1578.332	1586.800	1598.088	1555.792
157	1461.674	1461.674	1514.701	1580.221	1544.903	1548.473	1581.509	1567.187	1552.446
158	1459.085	1459.085	1481.721	1560.447	1561.153	1555.410	1583.191	1574.429	1570.064
159	1461.365	1461.365	1497.661	1552.563	1533.886	1564.955	1572.630	1585.649	1558.664
160	1447.962	1447.962	1498.697	1568.783	1527.644	1547.374	1555.050	1582.192	1551.417
161	1428.992	1428.992	1490.231	1582.974	1534.988	1561.578	1542.660	1555.458	1556.870
162	1460.066	1460.066	1511.259	1608.399	1529.681	1528.060	1553.518	1543.706	1550.942
163	1449.470	1449.470	1500.826	1618.816	1548.560	1523.623	1546.383	1537.306	1538.012
164	1455.371	1455.371	1513.919	1607.057	1545.557	1528.936	1558.232	1545.631	1513.926
165	1477.376	1477.376	1519.360	1614.763	1554.228	1532.770	1561.499	1547.974	1549.538
166	1461.356	1461.356	1502.141	1617.424	1538.492	1541.533	1546.945	1534.858	1554.147
167	1472.467	1472.467	1505.400	1622.639	1529.955	1534.118	1529.932	1515.983	1557.183
168	1468.623	1468.623	1525.507	1616.605	1538.945	1517.642	1558.892	1514.167	1534.553
169	1460.850	1460.850	1498.002	1599.580	1547.075	1520.542	1563.014	1511.102	1552.960
170	1472.446	1472.446	1523.746	1623.892	1554.015	1536.097	1560.232	1499.441	1543.781
171	1493.166	1493.166	1524.879	1619.144	1558.999	1516.450	1550.607	1510.587	1526.461
172	1482.918	1482.918	1533.477	1620.866	1567.103	1526.355	1566.034	1513.322	1548.536
173	1487.930	1487.930	1515.162	1611.098	1581.447	1541.468	1556.202	1546.095	1545.389
174	1490.425	1490.425	1536.978	1606.118	1594.504	1541.054	1556.259	1545.898	1544.357
175	1475.955	1475.955	1535.621	1582.635	1603.618	1533.852	1538.463	1523.708	1554.610
176	1478.969	1478.969	1547.294	1591.061	1607.259	1534.012	1539.242	1513.864	1549.474
177	1476.008	1476.008	1538.797	1567.416	1616.611	1501.208	1540.168	1545.156	1548.225
178	1476.323	1476.323	1559.346	1553.495	1615.240	1539.312	1528.559	1527.951	1563.108
179	1476.660	1476.660	1561.185	1578.275	1600.771	1530.893	1547.711	1535.009	1551.444
180	1477.903	1477.903	1568.373	1553.697	1576.068	1506.455	1556.585	1530.365	1547.443
181	1484.607	1484.607	1544.895	1521.516	1581.946	1536.475	1583.711	1541.658	1545.652
182	1492.619	1492.619	1554.068	1534.742	1566.796	1538.335	1534.052	1545.341	1538.975
183	1496.586	1496.586	1532.624	1526.529	1579.194	1529.149	1536.304	1504.236	1526.202
184	1511.731	1511.731	1524.680	1554.481	1594.083	1515.056	1540.944	1503.175	1553.070
185	1470.899	1470.899	1515.065	1524.716	1568.136	1551.733	1549.557	1505.930	1506.186
186	1445.739	1445.739	1505.638	1538.926	1545.388	1543.988	1540.675	1522.570	1514.140
187	1440.534	1440.534	1503.030	1532.643	1552.567	1524.641	1539.303	1524.134	1532.800
188	1448.320	1448.320	1483.511	1519.919	1543.116	1537.205	1535.814	1527.441	1516.788
189	1469.685	1469.685	1478.994	1514.618	1539.794	1524.935	1530.604	1521.117	1524.431
190	1449.795	1449.795	1483.767	1494.967	1536.079	1536.095	1537.836	1489.474	1528.204
191	1454.411	1454.411	1488.663	1490.442	1532.080	1528.099	1520.412	1478.519	1507.740
192	1457.044	1457.044	1461.686	1503.845	1525.879	1531.409	1521.172	1498.943	1518.818
193	1427.668	1427.668	1475.939	1492.382	1514.855	1512.789	1529.543	1522.627	1495.811
194	1418.434	1418.434	1466.535	1479.059	1540.546	1511.409	1502.364	1508.175	1498.024
195	1398.868	1398.868	1472.202	1462.897	1523.911	1535.236	1496.060	1498.444	1489.134
