 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
207	514.501	533.817	513.073	526.600	529.285	505.215	525.353
208	521.400	517.980	515.190	522.454	520.875	526.467	527.878
209	511.536	518.658	515.850	505.389	518.568	520.568	528.007
210	511.219	516.815	520.012	506.544	520.587	520.249	518.559
211	510.651	518.152	515.510	520.437	510.200	526.763	498.976
212	513.135	508.345	515.566	523.075	516.270	532.286	515.579
213	510.805	514.516	514.679	518.682	513.951	515.077	519.791
214	510.719	521.377	506.516	519.725	512.212	513.922	517.633
215	516.334	518.153	510.850	517.692	520.177	522.087	518.959
216	510.944	509.563	493.888	515.350	522.588	519.636	517.163
217	506.285	502.547	517.849	516.943	513.698	512.860	518.557
218	517.732	509.810	514.965	521.590	520.309	513.357	523.773
219	511.659	513.153	500.505	514.987	514.372	501.041	524.868
220	521.843	520.224	505.253	514.841	514.455	525.366	518.031
221	515.887	515.644	503.340	512.515	521.307	521.551	520.184
222	521.617	523.367	504.633	516.984	519.988	505.679	518.043
223	506.707	520.509	492.862	517.254	510.896	519.843	516.063
224	522.623	511.550	498.382	517.812	514.518	520.582	515.172
225	527.281	520.409	514.456	509.346	522.069	519.134	523.892
226	522.251	510.772	506.907	512.801	514.459	515.964	515.276
227	516.919	505.613	497.807	513.011	512.640	526.724	523.112
228	525.166	510.296	497.982	519.955	519.824	525.660	521.025
229	514.513	503.608	514.255	514.909	514.609	516.183	516.575
230	512.133	521.380	513.452	515.560	516.776	524.974	524.218
231	516.896	508.373	509.820	511.611	522.662	518.710	534.641
232	504.528	513.229	515.277	519.186	525.404	514.952	511.718
233	518.388	525.430	502.364	505.752	524.162	501.314	514.693
234	514.354	519.768	503.754	511.207	525.320	505.147	524.521
235	512.919	514.950	507.512	510.389	511.933	510.225	516.634
236	514.302	516.717	502.290	516.298	520.025	518.970	516.882
237	516.811	516.931	500.120	523.957	520.032	517.448	509.855
238	514.568	512.380	514.002	521.502	508.002	512.614	511.636
239	510.727	519.022	512.325	514.244	515.171	512.761	511.674
240	511.162	514.883	510.448	510.999	521.193	519.811	509.504
241	515.495	519.223	492.683	502.357	515.552	508.368	515.373
242	502.346	505.454	515.893	506.427	521.869	513.978	518.713
243	512.231	515.613	508.168	520.249	512.308	524.027	516.547
244	518.317	517.478	512.023	509.593	512.588	513.090	510.313
245	518.966	516.787	502.668	509.937	504.010	517.413	515.289
