 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
78	180.238	180.238	187.266	184.497	190.077	187.128	189.753	187.339	181.433	187.188	189.491	183.532	190.638	183.686
79	184.333	184.333	186.467	190.801	184.098	189.157	184.503	183.875	184.519	187.353	189.629	180.745	183.421	189.163
80	178.348	178.348	188.848	186.280	182.404	189.321	183.581	188.275	183.191	174.239	190.538	185.542	184.636	188.711
81	185.637	185.637	185.135	190.186	191.047	193.592	185.205	184.698	183.285	183.245	186.096	182.399	182.073	183.667
82	184.829	184.829	185.570	182.426	186.602	186.328	190.059	187.812	183.533	187.295	181.281	184.975	181.232	184.574
83	181.324	181.324	186.381	178.554	183.079	186.372	189.462	189.805	187.360	187.514	188.791	187.646	185.419	183.620
84	179.800	179.800	182.980	179.405	181.372	186.502	187.501	183.110	187.216	184.220	185.945	183.878	188.315	180.738
85	179.794	179.794	185.014	183.346	180.853	188.382	188.211	184.871	187.622	185.499	180.067	186.703	184.423	184.604
86	183.205	183.205	186.129	187.892	182.960	185.660	188.359	184.147	187.487	189.595	181.258	188.371	186.306	180.557
87	187.225	187.225	183.299	183.923	182.213	193.417	185.261	179.844	185.151	190.292	188.295	188.194	183.164	184.338
88	180.246	180.246	181.352	181.255	183.254	192.711	183.782	183.729	180.475	185.190	185.435	183.659	185.169	184.251
89	181.140	181.140	179.394	186.394	184.101	185.399	184.100	181.555	185.751	184.647	181.630	185.326	183.332	183.759
90	181.118	181.118	181.931	187.962	184.994	184.627	181.415	181.594	186.814	184.633	184.164	185.719	189.222	178.261
91	180.902	180.902	186.664	184.478	190.564	184.419	184.078	184.221	182.822	191.129	187.778	186.668	183.952	181.427
92	179.465	179.465	183.462	184.784	187.593	182.255	180.255	189.787	187.368	182.943	185.119	185.284	180.996	179.223
93	174.965	174.965	186.049	183.800	180.630	184.736	187.431	189.998	183.026	185.692	183.056	183.233	182.173	179.079
94	177.964	177.964	182.043	187.998	185.025	184.601	179.814	183.672	184.365	182.066	182.188	185.169	181.937	175.556
95	181.841	181.841	183.524	188.362	185.180	187.817	184.892	184.574	186.856	185.108	179.853	183.498	183.477	183.146
96	177.470	177.470	187.744	184.600	180.567	185.239	186.919	181.922	183.651	191.066	178.011	181.898	185.649	182.848
97	181.465	181.465	182.143	185.837	179.308	182.459	185.706	182.089	181.012	182.365	188.618	191.830	179.624	180.527
98	185.306	185.306	185.411	188.280	181.866	185.043	185.865	180.827	181.366	184.060	188.235	194.062	183.771	182.429
99	180.892	180.892	185.339	184.445	185.179	179.008	180.133	181.009	185.188	181.597	179.893	181.573	185.683	178.483
100	178.063	178.063	184.902	181.327	185.225	182.208	176.655	181.633	183.033	183.473	178.931	179.786	187.808	181.965
101	182.972	182.972	181.888	181.033	188.878	181.892	179.544	189.595	183.614	181.215	183.195	183.274	184.151	179.097
102	179.658	179.658	179.602	181.640	189.764	184.030	184.968	180.802	181.925	182.295	185.339	183.349	186.992	177.768
103	180.140	180.140	178.576	184.154	182.542	184.409	182.119	180.226	180.689	180.909	180.772	187.155	185.486	180.174
104	179.325	179.325	178.710	185.772	181.896	186.189	178.492	179.448	181.652	186.941	182.431	178.749	182.676	177.853
105	181.038	181.038	178.906	177.489	184.471	185.933	184.604	182.278	178.987	182.314	182.091	183.133	185.552	177.049
106	175.767	175.767	178.524	180.733	182.859	182.957	177.419	182.295	184.351	178.727	179.262	183.347	176.716	183.667
107	178.915	178.915	181.775	177.632	185.615	179.084	186.055	186.167	185.579	185.301	181.332	177.018	185.915	177.725
108	180.928	180.928	179.110	181.772	180.976	178.425	187.991	182.796	186.648	180.502	181.793	184.009	181.952	175.813
109	180.123	180.123	184.664	183.537	178.460	178.278	182.560	184.239	183.190	181.472	182.440	183.719	181.042	175.195
110	186.165	186.165	184.168	184.832	184.477	185.445	181.239	181.549	178.503	183.570	179.262	182.837	182.924	175.204
111	180.453	180.453	179.047	179.046	184.126	184.853	184.975	186.440	178.245	174.831	183.203	183.312	180.867	176.482
112	184.310	184.310	182.468	177.046	186.978	177.081	181.272	183.335	181.696	181.098	181.994	186.552	179.365	181.571
113	185.009	185.009	179.966	177.106	184.515	184.886	179.424	178.808	185.977	185.027	185.483	186.246	186.191	180.759
114	180.165	180.165	179.133	180.272	185.538	181.565	181.621	179.640	183.670	186.961	187.211	184.978	189.246	186.399
115	177.756	177.756	183.495	177.107	182.557	181.899	178.968	181.100	185.111	184.965	188.813	185.584	183.769	179.072
116	174.462	174.462	176.471	182.169	189.674	183.979	180.888	187.250	185.910	178.500	191.445	179.135	178.942	179.789
117	177.853	177.853	176.327	181.840	181.970	183.060	179.200	184.032	181.296	176.595	185.540	181.983	183.861	183.220
118	177.839	177.839	181.324	184.359	185.490	183.989	176.473	179.781	179.876	178.391	182.662	177.627	185.556	179.645
119	177.762	177.762	183.041	183.604	183.460	180.859	189.538	184.046	184.095	177.433	180.625	176.097	189.164	182.741
120	181.905	181.905	183.250	181.480	180.063	180.511	187.405	183.108	182.862	179.548	180.031	177.607	182.589	179.851
121	177.106	177.106	180.586	184.754	181.190	186.550	181.622	177.988	174.067	180.760	180.247	182.989	179.975	178.859
122	171.651	171.651	179.066	180.915	177.982	184.972	181.134	181.629	177.746	175.169	182.312	181.012	184.194	176.363
123	175.108	175.108	184.307	183.300	178.691	185.591	180.632	182.869	182.414	178.725	181.719	178.775	179.156	178.391
124	176.372	176.372	181.956	181.722	179.924	180.916	181.389	176.414	180.963	180.230	178.234	178.457	179.635	182.828
125	178.189	178.189	175.857	181.084	181.864	183.160	182.621	180.430	178.989	172.663	177.382	184.200	180.867	179.599
126	172.886	172.886	178.538	178.790	184.085	184.589	182.037	182.014	180.374	181.681	180.348	183.275	174.638	179.114
127	175.881	175.881	176.485	177.535	181.053	179.362	178.913	179.442	182.773	179.741	177.248	177.912	174.634	178.818
128	179.378	179.378	181.415	177.586	183.847	178.289	182.966	175.983	181.094	179.119	179.409	179.234	176.905	177.542
129	172.714	172.714	180.864	181.023	182.401	173.185	177.049	175.428	182.624	179.732	175.268	179.035	173.338	178.392
130	172.042	172.042	178.896	174.512	182.722	177.732	178.119	173.571	182.118	182.326	177.987	183.347	178.934	183.173
131	172.266	172.266	177.990	176.002	179.904	177.410	175.169	176.207	184.545	179.898	176.357	176.832	181.706	181.994
132	177.904	177.904	180.057	177.367	181.492	175.493	180.576	180.718	182.664	179.239	178.944	176.309	185.562	175.005
133	177.888	177.888	185.136	181.626	182.059	174.732	183.055	185.321	173.716	181.558	183.881	181.242	181.831	174.456
134	177.479	177.479	180.774	181.051	175.686	179.697	178.999	184.317	178.469	177.198	182.691	183.171	176.631	176.551
135	174.621	174.621	180.034	181.136	177.253	178.329	178.799	180.587	179.735	180.422	181.920	178.742	181.215	179.765
136	174.668	174.668	177.803	181.259	181.614	182.471	181.651	177.238	181.892	180.908	178.770	178.525	181.933	178.370
137	178.277	178.277	180.392	176.914	182.270	176.055	178.415	177.139	179.206	177.074	177.751	179.060	181.349	173.199
138	176.351	176.351	182.081	180.108	173.834	180.752	176.976	176.621	180.801	177.916	178.707	187.885	181.265	170.968
139	174.138	174.138	182.884	177.196	173.496	178.057	180.124	175.391	176.864	177.961	182.523	181.495	176.658	176.351
140	172.715	172.715	181.309	179.893	178.889	175.000	178.779	178.054	182.607	183.963	178.131	184.708	174.356	177.033
141	178.086	178.086	179.082	179.674	177.555	177.216	176.794	182.578	174.307	182.947	181.023	179.874	178.467	179.568
142	177.967	177.967	176.496	174.978	177.927	179.459	177.540	186.349	175.922	179.397	183.692	181.149	177.010	177.662
143	177.566	177.566	175.994	175.620	180.950	181.127	175.540	180.518	176.320	179.987	181.889	179.381	185.592	175.035
144	174.887	174.887	174.477	185.005	180.011	179.807	177.111	177.707	175.508	173.758	183.400	173.347	179.622	178.406
145	178.166	178.166	178.726	178.365	182.490	179.106	175.983	180.086	179.616	177.555	180.260	177.455	178.363	176.862
146	174.485	174.485	177.092	182.480	176.254	177.598	181.388	178.612	179.600	182.017	178.211	177.464	179.353	174.070
147	174.280	174.280	179.277	179.385	177.359	176.544	178.192	181.383	171.668	181.114	176.644	177.875	174.928	177.973
148	177.999	177.999	177.197	179.888	179.228	176.177	179.561	180.119	179.940	180.511	178.887	180.913	178.949	173.330
149	175.848	175.848	176.531	181.689	175.910	181.947	181.807	182.168	178.057	173.122	173.989	175.384	180.887	175.619
150	172.787	172.787	181.563	179.526	177.736	180.332	180.491	181.365	180.895	176.825	181.472	180.825	181.229	177.024
151	173.575	173.575	178.462	182.141	182.561	174.414	177.092	177.978	173.644	175.135	176.363	181.858	177.445	175.994
152	174.140	174.140	176.254	180.977	180.159	177.991	178.573	181.830	181.781	181.574	181.572	181.918	175.239	174.909
153	176.569	176.569	173.194	179.215	183.629	176.367	177.081	175.976	178.157	180.679	177.400	181.731	176.491	175.685
154	175.598	175.598	178.381	181.017	177.249	178.585	177.462	179.087	177.835	176.830	177.603	178.537	180.943	174.956
155	171.355	171.355	175.131	175.633	175.149	180.142	180.393	178.075	177.494	185.535	178.609	171.192	177.651	174.140
156	176.214	176.214	177.142	182.062	176.248	179.382	173.873	181.455	178.071	179.884	180.567	173.967	179.472	175.398
157	177.378	177.378	183.822	178.420	177.080	177.897	177.061	185.087	180.626	177.007	177.253	180.259	178.435	170.820
158	170.091	170.091	178.555	178.329	177.418	175.856	174.714	185.765	178.288	176.930	179.498	182.704	181.462	174.464
159	173.566	173.566	183.289	178.678	178.505	179.697	172.823	184.312	180.474	174.107	183.913	175.407	179.297	175.402
160	172.910	172.910	176.915	180.251	179.863	179.120	179.019	178.908	183.475	180.813	176.496	175.432	179.490	177.329
161	177.216	177.216	179.123	177.422	179.805	173.427	180.506	178.968	180.448	178.134	177.986	177.322	178.396	177.883
162	172.625	172.625	175.514	181.523	177.803	176.605	180.658	178.894	178.555	182.757	173.936	174.557	177.515	176.570
163	172.226	172.226	178.632	179.390	174.300	174.796	174.062	177.937	179.519	180.139	174.864	179.148	174.090	174.000
