 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
60	436.718	436.718	466.608	506.743	497.878	512.222	514.329	495.964	579.726	598.496	651.607	706.870	681.460	532.074	551.612	570.926	520.477	592.781	613.841
61	429.494	429.494	460.993	502.432	494.878	499.907	487.794	488.619	566.367	594.911	601.046	656.768	637.081	500.888	539.854	555.413	515.809	586.883	601.848
62	415.337	415.337	449.612	481.151	474.455	480.515	496.376	481.811	541.578	564.971	571.034	610.246	602.873	508.881	531.247	537.465	506.244	545.699	581.662
63	401.212	401.212	451.620	462.865	452.091	472.080	476.468	468.828	529.962	549.519	562.721	594.212	583.235	507.812	528.237	532.592	507.036	534.685	556.314
64	402.119	402.119	443.624	451.076	459.891	465.819	458.329	450.334	531.132	527.143	555.002	580.190	553.096	496.095	520.655	523.863	515.398	526.165	539.350
65	397.863	397.863	435.398	455.919	450.486	458.860	453.798	442.811	499.366	512.959	535.881	556.220	544.416	474.706	489.945	498.968	491.803	515.353	518.081
66	403.234	403.234	428.510	449.644	443.383	451.135	442.233	439.565	491.325	497.829	506.577	532.948	542.377	456.021	483.880	496.154	479.066	502.071	507.355
67	400.374	400.374	422.752	440.396	428.781	436.954	448.286	433.281	475.805	494.788	507.892	531.417	524.841	467.612	477.599	481.500	460.145	495.333	503.527
68	392.200	392.200	406.024	431.786	430.164	429.564	427.770	416.795	468.077	482.729	490.098	529.345	507.247	448.738	466.625	465.020	462.732	489.194	494.991
69	376.812	376.812	401.679	416.361	425.934	419.443	414.419	420.447	464.130	476.155	479.867	501.688	484.421	447.997	465.632	464.596	453.692	467.168	478.740
70	375.154	375.154	408.334	423.969	418.454	422.962	410.835	414.699	455.603	471.305	482.425	496.804	469.646	448.958	457.502	433.221	445.163	453.885	473.217
71	382.837	382.837	396.779	416.600	410.401	431.844	399.805	401.071	438.314	441.840	467.078	498.224	468.643	433.709	436.967	443.082	433.194	454.488	465.004
72	374.598	374.598	385.933	388.458	386.954	421.676	400.912	390.772	432.985	446.395	453.424	476.055	457.123	423.622	439.351	430.193	427.600	447.693	455.559
73	375.407	375.407	391.451	402.953	380.669	401.042	397.586	400.166	436.445	440.013	450.651	459.371	445.410	421.709	424.931	434.963	425.347	442.012	443.101
74	355.225	355.225	400.381	408.510	378.497	405.755	394.710	389.475	422.699	433.232	441.153	459.861	453.745	424.857	419.698	432.066	431.295	430.249	446.501
75	348.267	348.267	383.287	391.735	382.358	397.200	381.021	375.384	416.819	425.799	433.221	445.371	432.615	404.869	414.850	414.468	406.306	421.698	443.200
76	333.860	333.860	359.945	381.905	374.586	380.146	374.022	375.214	409.207	406.520	407.981	446.684	420.155	410.847	399.080	410.648	389.797	426.302	434.087
77	352.246	352.246	367.260	376.302	362.404	383.691	384.435	368.946	400.136	405.590	413.072	441.890	418.721	395.779	396.358	411.116	387.468	408.102	427.124
78	343.008	343.008	361.145	367.451	365.399	384.664	385.881	367.003	415.282	409.140	402.750	410.412	420.941	407.216	398.378	388.303	388.888	391.114	412.020
79	332.251	332.251	351.015	371.220	372.858	382.828	368.707	356.120	384.374	395.349	409.839	412.120	410.172	376.792	390.065	380.893	385.911	393.239	397.326
80	337.036	337.036	359.383	365.753	374.440	388.027	357.458	354.618	370.673	391.674	393.316	403.004	402.548	387.991	394.225	386.347	366.696	409.116	394.250
81	345.035	345.035	345.474	360.601	361.077	374.213	362.536	358.294	366.862	389.591	384.258	405.090	391.252	377.531	392.729	380.847	366.733	388.840	384.527
82	337.183	337.183	344.904	351.700	350.284	357.712	357.343	350.287	372.374	383.053	375.391	402.373	383.637	372.668	380.682	372.636	366.219	369.158	395.587
83	333.996	333.996	339.599	348.537	347.651	360.657	354.615	341.534	362.815	371.455	387.741	397.379	382.986	368.870	374.008	365.021	363.928	375.323	383.364
84	322.724	322.724	341.316	340.018	340.660	361.085	335.646	333.151	360.540	374.596	356.642	381.312	373.990	364.064	354.113	357.328	353.294	359.738	373.406
85	314.213	314.213	335.561	336.632	332.307	352.444	340.037	340.093	354.483	356.957	362.882	372.670	366.292	358.542	347.371	355.847	350.492	359.489	367.762
86	322.944	322.944	329.681	341.374	325.362	349.382	339.610	329.118	349.586	354.540	363.047	369.683	360.459	343.610	352.440	349.486	339.082	348.109	364.018
87	323.388	323.388	318.882	331.039	328.816	336.815	335.440	341.799	349.341	354.339	371.111	362.530	367.213	344.382	342.170	345.692	332.096	340.317	360.320
88	307.882	307.882	322.272	329.574	331.879	333.949	333.025	328.150	349.708	349.815	353.960	355.297	358.995	337.650	343.486	336.336	337.180	343.557	350.765
89	295.342	295.342	319.881	316.507	325.397	334.184	327.767	319.004	348.713	344.458	340.265	353.463	357.556	342.045	338.845	333.863	322.783	349.008	345.063
90	304.827	304.827	321.676	325.149	326.744	327.288	320.110	312.896	333.109	341.184	345.007	351.673	356.538	325.262	335.344	343.680	324.395	345.794	344.662
91	299.363	299.363	314.383	319.652	317.656	320.631	325.252	318.898	332.459	344.504	349.176	347.720	338.517	325.532	325.215	334.059	321.149	336.780	347.505
