 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
177	170.034	170.034	167.214	167.042	169.472	169.053	170.262	169.006
178	172.133	172.133	167.192	165.775	168.459	171.412	169.136	171.210
179	168.634	168.634	166.588	162.473	168.854	171.679	166.376	172.590
180	169.489	169.489	165.920	163.744	166.775	169.545	168.382	166.356
181	173.049	173.049	161.293	162.406	163.331	172.391	170.307	163.010
182	168.337	168.337	163.103	163.561	161.837	166.955	170.885	169.205
183	173.376	173.376	162.828	163.400	163.512	172.147	169.272	170.840
184	174.896	174.896	162.117	166.764	162.009	170.296	171.057	167.941
185	172.786	172.786	165.356	170.217	166.994	169.541	166.760	173.357
186	166.764	166.764	166.178	166.299	164.773	167.059	169.615	173.473
187	166.277	166.277	164.727	162.117	168.089	173.254	168.653	172.101
188	166.409	166.409	160.148	158.041	167.113	167.779	164.309	169.829
189	169.287	169.287	159.587	158.834	158.477	173.579	166.526	176.325
190	167.268	167.268	162.588	161.686	159.897	169.485	170.308	168.667
191	167.579	167.579	162.025	166.255	160.114	169.258	171.862	168.701
192	170.584	170.584	167.396	162.255	163.548	173.592	174.633	164.131
193	171.926	171.926	164.095	165.165	161.878	174.319	170.467	168.695
194	166.386	166.386	164.988	164.561	162.772	171.632	168.057	170.285
195	165.920	165.920	168.158	165.283	164.535	165.528	168.312	169.273
196	172.864	172.864	169.149	163.778	168.836	168.000	171.755	169.623
197	170.789	170.789	163.675	166.955	165.351	170.138	169.189	171.463
198	167.775	167.775	165.296	167.409	163.394	171.285	168.100	164.167
199	170.490	170.490	165.504	165.525	165.095	163.765	172.456	165.807
200	170.060	170.060	161.790	163.369	166.030	167.410	166.980	169.507
201	162.287	162.287	158.811	168.257	164.713	164.986	168.187	169.124
202	172.041	172.041	163.432	165.891	164.687	167.381	171.351	165.500
203	166.881	166.881	162.550	163.425	165.591	166.421	166.489	169.599
204	170.607	170.607	163.156	160.009	162.858	170.281	170.285	165.871
205	168.723	168.723	165.817	165.391	160.206	167.381	167.524	163.479
206	164.404	164.404	166.013	167.525	159.955	168.584	167.352	170.029
207	170.626	170.626	161.673	163.588	166.594	168.681	163.835	173.772
208	168.092	168.092	163.917	163.357	166.879	171.234	169.014	162.285
209	168.424	168.424	167.789	164.843	161.601	169.643	169.709	168.500
210	165.239	165.239	165.019	161.798	161.036	169.581	170.081	164.656
211	159.821	159.821	162.134	160.988	161.913	166.060	164.805	163.599
212	168.323	168.323	165.300	164.271	163.897	170.330	168.551	165.350
213	170.550	170.550	165.432	163.641	161.682	169.874	168.638	168.314
214	172.808	172.808	168.750	166.010	161.455	168.926	170.838	172.220
215	167.142	167.142	169.452	171.194	165.105	167.184	165.693	170.051
216	165.313	165.313	162.647	159.456	164.396	167.422	168.932	167.079
217	171.576	171.576	161.180	159.962	165.752	166.752	168.764	171.989
218	168.293	168.293	166.038	160.986	165.320	169.477	167.103	167.811
219	168.490	168.490	169.317	163.202	162.339	171.778	167.359	169.129
220	169.884	169.884	166.614	170.938	164.075	169.913	166.199	166.978
221	169.389	169.389	166.695	163.547	160.780	171.327	168.037	168.988
222	170.094	170.094	160.707	163.305	162.363	168.818	169.981	166.209
223	168.465	168.465	162.400	165.126	161.077	169.005	168.959	167.659
224	171.762	171.762	166.753	160.629	159.918	170.081	165.567	170.538
225	166.496	166.496	163.463	158.521	166.033	169.330	170.842	172.125
226	164.612	164.612	163.358	162.132	163.557	169.273	170.223	168.524
227	164.951	164.951	162.057	167.096	164.731	170.466	165.776	168.737
228	167.724	167.724	162.028	162.929	166.540	165.231	167.874	170.499
229	167.808	167.808	163.391	159.091	161.835	165.317	170.925	166.540
230	164.048	164.048	164.725	163.881	163.592	163.810	170.186	167.582
231	163.432	163.432	164.524	165.692	166.013	166.826	165.765	170.028
232	167.459	167.459	163.878	166.095	163.104	172.837	167.641	173.838
233	167.886	167.886	164.572	164.852	158.792	168.711	170.885	173.539
234	167.903	167.903	164.678	158.585	165.356	167.164	170.255	174.176
235	169.660	169.660	164.575	163.006	163.412	171.453	170.705	171.550
236	171.006	171.006	161.464	162.487	164.814	172.102	170.596	172.813
237	172.660	172.660	163.052	161.167	169.321	174.777	172.282	169.500
238	173.004	173.004	166.377	159.135	165.641	171.517	169.673	174.494
239	169.784	169.784	162.048	159.412	164.866	165.683	168.408	172.737
240	167.059	167.059	163.418	158.633	159.128	170.573	170.618	168.067
241	167.912	167.912	161.246	161.540	161.792	170.474	169.599	163.089
242	167.227	167.227	161.069	163.492	161.627	173.924	169.755	164.505
243	165.559	165.559	165.486	166.002	164.116	170.074	171.125	170.119
244	165.982	165.982	163.810	164.434	164.205	167.853	166.114	167.475
245	166.577	166.577	161.940	160.160	162.389	169.983	170.189	168.673
246	166.857	166.857	162.414	159.027	164.281	173.073	170.529	169.483
247	166.532	166.532	164.029	159.602	163.934	166.605	167.201	167.718
248	172.229	172.229	163.861	165.918	161.765	166.674	168.772	172.321
249	171.487	171.487	162.500	165.943	170.182	168.318	169.490	165.556
250	163.710	163.710	164.026	163.435	164.804	164.290	167.234	164.670
251	166.825	166.825	169.845	162.669	164.909	166.519	169.764	171.736
252	170.198	170.198	164.214	163.446	163.975	170.126	166.489	169.975
253	167.241	167.241	163.151	161.114	165.465	166.687	165.853	168.510
254	166.822	166.822	160.740	163.083	167.197	167.069	165.699	167.155
255	166.183	166.183	161.455	167.096	160.166	168.179	164.594	166.770
256	169.698	169.698	162.571	162.571	160.955	164.446	170.907	164.989
257	166.633	166.633	159.807	161.819	164.740	166.887	166.638	166.072
258	166.722	166.722	163.620	162.880	160.412	171.817	168.066	169.009
259	171.295	171.295	164.331	167.564	160.944	169.465	165.478	171.118
260	169.865	169.865	165.999	162.730	163.596	162.781	163.162	168.305
261	167.516	167.516	160.933	162.509	165.460	169.769	167.773	169.000
262	168.186	168.186	159.417	164.332	165.432	171.893	168.539	175.645
263	169.373	169.373	161.871	166.066	160.003	169.420	171.143	173.297
264	164.272	164.272	164.845	167.864	161.513	165.637	165.609	170.724
265	166.946	166.946	165.921	163.068	167.823	165.639	165.748	173.326
266	165.682	165.682	162.232	165.116	163.245	172.830	168.007	172.242
267	169.641	169.641	162.458	163.562	160.001	167.957	169.334	171.029
268	163.497	163.497	161.185	160.893	160.694	166.446	161.725	167.361
269	164.551	164.551	161.847	164.485	161.597	169.725	163.936	170.025
270	172.306	172.306	164.781	160.694	162.445	167.275	166.387	172.940
271	170.925	170.925	163.144	160.216	164.447	165.648	169.790	170.551
272	173.678	173.678	157.820	160.647	165.472	168.643	164.959	168.994
273	165.313	165.313	158.005	161.183	165.853	168.788	163.877	170.369
274	162.903	162.903	156.082	159.170	163.351	167.279	162.719	165.095
275	174.640	174.640	159.604	159.401	166.041	163.946	168.433	167.578
276	166.016	166.016	163.509	161.484	159.489	167.588	172.890	169.987
277	167.456	167.456	162.597	164.182	166.195	174.374	166.987	168.245
278	168.752	168.752	162.308	161.617	159.990	168.830	173.927	168.979
279	166.463	166.463	161.586	157.454	161.087	174.710	172.985	166.898
280	162.232	162.232	162.128	162.460	161.854	167.005	166.096	167.997
281	163.719	163.719	161.483	161.828	159.498	164.309	165.939	169.963
282	166.257	166.257	161.886	163.883	163.947	166.955	164.902	170.035
283	167.057	167.057	165.577	160.541	163.120	166.951	169.529	168.799
284	170.444	170.444	163.215	158.214	160.049	163.672	167.028	165.513
285	172.123	172.123	165.979	157.318	158.638	164.500	169.874	165.830
286	169.945	169.945	164.524	157.531	158.164	166.186	171.293	169.691
287	168.734	168.734	164.176	164.357	165.093	168.839	173.257	169.394
288	169.117	169.117	163.699	164.139	160.521	169.505	168.499	167.827
289	168.165	168.165	165.495	162.944	161.879	176.060	170.315	165.814
290	161.647	161.647	163.573	163.303	161.103	171.658	171.156	169.838
291	163.805	163.805	164.361	161.378	163.992	165.004	166.722	171.198
292	168.756	168.756	164.302	162.387	164.785	166.987	165.039	171.181
293	165.856	165.856	161.741	163.004	161.267	163.836	165.469	166.661
294	166.748	166.748	160.673	161.448	161.890	167.013	162.728	163.201
