 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
69	445.098	442.722	449.852	458.377	452.562	452.411	453.632	459.285	451.844	453.208	450.007	456.396	447.793	452.396	442.130
70	449.919	436.736	446.862	457.575	440.688	456.422	441.293	448.054	455.118	457.645	454.648	459.556	442.856	454.782	446.333
71	446.977	437.596	452.335	446.725	443.639	447.759	441.872	441.302	457.087	457.365	456.479	449.553	451.547	446.787	452.520
72	448.489	447.124	455.664	445.706	448.972	448.317	445.031	450.807	447.825	457.879	445.229	452.262	456.353	454.205	459.545
73	456.275	449.991	445.542	459.089	457.821	445.768	448.838	459.133	452.664	458.858	440.501	449.449	449.994	452.141	453.670
74	457.329	447.596	444.959	444.462	459.669	449.487	443.180	451.616	444.559	444.076	440.639	447.651	449.177	451.924	461.267
75	463.125	449.675	452.361	456.665	461.125	451.630	453.553	462.315	452.342	451.268	452.574	454.454	451.530	462.539	460.793
76	457.281	446.093	447.877	459.742	454.947	456.767	461.502	452.986	467.433	458.505	451.962	452.882	448.032	465.155	457.661
77	443.933	444.862	446.723	451.140	445.337	464.416	453.331	449.198	459.921	449.655	447.765	446.155	450.832	454.876	449.768
78	453.526	441.566	459.237	457.117	451.050	454.427	451.440	457.921	456.889	456.908	459.000	458.549	447.846	466.685	455.397
79	453.634	438.928	456.412	470.500	454.117	454.541	454.976	451.259	457.260	439.750	444.350	458.974	458.633	461.099	461.199
80	453.108	448.504	449.048	461.436	469.374	451.956	454.880	445.203	451.338	449.086	441.911	465.053	455.849	449.949	456.425
81	450.642	462.296	452.448	450.827	466.339	458.619	451.755	452.196	449.213	460.791	441.941	463.493	449.668	452.839	453.385
82	455.832	450.220	462.358	457.010	464.058	442.669	455.381	455.786	462.061	455.712	448.791	449.077	448.209	463.821	457.351
83	448.866	448.944	459.952	458.432	457.376	447.934	456.308	460.929	451.345	456.794	447.929	458.316	455.772	459.076	454.294
84	455.997	439.567	462.787	454.714	451.325	455.421	446.446	462.888	448.042	457.964	458.303	456.567	444.515	462.205	451.207
85	463.278	448.515	459.232	450.959	446.496	463.213	458.413	453.539	455.562	451.225	461.609	458.806	457.587	453.511	454.431
86	453.009	447.575	446.480	454.103	448.747	452.903	464.759	459.767	454.282	438.318	452.693	454.551	449.997	458.003	459.975
87	449.540	454.634	456.921	458.107	449.369	453.020	457.944	459.562	471.398	450.378	452.542	457.686	454.071	470.815	462.808
88	464.749	455.368	458.653	467.099	456.059	453.268	459.347	459.414	453.689	455.630	461.651	450.096	455.606	460.806	447.307
89	453.409	454.611	451.474	454.567	469.825	459.817	462.446	457.223	467.102	444.892	453.972	454.083	459.882	461.495	454.750
90	452.384	461.020	461.026	449.980	461.516	456.081	460.791	449.285	463.737	455.313	453.262	467.118	455.275	463.536	464.119
91	460.888	453.482	461.188	460.264	461.977	450.222	465.113	462.204	457.485	460.590	457.955	458.188	458.353	464.912	461.274
92	469.250	450.964	448.375	466.055	461.293	459.804	466.795	458.265	464.605	456.533	462.390	465.651	470.767	463.971	452.012
93	458.150	448.573	457.846	466.039	462.684	466.897	465.285	461.039	460.875	458.947	451.930	464.587	472.933	454.571	462.587
94	458.998	460.826	468.575	458.536	456.994	464.140	462.808	460.689	459.905	456.715	461.669	458.879	455.877	456.058	468.472
95	469.418	456.562	459.734	459.433	463.805	462.928	457.246	462.586	466.282	457.382	474.078	467.500	475.704	457.638	472.459
96	455.728	465.019	463.517	470.946	455.226	464.626	456.364	460.353	472.108	470.934	473.102	458.764	470.153	469.667	468.371
97	450.008	465.902	464.470	455.357	461.029	462.944	457.756	456.746	456.519	468.009	467.401	463.997	473.649	472.961	463.627
98	462.741	463.337	462.363	462.467	455.944	462.748	469.902	451.622	462.359	476.126	458.854	463.685	469.840	470.762	467.741
99	465.796	451.633	449.165	469.877	452.577	458.402	469.860	458.346	461.071	458.294	462.128	470.311	461.340	464.277	468.074
100	462.016	452.986	456.195	456.897	462.053	459.070	460.277	466.754	457.580	461.525	459.927	467.445	459.665	460.786	456.576
101	454.970	456.198	464.780	461.353	463.803	461.425	455.890	466.370	464.682	467.230	455.983	463.558	462.798	461.177	469.269
102	463.149	464.367	459.746	460.568	461.992	463.353	472.286	461.333	459.298	469.613	460.098	459.156	466.577	464.274	468.361
103	459.287	447.756	464.123	453.599	459.607	462.428	477.064	461.939	459.821	465.622	461.640	460.855	467.775	468.135	459.613
104	465.107	463.549	466.613	458.519	460.820	472.628	467.914	458.528	474.327	469.988	460.527	464.802	463.437	469.951	464.885
105	463.566	462.601	468.922	473.379	469.255	479.761	467.119	465.874	469.119	462.542	464.652	458.303	467.142	465.195	463.311
106	462.714	457.370	464.607	469.226	458.910	462.214	459.405	457.762	466.699	471.068	464.404	468.705	465.594	470.782	457.472
107	461.848	456.288	468.378	460.201	464.167	459.229	465.713	461.891	459.296	467.622	465.831	474.717	475.751	468.547	471.644
108	460.455	465.087	468.238	470.606	475.090	470.839	460.185	453.118	470.727	472.542	460.077	470.327	474.980	465.206	480.939
109	468.379	452.394	465.464	483.001	467.904	468.241	464.374	456.533	469.720	470.506	468.217	473.307	471.001	459.148	476.500
110	461.809	468.648	473.981	472.644	485.919	466.194	461.214	475.526	469.438	467.449	466.699	470.764	473.974	471.035	472.176
111	473.844	461.824	464.614	466.309	480.608	460.946	478.610	475.689	467.579	464.232	475.339	467.369	479.043	473.967	469.559
112	470.877	460.082	465.838	476.662	471.243	472.052	474.903	475.413	467.176	468.579	472.138	471.907	466.669	473.811	465.790
113	467.337	473.662	464.541	473.089	466.359	474.696	470.258	477.355	468.808	469.244	465.742	467.928	475.422	471.160	460.227
114	469.645	468.276	468.660	475.123	475.233	473.507	460.812	481.252	467.488	473.949	468.653	466.588	466.856	479.114	476.543
115	473.060	490.134	474.813	469.910	469.824	477.066	467.913	470.186	473.666	473.496	475.547	470.822	474.002	478.790	474.275
116	484.884	477.406	470.022	468.635	471.797	470.255	466.212	467.165	467.120	472.245	468.170	460.028	471.856	480.629	491.287
117	472.682	476.571	467.020	476.683	481.442	476.243	469.325	480.791	461.532	481.588	488.438	476.141	482.708	469.724	487.663
118	475.126	481.996	464.452	473.503	479.453	478.581	479.665	474.352	479.020	480.190	489.260	475.410	480.371	476.081	486.400
119	467.758	469.004	475.520	477.245	481.021	484.481	487.827	470.624	477.459	472.006	477.408	470.029	488.379	483.400	476.792
120	474.520	465.751	483.944	477.006	490.436	467.517	484.011	473.784	490.244	482.630	470.898	482.153	482.880	486.161	477.260
121	475.154	468.353	487.034	483.392	476.478	472.994	483.999	478.581	495.533	482.207	472.546	471.449	489.947	488.692	475.737
122	488.937	481.342	489.282	485.379	478.988	472.926	464.929	490.212	480.541	481.325	479.590	487.272	470.459	480.313	489.112
123	477.581	483.853	481.595	473.754	480.070	488.919	479.023	483.421	480.326	482.495	477.635	488.233	477.731	484.417	485.172
124	474.944	473.852	479.955	483.702	490.246	483.243	481.351	477.710	489.932	482.741	475.413	478.817	490.209	482.065	487.844
125	471.998	485.046	476.907	484.205	484.430	484.748	484.995	470.730	488.097	479.674	480.094	472.382	477.888	483.453	488.460
126	479.017	489.836	487.784	496.108	472.865	490.134	491.944	478.258	485.643	474.843	476.774	481.428	485.680	490.772	488.458
127	482.038	476.505	486.049	495.362	479.468	482.269	476.308	475.970	489.075	472.635	482.290	485.525	488.593	474.180	485.340
128	481.519	479.080	485.256	492.840	484.607	482.487	472.409	482.158	484.122	473.738	479.683	488.005	482.331	484.224	481.302
