 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
35	235.404	242.327	247.761	234.061	259.681	248.408	217.018	254.986	242.125	256.258
36	239.086	249.687	235.636	251.226	262.592	251.371	228.303	234.101	272.042	241.794
37	227.305	243.646	246.563	250.733	258.786	256.835	240.625	227.324	252.606	251.731
38	238.195	232.945	239.550	234.994	255.673	251.556	255.659	232.357	244.417	238.199
39	225.646	270.854	242.138	229.297	247.581	236.009	236.262	225.970	259.086	254.050
40	224.534	251.083	243.856	232.052	236.156	234.139	233.103	232.203	234.569	230.122
41	221.808	276.138	259.446	251.914	232.428	240.825	232.615	229.527	258.204	220.833
42	243.236	241.439	237.549	243.575	248.359	248.343	234.375	243.565	238.473	240.910
43	236.441	247.216	240.545	253.951	258.229	259.997	244.875	241.310	251.465	259.215
44	241.037	268.896	259.873	260.104	252.509	267.742	228.476	252.933	228.534	260.142
45	229.912	256.544	244.345	252.551	242.977	259.242	252.927	273.167	246.610	246.746
46	239.856	258.787	240.357	249.859	239.746	254.773	246.225	242.738	224.235	232.142
47	256.258	248.547	239.400	221.712	238.719	207.279	265.480	250.753	247.247	231.963
48	251.986	280.006	243.200	248.707	244.424	237.749	245.457	254.045	247.995	231.537
49	263.532	280.434	247.488	254.439	257.424	241.757	242.604	248.118	250.613	246.695
50	235.053	243.024	259.721	232.862	270.238	234.114	235.351	245.325	258.939	243.339
51	257.074	269.622	255.495	264.219	260.861	238.462	237.617	240.568	230.506	226.950
52	244.420	261.962	245.400	253.686	258.397	218.820	251.819	250.252	250.466	238.445
53	240.660	242.490	264.640	261.761	249.013	226.187	271.212	241.205	246.869	225.198
54	268.434	250.319	247.507	267.491	262.110	243.305	245.002	266.268	240.231	240.635
55	239.765	249.904	240.573	280.039	233.052	249.069	239.634	237.086	237.373	247.119
56	248.518	259.228	248.366	262.960	235.860	259.690	253.828	258.568	260.636	226.819
57	248.090	251.394	248.336	253.495	260.548	256.965	252.581	248.083	263.626	236.821
58	253.221	253.378	231.531	238.550	248.341	256.675	260.684	248.531	259.389	241.304
59	262.083	272.846	236.285	258.155	241.090	264.517	226.547	264.344	258.995	276.891
60	270.728	258.763	261.474	251.848	251.646	244.751	231.955	249.879	257.779	265.983
61	261.310	251.969	258.579	243.868	260.977	250.870	240.395	256.108	261.209	251.233
62	238.247	253.595	261.548	230.427	251.088	237.809	246.369	258.610	251.233	272.882
63	233.276	257.473	266.649	253.411	245.290	239.655	235.246	266.373	240.996	249.147
64	261.026	259.134	259.967	263.494	236.337	274.800	243.600	262.820	259.649	263.739
65	274.857	253.735	245.841	242.708	274.181	260.222	236.589	263.977	265.242	241.260
66	282.269	237.901	234.145	239.147	264.657	242.533	228.393	260.031	271.110	249.849
67	299.070	243.479	229.487	284.028	247.070	222.982	234.638	260.392	267.968	234.366
68	256.810	265.620	237.743	275.932	259.745	252.274	259.559	253.812	244.567	249.093
69	242.643	262.441	241.300	252.703	251.414	246.166	252.656	257.852	265.690	257.654
70	236.924	247.900	236.587	237.894	256.997	245.415	249.579	244.137	266.199	270.390
71	243.762	247.962	258.190	265.632	257.326	257.055	258.935	237.030	251.635	268.502
72	256.365	259.481	259.364	255.159	255.343	268.931	253.727	250.891	265.402	245.582
73	253.988	268.979	252.348	262.654	269.065	263.524	268.340	273.080	240.235	237.254
