 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
104	513.491	513.491	512.184	511.612	510.678	506.852	493.055	503.488	512.924	497.841	504.928	503.277
105	502.958	502.958	508.690	499.420	497.909	504.185	501.106	512.338	505.597	512.394	499.205	504.979
106	507.985	507.985	503.178	497.351	509.637	507.947	494.838	515.593	493.776	499.445	498.500	495.724
107	505.831	505.831	503.946	500.851	519.153	500.751	501.454	510.532	497.446	494.851	503.932	481.028
108	510.680	510.680	516.314	510.250	510.485	505.232	512.924	512.495	507.845	501.432	501.802	501.181
109	511.115	511.115	514.511	500.645	495.755	492.028	506.575	508.133	503.101	498.034	510.481	499.971
110	508.789	508.789	502.950	508.443	510.201	505.520	496.876	509.868	495.041	492.673	507.983	501.855
111	513.843	513.843	506.648	518.062	509.736	508.279	504.332	509.575	498.568	501.762	508.567	501.248
112	507.591	507.591	494.437	507.731	511.592	512.629	507.201	510.076	498.541	506.412	504.871	504.270
113	504.104	504.104	517.686	510.780	520.525	500.377	506.885	502.358	503.528	507.882	496.705	505.383
114	504.320	504.320	520.446	503.606	520.119	501.945	496.581	505.247	510.129	506.377	499.978	498.622
115	508.807	508.807	511.531	509.093	509.078	500.146	503.326	514.632	507.062	516.861	514.073	494.027
116	514.263	514.263	504.465	521.171	514.831	511.004	492.648	516.585	501.009	513.139	510.587	509.102
117	509.358	509.358	521.078	517.358	511.333	506.699	500.161	512.874	497.100	504.793	511.676	515.737
118	501.534	501.534	521.037	502.231	515.648	504.899	505.193	507.132	506.994	498.513	507.878	501.535
119	501.854	501.854	507.784	506.854	527.007	507.000	504.234	505.167	503.790	495.715	505.027	502.529
120	516.421	516.421	502.677	515.345	508.693	506.351	519.258	499.844	496.982	503.071	495.952	492.876
121	518.557	518.557	514.926	505.849	513.713	510.670	505.361	507.399	509.638	500.747	508.457	505.556
122	511.527	511.527	506.453	509.467	510.782	511.750	502.556	511.794	500.136	509.705	514.465	503.457
123	515.942	515.942	512.941	496.593	522.297	498.077	515.870	503.392	509.394	516.739	503.681	503.159
124	519.922	519.922	505.538	516.216	514.385	507.657	510.365	507.447	507.595	505.281	509.441	489.499
125	512.543	512.543	512.039	507.750	507.388	499.832	512.157	512.559	509.175	514.687	497.421	495.443
126	515.817	515.817	514.349	510.208	512.397	499.440	516.199	518.274	512.046	510.549	502.541	503.736
127	522.607	522.607	511.728	512.907	519.124	511.389	509.830	507.459	501.412	509.700	503.803	510.002
128	519.463	519.463	511.089	502.425	514.254	516.158	518.607	520.051	522.125	504.163	500.994	506.465
129	516.681	516.681	502.570	505.624	522.141	526.999	506.540	517.387	512.094	499.477	501.101	509.196
130	514.785	514.785	515.460	525.447	520.727	509.760	497.652	507.355	511.471	503.965	507.135	508.282
131	509.044	509.044	511.549	503.755	519.958	509.421	506.893	520.821	514.160	512.413	501.143	515.198
132	530.711	530.711	509.952	528.156	519.366	513.459	519.615	518.006	505.666	506.619	518.848	505.140
133	523.948	523.948	520.498	529.589	527.684	512.348	523.568	521.273	520.150	506.675	511.845	514.986
134	521.810	521.810	522.770	522.639	521.429	506.910	509.787	512.792	519.614	511.107	515.141	514.186
135	523.955	523.955	520.675	515.648	517.490	503.923	507.125	506.376	520.626	504.430	501.847	506.438
136	528.651	528.651	523.640	512.349	517.631	502.508	505.125	497.466	519.623	514.222	492.448	506.806
137	528.681	528.681	524.573	510.172	519.361	508.362	517.169	504.576	519.533	517.149	509.728	505.050
138	521.023	521.023	521.794	508.925	512.150	509.813	516.922	513.179	510.596	520.540	517.764	516.219
139	522.868	522.868	513.327	513.859	506.655	511.304	506.055	520.552	521.139	517.477	509.480	506.572
140	538.810	538.810	511.138	516.489	516.602	516.662	524.939	521.098	523.015	501.567	514.127	508.749
141	521.440	521.440	515.202	528.743	525.414	517.596	516.191	530.256	519.975	511.232	512.259	516.582
142	519.213	519.213	526.214	517.441	514.321	509.195	513.397	528.457	512.351	504.667	505.264	517.196
143	518.641	518.641	510.230	506.177	507.789	508.506	516.983	525.254	508.831	514.713	513.093	505.132
144	526.090	526.090	530.251	513.379	516.114	508.740	519.369	520.780	501.243	507.814	510.221	514.037
145	522.536	522.536	523.006	521.481	523.661	520.664	526.316	518.691	523.814	513.977	495.726	520.371
146	536.560	536.560	524.427	522.900	528.584	509.283	525.603	517.251	511.057	509.723	508.699	506.951
147	524.715	524.715	520.742	526.981	527.031	513.424	519.712	516.582	503.583	515.572	509.071	510.889
148	521.385	521.385	514.159	524.831	533.193	504.048	515.745	517.169	511.838	515.558	503.808	518.211
149	536.696	536.696	513.058	520.325	525.523	505.638	499.413	516.151	516.973	512.449	505.767	517.026
150	523.953	523.953	515.418	521.422	529.302	513.435	522.544	521.736	516.569	512.200	517.610	512.110
151	523.550	523.550	515.000	512.314	512.890	521.836	506.697	519.021	507.323	507.169	508.649	504.706
152	519.813	519.813	521.819	503.299	521.105	519.446	514.657	515.635	507.146	504.571	499.119	503.803
153	528.231	528.231	530.781	515.766	521.697	511.831	521.507	512.614	510.851	508.287	511.301	510.458
154	530.022	530.022	521.996	512.422	511.283	520.425	511.003	520.144	504.273	514.399	512.887	513.681
155	537.830	537.830	510.402	515.226	516.585	517.299	516.605	514.597	506.583	519.082	511.183	517.450
156	539.493	539.493	512.548	518.063	533.116	516.571	506.754	524.356	512.716	521.833	505.967	509.246
157	545.583	545.583	521.733	516.462	528.429	523.941	518.110	512.047	528.560	517.862	516.963	508.885
158	531.032	531.032	531.244	527.492	530.331	510.548	509.805	510.163	522.073	513.727	525.807	516.518
159	540.233	540.233	540.799	530.391	531.245	519.560	514.844	523.075	516.285	511.312	515.028	516.846
160	554.394	554.394	525.044	529.358	530.380	512.443	516.957	516.815	518.843	519.080	510.850	521.113
161	548.559	548.559	537.816	533.512	525.572	526.220	521.484	514.980	513.798	521.658	514.298	513.725
162	540.987	540.987	537.638	533.783	527.160	520.828	533.290	529.430	516.621	512.558	508.363	508.774
163	541.674	541.674	540.383	550.713	537.830	517.159	527.412	507.778	524.406	527.514	513.908	513.455
164	549.448	549.448	531.716	530.176	539.203	519.211	528.381	515.350	518.596	528.814	522.151	511.820
165	539.411	539.411	532.986	533.359	538.302	524.246	523.268	526.009	532.431	522.799	525.698	527.619
