 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
104	185.011	179.227	181.394	180.895	179.016	185.532	179.138	184.097	182.456	177.733	182.683	184.523	184.805	191.681	189.666
105	183.665	187.364	181.147	182.975	180.042	184.185	179.841	183.914	178.526	180.188	184.979	183.168	178.210	185.688	182.452
106	189.194	181.434	176.995	179.552	176.380	181.848	182.035	183.423	179.707	181.605	183.060	182.579	175.848	185.949	182.515
107	187.085	179.940	174.975	179.860	171.325	184.956	177.732	175.908	178.591	185.957	176.885	179.129	179.959	179.416	182.908
108	186.863	177.039	182.238	182.139	176.167	179.127	183.498	178.305	180.539	181.535	182.646	181.408	187.441	180.257	184.248
109	187.564	182.734	178.792	183.672	182.585	184.125	179.923	186.025	181.684	182.705	181.979	181.930	186.634	179.952	189.563
110	188.346	175.522	179.148	183.672	178.613	182.936	183.742	182.525	179.625	184.178	180.855	180.650	184.411	178.937	186.913
111	191.276	177.132	178.287	182.211	176.844	181.875	177.204	181.021	180.794	179.486	179.858	183.226	181.639	179.809	183.023
112	191.350	177.284	180.362	178.597	174.051	182.325	182.983	186.568	179.271	182.500	182.456	181.715	183.380	175.230	182.258
113	193.962	185.930	184.407	178.035	176.501	180.847	181.265	184.076	179.594	183.732	183.398	182.287	186.773	177.300	181.843
114	185.366	179.766	178.785	177.173	174.214	185.807	182.043	181.539	177.517	183.613	178.000	180.868	185.746	182.096	182.181
115	182.701	179.592	183.574	182.143	175.646	180.940	181.924	179.049	179.476	185.434	180.612	182.124	182.950	183.263	185.406
116	183.585	187.433	181.897	177.743	178.071	185.851	177.893	177.072	177.824	184.322	180.580	187.238	183.007	182.244	174.269
117	186.477	183.132	175.585	177.597	172.194	179.718	179.059	184.923	177.909	176.857	178.576	181.333	183.386	177.794	178.556
118	182.601	180.250	179.280	178.810	176.313	182.593	186.539	180.462	185.388	183.617	184.084	182.314	182.713	178.874	183.719
119	184.080	183.881	176.061	180.852	175.511	183.278	183.956	179.220	186.665	181.842	181.688	186.461	178.705	175.766	177.403
120	182.099	187.266	174.865	176.163	174.226	178.544	175.611	180.089	181.217	186.968	181.943	182.364	183.787	177.886	181.174
121	188.396	181.389	180.050	181.113	175.084	182.995	176.751	178.266	178.306	184.161	179.244	185.871	184.811	176.881	183.474
122	186.310	181.754	180.612	180.077	178.876	178.266	180.787	181.140	180.942	182.276	181.742	181.394	182.885	173.812	180.590
123	189.638	189.457	181.065	184.081	178.031	178.197	178.425	182.461	181.503	181.653	178.901	181.654	178.437	177.146	183.524
124	182.426	185.364	179.999	181.689	177.344	187.169	185.780	179.265	180.503	181.071	182.532	183.162	181.202	176.639	188.022
125	184.474	186.244	179.194	181.013	174.678	181.393	182.743	180.687	177.277	177.905	177.044	185.859	180.777	176.967	186.918
126	188.242	179.429	180.778	179.442	178.804	181.282	179.329	181.902	181.004	180.024	176.863	179.965	181.150	180.088	187.351
127	189.177	182.180	186.801	175.318	177.022	183.113	183.750	176.935	183.450	186.453	179.439	179.889	179.391	177.520	186.769
128	183.092	179.360	182.779	177.437	172.925	181.359	181.145	176.969	178.231	181.369	179.676	183.079	181.265	183.160	187.641
129	186.549	182.100	185.209	174.673	176.105	180.559	181.133	181.189	184.714	178.581	183.358	179.253	180.106	182.620	187.856
130	182.818	185.939	188.126	179.288	176.020	178.924	178.766	182.969	179.518	182.323	188.600	181.642	181.078	181.200	187.941
131	188.640	179.090	182.259	178.737	174.561	174.419	176.133	183.525	183.180	177.010	187.758	185.748	182.060	180.539	187.367
132	196.030	179.593	175.618	180.042	174.003	175.758	177.576	184.249	176.192	178.182	184.844	177.054	182.943	183.234	190.201
133	195.119	178.303	176.355	179.244	175.362	184.316	174.940	180.089	179.657	183.862	184.698	184.601	184.745	184.654	190.516
134	188.844	172.942	180.113	181.487	172.061	185.960	175.526	179.596	176.355	182.728	183.121	181.291	182.236	182.377	185.020
135	194.329	174.716	178.642	176.242	174.752	177.563	180.210	176.024	179.692	180.975	181.599	180.275	180.223	181.005	186.267
136	188.737	183.843	177.689	177.166	172.448	182.605	185.996	179.271	184.302	178.517	177.162	180.191	181.588	182.312	186.585
137	185.429	177.168	180.986	177.214	170.632	180.083	182.908	179.477	181.731	182.390	177.973	183.449	180.365	186.803	185.135
138	183.585	175.679	176.789	179.214	176.150	179.346	176.151	179.629	179.221	169.110	178.486	183.626	175.403	176.127	186.504
139	181.872	179.380	180.490	178.027	177.849	178.779	180.191	177.028	179.635	179.517	177.449	182.227	176.245	180.356	178.386
140	187.246	178.775	179.750	177.178	179.693	176.217	182.342	175.580	175.938	180.817	176.564	180.819	179.480	181.039	175.979
141	186.801	175.819	178.876	175.178	173.507	179.539	175.200	178.547	181.265	177.217	177.992	176.132	177.702	177.353	184.026
142	182.111	181.191	179.843	178.856	178.357	179.281	175.749	179.191	179.539	179.751	185.836	174.060	178.312	174.123	183.153
143	180.664	182.000	180.050	181.988	173.125	183.069	176.274	177.895	177.624	183.076	184.172	173.708	182.606	174.477	179.481
144	183.287	183.476	179.478	181.368	173.352	179.504	179.161	180.943	176.777	183.985	180.128	179.355	176.968	176.521	176.447
145	179.653	186.366	179.988	180.487	176.314	175.183	177.411	180.257	175.841	178.858	174.817	179.458	180.278	174.695	176.404
146	179.409	178.228	177.440	175.429	177.592	180.481	179.598	181.306	176.474	181.114	173.892	181.818	183.865	174.611	175.970
147	181.183	178.261	178.969	177.429	176.683	176.455	176.345	175.881	179.068	179.002	171.381	181.218	179.386	173.961	171.875
148	174.390	178.718	174.144	176.213	172.698	179.229	175.011	175.373	179.345	179.161	177.765	179.601	174.484	174.495	172.800
149	175.503	175.503	181.115	175.444	172.400	178.563	177.394	176.047	181.697	181.738	182.620	184.876	179.299	173.675	175.134
150	183.569	175.137	176.150	180.839	170.018	177.881	177.442	176.940	177.274	178.261	176.683	182.204	177.754	169.389	172.620
151	180.603	176.787	178.618	183.181	174.368	180.307	176.279	180.383	172.714	175.617	177.193	178.616	179.828	169.856	169.531
152	173.898	177.002	181.771	177.387	170.455	174.256	177.601	182.555	172.162	175.675	180.577	183.540	181.076	170.327	167.684
153	172.958	176.277	172.209	173.752	174.182	176.581	179.635	176.917	173.325	175.492	176.147	172.975	179.401	171.456	167.232
154	170.180	175.163	176.398	175.957	175.851	181.360	176.423	179.861	178.017	177.004	174.442	175.917	178.462	172.954	166.688
155	171.573	175.980	177.137	172.525	176.040	178.401	178.126	174.028	176.029	175.785	177.255	180.544	182.258	169.612	171.936
156	172.532	176.274	176.755	178.503	176.207	177.725	175.228	180.076	180.077	179.203	177.126	176.532	177.681	168.675	169.927
157	175.931	176.090	180.630	175.077	171.510	180.990	176.279	176.185	178.548	179.987	180.882	173.678	179.050	163.831	171.405
158	170.590	175.079	181.433	176.698	168.776	176.179	176.506	173.258	178.338	180.066	179.153	174.893	180.062	168.528	168.873
159	172.250	178.256	179.087	177.162	176.077	176.894	172.939	173.200	177.728	175.441	175.688	182.271	179.972	167.060	169.408
160	175.428	180.444	178.130	180.837	174.541	177.198	176.963	176.908	178.786	177.761	181.960	176.506	179.014	166.151	168.535
161	172.507	175.178	174.503	174.495	176.170	175.391	187.304	175.676	177.342	176.808	181.588	178.680	173.380	165.207	170.145
162	169.047	172.967	171.767	170.463	170.682	172.677	177.577	172.314	178.082	180.260	182.909	174.052	175.570	164.330	171.194
163	173.547	175.127	178.665	172.639	171.883	179.088	177.125	175.440	181.056	178.973	179.692	174.617	178.697	165.905	172.741
164	176.235	177.071	180.623	173.805	171.691	180.013	177.118	173.349	188.481	184.778	180.096	177.123	179.503	166.382	174.257
