 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
167	180.895	180.895	179.894	177.608	171.445	175.917	172.364	177.690	167.663
168	174.335	174.335	181.878	178.175	172.129	170.000	175.394	174.509	176.604
169	172.646	172.646	179.076	179.669	176.499	170.974	168.185	168.840	172.267
170	172.692	172.692	180.257	178.234	170.327	173.546	172.896	176.341	172.988
171	173.599	173.599	180.227	175.177	172.631	170.982	173.262	173.101	172.832
172	178.065	178.065	170.775	171.685	172.081	173.934	177.674	170.729	169.004
173	170.713	170.713	173.821	169.882	175.962	177.357	172.968	173.394	169.487
174	172.293	172.293	174.990	173.125	172.656	174.837	169.087	172.562	177.376
175	172.575	172.575	172.522	175.259	167.859	177.183	166.751	172.535	176.388
176	171.595	171.595	172.970	175.082	172.254	171.224	166.119	172.573	177.582
177	170.840	170.840	173.533	172.313	177.318	174.783	169.494	172.562	171.038
178	166.631	166.631	171.009	177.041	175.406	178.456	171.699	182.109	176.362
179	163.334	163.334	170.227	170.109	174.208	170.123	177.146	182.120	175.712
180	169.307	169.307	174.264	171.906	172.842	173.528	172.864	176.061	171.624
181	171.380	171.380	169.046	170.726	169.938	168.315	173.050	172.235	171.029
182	163.020	163.020	166.337	174.447	172.233	171.017	175.223	175.171	169.777
183	168.919	168.919	170.265	173.058	174.795	175.127	171.475	174.378	171.411
184	170.664	170.664	173.402	170.687	174.677	179.908	175.960	172.125	169.614
185	173.997	173.997	171.280	174.199	169.620	176.721	175.571	179.228	168.324
186	175.640	175.640	169.490	170.458	167.040	175.017	173.511	172.621	172.820
187	172.019	172.019	171.279	173.175	167.958	172.106	173.568	170.961	169.277
188	169.654	169.654	175.148	172.169	168.575	170.994	171.131	177.083	170.550
189	167.348	167.348	174.383	168.293	172.689	172.425	171.621	171.497	169.506
190	166.834	166.834	171.609	170.684	169.065	171.891	170.331	172.322	169.924
191	170.637	170.637	173.916	173.403	173.673	170.265	174.326	176.403	168.726
192	172.183	172.183	173.299	170.706	172.241	172.714	172.598	176.040	166.395
193	162.676	162.676	174.006	172.620	170.908	166.454	173.470	170.682	173.634
194	165.052	165.052	171.671	170.675	170.652	171.938	175.690	168.641	170.375
195	165.868	165.868	173.916	172.384	168.304	174.271	174.932	176.318	175.016
196	163.866	163.866	172.979	172.002	172.850	178.765	170.048	168.037	167.766
197	169.327	169.327	174.053	167.527	168.195	173.266	165.709	171.647	168.560
198	169.483	169.483	171.749	166.426	169.774	171.301	167.688	178.452	173.163
199	165.360	165.360	171.813	171.252	169.239	171.168	172.143	172.034	168.692
200	167.502	167.502	170.970	168.335	170.123	169.319	174.610	170.013	167.633
201	169.566	169.566	172.041	168.679	172.967	176.578	169.117	175.372	173.763
202	169.739	169.739	176.779	170.179	165.689	167.952	170.936	170.735	175.963
203	170.334	170.334	176.982	175.260	170.365	171.862	171.614	176.887	172.455
204	164.442	164.442	172.453	173.183	176.337	169.632	174.062	171.011	171.203
205	163.698	163.698	169.435	169.480	168.536	170.886	169.045	165.931	171.192
206	171.707	171.707	169.079	172.843	170.083	172.831	166.928	170.678	172.496
207	167.613	167.613	176.539	172.616	168.163	174.435	167.609	167.207	172.460
208	164.694	164.694	170.732	167.923	171.690	175.577	173.544	174.376	173.225
209	167.192	167.192	165.363	170.885	171.932	173.049	178.178	170.053	172.169
210	168.199	168.199	164.503	173.925	168.945	171.883	168.732	172.827	169.723
211	161.985	161.985	171.313	169.937	167.189	169.134	171.083	169.111	165.395
212	163.852	163.852	169.538	171.618	171.289	169.485	168.270	170.360	172.823
213	164.171	164.171	168.955	170.909	173.048	170.522	171.251	167.434	172.185
214	172.313	172.313	167.076	169.833	171.397	173.191	168.061	170.821	169.644
215	167.455	167.455	169.735	172.796	172.628	172.195	172.974	171.571	171.198
216	163.561	163.561	175.044	169.639	172.046	166.706	168.138	171.392	171.868
217	163.286	163.286	173.722	173.585	166.575	169.015	170.623	173.123	164.718
218	166.632	166.632	169.752	170.108	169.914	169.702	175.980	163.783	171.418
219	169.763	169.763	168.709	162.895	167.917	168.543	173.256	167.918	170.802
220	169.099	169.099	171.632	167.019	168.150	168.729	170.299	177.617	172.777
221	166.304	166.304	171.856	168.197	169.074	168.453	168.632	162.484	173.619
222	165.096	165.096	173.843	171.359	174.243	164.104	168.792	165.207	170.150
223	165.328	165.328	171.379	170.390	165.296	167.059	167.343	168.574	171.345
224	163.044	163.044	167.965	171.892	171.995	168.812	161.618	171.724	172.771
225	163.822	163.822	167.894	164.627	169.116	171.095	168.875	167.540	170.176
226	161.756	161.756	164.829	167.841	169.886	171.468	170.861	167.760	167.651
227	163.002	163.002	167.557	171.663	170.747	174.946	166.482	166.901	170.688
228	166.217	166.217	164.187	170.149	169.296	175.522	166.074	166.409	174.044
229	165.944	165.944	174.231	167.066	164.550	171.598	167.744	167.925	175.855
230	171.483	171.483	170.433	166.290	167.375	171.341	171.912	169.707	176.132
231	171.251	171.251	170.609	173.789	174.837	170.825	174.252	169.402	170.059
232	169.354	169.354	174.042	167.660	170.220	171.642	172.125	168.529	170.780
233	158.626	158.626	174.205	171.245	171.020	169.848	170.497	173.188	167.698
234	164.683	164.683	169.358	170.216	177.520	168.666	171.325	170.356	177.331
235	167.612	167.612	170.759	168.217	173.140	169.052	172.923	174.429	174.357
236	165.082	165.082	165.455	165.603	174.339	166.846	168.618	170.454	168.909
237	168.471	168.471	163.279	167.331	168.403	166.495	169.430	173.254	168.731
238	171.776	171.776	169.095	166.876	162.242	168.088	170.023	170.473	165.253
239	161.976	161.976	169.706	167.034	166.397	170.506	166.527	166.068	166.577
240	162.342	162.342	170.792	169.211	171.817	167.675	168.727	169.280	169.843
241	169.247	169.247	167.932	166.315	169.846	172.627	163.959	172.775	163.672
242	162.885	162.885	169.200	166.513	168.685	172.153	169.902	176.260	169.653
243	163.050	163.050	172.504	168.112	166.849	169.579	166.859	168.844	168.314
244	163.842	163.842	165.975	167.153	166.494	171.208	173.898	170.086	167.164
245	166.251	166.251	169.539	168.358	170.571	170.918	164.017	165.490	164.315
246	168.960	168.960	167.346	169.443	171.455	170.081	166.834	171.385	169.516
247	165.852	165.852	162.856	170.449	163.999	170.703	168.820	170.049	164.809
248	163.949	163.949	166.172	171.388	165.584	172.042	165.070	166.091	165.825
249	164.642	164.642	166.790	164.301	161.232	166.438	162.291	167.872	163.846
250	163.167	163.167	168.377	169.197	164.924	169.072	166.609	168.263	163.638
251	162.570	162.570	171.400	168.834	165.607	172.173	167.647	168.989	170.325
252	167.831	167.831	163.943	171.580	167.465	166.468	168.388	169.028	170.368
253	165.815	165.815	164.920	168.798	167.600	168.088	167.268	170.097	167.275
254	168.039	168.039	169.800	164.622	169.793	166.673	167.131	169.897	173.105
255	163.509	163.509	164.728	166.206	166.188	168.230	171.441	169.361	170.490
256	165.383	165.383	167.115	166.234	166.998	170.810	166.918	164.601	167.838
257	159.235	159.235	168.185	161.075	165.218	165.157	166.580	167.049	168.559
258	161.854	161.854	160.035	165.614	162.717	162.715	169.980	173.812	163.397
259	170.821	170.821	170.319	165.127	169.458	168.291	164.821	169.312	168.044
260	164.067	164.067	169.201	168.112	164.546	168.410	163.353	168.468	167.492
261	164.008	164.008	163.987	167.858	163.253	169.687	168.715	170.266	169.372
262	170.015	170.015	166.599	161.350	167.681	165.303	170.617	168.363	168.806
263	166.492	166.492	167.381	163.982	166.405	166.001	170.487	170.699	163.575
264	162.388	162.388	167.551	169.144	169.043	167.845	167.369	166.046	163.136
265	163.257	163.257	162.357	167.618	168.433	171.545	169.275	166.338	164.186
266	164.282	164.282	162.528	169.046	171.698	162.348	169.399	164.311	166.803
