 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
42	280.386	280.159	289.349	276.554	285.970	279.857	279.646	271.551	274.326	287.934	278.375	270.005	284.618	284.815	284.306	294.975	276.283
43	281.733	285.935	285.709	290.677	285.182	275.192	285.701	271.207	277.703	292.298	279.331	285.844	286.724	289.411	299.784	293.818	295.978
44	294.279	290.903	278.635	288.918	288.782	286.475	280.843	277.994	282.569	284.322	288.652	278.871	290.179	303.374	300.554	291.178	288.933
45	288.616	285.627	274.729	290.944	279.177	280.967	286.267	281.471	276.340	287.606	287.523	278.530	292.254	283.711	297.830	295.169	289.041
46	286.668	288.187	293.330	282.999	285.193	290.153	288.087	276.534	276.998	295.584	296.801	287.898	295.910	299.284	305.462	296.497	298.604
47	296.711	295.838	293.949	289.653	288.581	301.670	283.345	277.858	282.117	287.984	290.897	293.323	306.654	296.525	318.317	298.987	290.586
48	294.831	298.561	302.131	288.122	288.032	303.308	289.631	288.496	279.002	295.437	282.726	291.349	308.259	295.932	304.407	298.124	292.487
49	299.117	300.233	298.464	296.963	292.401	294.168	302.225	292.146	285.925	302.641	292.361	299.589	309.538	298.150	310.968	294.988	305.200
50	300.748	303.719	297.396	297.059	299.818	304.435	287.738	287.543	295.810	293.303	301.194	299.217	310.272	298.412	308.117	300.966	295.235
51	295.014	299.422	303.075	305.668	299.165	306.582	281.163	288.726	291.271	303.884	306.038	298.184	306.748	304.157	316.606	309.811	290.143
52	300.407	317.557	302.180	313.640	298.620	312.260	293.253	294.209	292.970	309.957	309.645	302.682	300.501	312.630	318.620	315.260	306.247
53	310.602	301.472	301.520	317.886	298.583	305.933	296.588	298.948	303.179	296.343	306.930	312.968	310.778	322.620	328.655	317.805	307.153
54	312.886	320.574	310.247	308.083	306.394	311.475	303.976	306.073	305.184	304.175	309.084	303.480	314.941	308.858	332.487	307.573	312.323
55	311.526	311.573	308.714	308.452	306.198	318.582	308.763	300.591	306.297	307.473	316.027	314.277	313.713	324.090	324.673	319.867	314.770
56	312.501	330.265	314.152	318.605	312.979	314.472	298.174	304.713	315.347	315.178	312.004	311.513	327.282	306.716	332.011	322.747	321.626
