,CellName,CompNum,substrate & drug,SurroundingThickness,EChadwick
576,21-01-18_M3_P1_C5,6,20um fibronectin discs & doxycyclin,483.524263998052,5003.98043804595
594,21-01-18_M3_P1_C6,9,20um fibronectin discs & doxycyclin,155.789106078593,12579.4210900227
592,21-01-18_M3_P1_C6,7,20um fibronectin discs & doxycyclin,146.451551321752,11404.668322328798
588,21-01-18_M3_P1_C6,3,20um fibronectin discs & doxycyclin,184.767171986655,10482.6387029982
587,21-01-18_M3_P1_C6,2,20um fibronectin discs & doxycyclin,204.15154719884399,9415.6251214642
586,21-01-18_M3_P1_C6,1,20um fibronectin discs & doxycyclin,236.380807307724,9570.59666117176
585,21-01-18_M3_P1_C5,15,20um fibronectin discs & doxycyclin,532.867224267331,5262.13509998803
559,21-01-18_M3_P1_C4,4,20um fibronectin discs & doxycyclin,83.8248570613359,9876.57569153246
584,21-01-18_M3_P1_C5,14,20um fibronectin discs & doxycyclin,477.712829985223,4820.66644692775
582,21-01-18_M3_P1_C5,12,20um fibronectin discs & doxycyclin,414.588474226267,6301.227212523941
581,21-01-18_M3_P1_C5,11,20um fibronectin discs & doxycyclin,386.712702822908,7453.42656945625
580,21-01-18_M3_P1_C5,10,20um fibronectin discs & doxycyclin,432.63467194180197,4397.99142340677
579,21-01-18_M3_P1_C5,9,20um fibronectin discs & doxycyclin,427.41533698771,6650.4348570652
578,21-01-18_M3_P1_C5,8,20um fibronectin discs & doxycyclin,447.39118523865,3303.30952834618
577,21-01-18_M3_P1_C5,7,20um fibronectin discs & doxycyclin,447.49706060199895,4548.24341893611
583,21-01-18_M3_P1_C5,13,20um fibronectin discs & doxycyclin,515.885900717965,7815.05028714525
813,21-01-21_M2_P1_C10,8,20um fibronectin discs & doxycyclin,227.85193797927002,2978.3427219999394
558,21-01-18_M3_P1_C4,3,20um fibronectin discs & doxycyclin,77.14711062194509,11251.7056821843
556,21-01-18_M3_P1_C4,1,20um fibronectin discs & doxycyclin,79.1454645290978,10574.2795265161
357,21-01-18_M1_P1_C8,4,20um fibronectin discs & doxycyclin,152.271112047425,132023.361040733
358,21-01-18_M1_P1_C8,5,20um fibronectin discs & doxycyclin,157.88127633691002,99321.23224987561
359,21-01-18_M1_P1_C8,6,20um fibronectin discs & doxycyclin,167.89147603139799,126844.582963215
361,21-01-18_M1_P1_C8,8,20um fibronectin discs & doxycyclin,176.36284061571098,73454.38999846019
362,21-01-18_M1_P1_C8,9,20um fibronectin discs & doxycyclin,195.689551223592,52842.6955361897
364,21-01-18_M1_P1_C9,1,20um fibronectin discs & doxycyclin,241.247387417037,14903.5274927274
365,21-01-18_M1_P1_C9,2,20um fibronectin discs & doxycyclin,229.272882932953,24064.048251421
366,21-01-18_M1_P1_C9,3,20um fibronectin discs & doxycyclin,252.457207377203,13226.8566671373
367,21-01-18_M1_P1_C9,4,20um fibronectin discs & doxycyclin,226.508558345823,20036.9187561678
368,21-01-18_M1_P1_C9,5,20um fibronectin discs & doxycyclin,207.585051002294,25123.939054609302
369,21-01-18_M1_P1_C9,6,20um fibronectin discs & doxycyclin,205.890299864458,27914.8139005789
370,21-01-18_M1_P1_C9,7,20um fibronectin discs & doxycyclin,191.39551055717098,46812.8302823007
371,21-01-18_M1_P1_C9,8,20um fibronectin discs & doxycyclin,193.920728360993,42536.4202886591
612,21-01-18_M3_P1_C7,10,20um fibronectin discs & doxycyclin,215.121570360374,47122.705166067404
610,21-01-18_M3_P1_C7,8,20um fibronectin discs & doxycyclin,208.88989224857,31912.794416158198
605,21-01-18_M3_P1_C7,3,20um fibronectin discs & doxycyclin,186.07106555162102,24625.769635689303
603,21-01-18_M3_P1_C7,1,20um fibronectin discs & doxycyclin,189.697926102433,29310.257385207
553,21-01-18_M3_P1_C3,9,20um fibronectin discs & doxycyclin,225.847425279509,23645.5666863445
552,21-01-18_M3_P1_C3,8,20um fibronectin discs & doxycyclin,225.638396090214,19201.419711166498
551,21-01-18_M3_P1_C3,7,20um fibronectin discs & doxycyclin,227.907274292221,13347.6566372548
550,21-01-18_M3_P1_C3,6,20um fibronectin discs & doxycyclin,253.281397910136,18419.2112216689
549,21-01-18_M3_P1_C3,5,20um fibronectin discs & doxycyclin,251.481372113255,18672.0480827567
547,21-01-18_M3_P1_C3,3,20um fibronectin discs & doxycyclin,201.67345450644402,12399.6380350563
557,21-01-18_M3_P1_C4,2,20um fibronectin discs & doxycyclin,77.0612283356068,16412.3493250653
546,21-01-18_M3_P1_C3,2,20um fibronectin discs & doxycyclin,197.737888857067,10370.982349927099
543,21-01-18_M3_P1_C2,14,20um fibronectin discs & doxycyclin,103.583913206101,80495.7941323698
539,21-01-18_M3_P1_C2,10,20um fibronectin discs & doxycyclin,103.424410695678,34093.92771346
524,21-01-18_M3_P1_C1,7,20um fibronectin discs & doxycyclin,131.236859189207,40252.5136188941
520,21-01-18_M3_P1_C1,3,20um fibronectin discs & doxycyclin,132.199167748739,43411.6137095342
519,21-01-18_M3_P1_C1,2,20um fibronectin discs & doxycyclin,135.89370515614402,30281.6364359392
518,21-01-18_M3_P1_C1,1,20um fibronectin discs & doxycyclin,149.015873351592,17401.9925952671
544,21-01-18_M3_P1_C2,15,20um fibronectin discs & doxycyclin,80.22240380225229,34875.3382772768
814,21-01-21_M2_P1_C10,9,20um fibronectin discs & doxycyclin,170.476646143557,9709.29883842735
602,21-01-18_M3_P1_C6,17,20um fibronectin discs & doxycyclin,146.812567682522,38665.6950022928
816,21-01-21_M2_P1_C2,1,20um fibronectin discs & doxycyclin,196.202640218936,8955.260989741591
907,21-01-21_M2_P1_C6,7,20um fibronectin discs & doxycyclin,198.63328511597803,16368.1741812323
905,21-01-21_M2_P1_C6,5,20um fibronectin discs & doxycyclin,243.27988754245098,9505.512394254749
904,21-01-21_M2_P1_C6,4,20um fibronectin discs & doxycyclin,258.587670787905,7291.10393635243
903,21-01-21_M2_P1_C6,3,20um fibronectin discs & doxycyclin,171.782276584748,34443.8133237831
902,21-01-21_M2_P1_C6,2,20um fibronectin discs & doxycyclin,159.826297336417,56859.768687711396
901,21-01-21_M2_P1_C6,1,20um fibronectin discs & doxycyclin,169.834790998403,32719.4269379136
899,21-01-21_M2_P1_C4,18,20um fibronectin discs & doxycyclin,177.033324850313,31885.1817286502
898,21-01-21_M2_P1_C4,17,20um fibronectin discs & doxycyclin,200.627068257219,35545.3210756323
897,21-01-21_M2_P1_C4,16,20um fibronectin discs & doxycyclin,179.365455535469,33820.358962584796
891,21-01-21_M2_P1_C4,10,20um fibronectin discs & doxycyclin,162.214051876291,40682.0974276889
890,21-01-21_M2_P1_C4,9,20um fibronectin discs & doxycyclin,174.627503097486,31196.0304305902
888,21-01-21_M2_P1_C4,7,20um fibronectin discs & doxycyclin,177.817628069021,62301.1833452389
885,21-01-21_M2_P1_C4,4,20um fibronectin discs & doxycyclin,179.782965650176,23428.1904130829
884,21-01-21_M2_P1_C4,3,20um fibronectin discs & doxycyclin,176.39970783946498,22038.4686113387
883,21-01-21_M2_P1_C4,2,20um fibronectin discs & doxycyclin,160.82382766538,42680.953157615695
882,21-01-21_M2_P1_C4,1,20um fibronectin discs & doxycyclin,156.948176425681,24312.474032476097
881,21-01-21_M2_P1_C3-2,22,20um fibronectin discs & doxycyclin,431.380958713292,40700.744408101804
908,21-01-21_M2_P1_C6,8,20um fibronectin discs & doxycyclin,187.604984503407,38973.3715178122
909,21-01-21_M2_P1_C6,9,20um fibronectin discs & doxycyclin,213.10997056738498,19664.1131968532
913,21-01-21_M2_P1_C7,1,20um fibronectin discs & doxycyclin,241.664109163125,5749.156157640639
914,21-01-21_M2_P1_C7,2,20um fibronectin discs & doxycyclin,280.174247359294,4411.57392554574
815,21-01-21_M2_P1_C10,10,20um fibronectin discs & doxycyclin,211.580577053488,6730.091269467691
940,21-01-21_M2_P1_C9,7,20um fibronectin discs & doxycyclin,192.371045122875,75282.4912366375
934,21-01-21_M2_P1_C9,1,20um fibronectin discs & doxycyclin,176.68686778371102,47491.0268984272
933,21-01-21_M2_P1_C8,11,20um fibronectin discs & doxycyclin,715.867229719389,1668.7626280541501
932,21-01-21_M2_P1_C8,10,20um fibronectin discs & doxycyclin,633.637968478047,1353.6735655981802
930,21-01-21_M2_P1_C8,8,20um fibronectin discs & doxycyclin,897.591461134911,1219.42256208458
926,21-01-21_M2_P1_C8,4,20um fibronectin discs & doxycyclin,671.717853170317,1836.3739253189603
925,21-01-21_M2_P1_C8,3,20um fibronectin discs & doxycyclin,669.909373771746,1629.94326632603
