 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
168	165.707	165.707	176.181	181.149	181.467	180.758	176.747	174.515	180.715	180.951	175.568	192.149
169	171.985	171.985	174.422	182.920	179.740	178.669	179.113	175.676	183.281	180.166	177.706	191.758
170	167.845	167.845	176.146	180.833	180.993	183.928	181.868	176.253	180.892	178.528	176.091	193.064
171	167.765	167.765	178.505	176.009	179.028	178.884	181.258	180.093	177.548	175.622	177.018	190.803
172	169.214	169.214	178.603	174.201	181.067	180.951	183.861	175.427	176.582	176.580	175.861	195.144
173	169.372	169.372	173.259	175.803	173.091	176.097	181.509	177.768	177.510	175.952	179.211	190.324
174	169.288	169.288	175.348	180.944	177.344	175.821	177.434	178.606	182.724	180.345	179.764	190.938
175	167.031	167.031	175.963	175.395	177.778	178.622	179.559	175.081	177.253	181.962	176.229	186.736
176	167.283	167.283	179.406	173.018	178.660	181.697	178.018	178.589	176.963	179.938	178.812	188.102
177	164.052	164.052	177.768	173.288	174.483	181.818	175.222	178.878	179.213	179.755	178.140	189.863
178	165.852	165.852	179.959	177.370	178.490	178.506	180.970	176.517	180.834	174.063	177.041	185.371
179	164.203	164.203	176.336	177.422	178.729	172.032	177.951	183.034	180.373	180.071	174.302	187.179
180	163.129	163.129	176.713	176.565	172.429	174.566	176.049	185.133	181.447	179.088	180.097	198.495
181	165.426	165.426	173.396	173.220	171.641	176.390	177.524	180.452	179.460	180.713	177.625	188.173
182	164.541	164.541	179.819	173.385	176.272	182.160	174.656	178.107	180.602	177.723	180.312	183.717
183	170.045	170.045	173.669	174.240	176.587	180.121	173.325	175.183	180.978	179.405	173.607	189.433
184	164.904	164.904	171.726	173.117	176.317	175.315	173.739	173.908	178.330	177.902	175.075	187.050
185	165.578	165.578	171.948	177.515	172.599	175.954	171.021	175.303	173.586	177.177	180.774	193.694
186	163.633	163.633	175.906	174.847	172.564	171.613	176.694	176.807	173.624	172.180	178.585	190.679
187	162.309	162.309	171.556	172.616	176.261	176.625	182.569	178.394	174.718	178.422	178.821	187.911
188	164.687	164.687	167.902	172.468	175.935	171.957	180.504	181.188	176.183	171.505	174.609	185.017
189	158.752	158.752	173.165	179.526	172.665	175.660	179.091	178.299	173.996	171.365	177.802	187.883
190	160.523	160.523	170.907	172.665	177.067	180.371	179.794	180.803	173.314	176.918	174.613	187.681
191	163.654	163.654	171.901	170.080	169.243	176.867	176.048	177.431	178.258	179.384	172.755	190.562
192	168.860	168.860	171.315	168.519	169.803	175.541	175.797	180.274	179.495	176.066	174.946	189.832
193	166.651	166.651	175.407	168.067	177.819	173.361	176.030	180.210	184.823	176.060	172.645	188.853
194	163.057	163.057	171.528	169.352	176.244	176.674	173.323	174.531	180.724	174.332	172.131	190.941
195	163.011	163.011	172.402	172.026	178.688	170.844	174.278	176.898	175.936	177.636	171.594	189.378
196	166.294	166.294	166.353	175.205	175.552	170.585	171.089	171.648	174.144	173.129	171.955	187.872
197	168.777	168.777	173.784	177.063	176.926	173.623	173.070	175.152	173.817	171.969	172.505	185.970
198	164.133	164.133	169.398	174.609	180.070	176.864	175.555	175.537	171.493	176.323	171.368	187.055
199	162.360	162.360	166.123	169.884	173.774	175.931	172.425	166.231	173.476	176.390	169.312	186.985
200	167.538	167.538	168.031	172.583	171.079	178.724	180.950	171.054	179.834	168.626	172.895	185.484
201	168.532	168.532	168.545	170.294	175.672	171.350	173.427	177.937	173.638	170.871	170.499	185.861
202	163.644	163.644	164.264	171.893	176.174	172.225	173.183	176.668	170.630	168.549	171.782	184.412
203	159.138	159.138	170.096	170.194	168.996	174.099	170.788	171.210	171.271	166.444	175.636	181.694
204	165.688	165.688	169.582	172.578	172.842	172.684	174.135	170.023	168.665	167.205	172.540	184.894
205	170.619	170.619	167.146	172.589	171.365	176.844	170.325	177.804	173.769	172.913	167.960	181.982
206	163.773	163.773	167.204	167.853	173.950	173.855	171.143	170.657	173.341	173.663	170.545	185.432
207	163.394	163.394	167.351	168.766	174.742	172.598	175.205	177.123	168.165	169.729	171.017	181.149
208	159.261	159.261	167.353	170.806	172.573	173.535	172.230	178.093	170.776	166.769	173.120	180.110
209	162.857	162.857	170.947	168.270	171.073	172.862	170.598	172.990	172.567	168.512	172.164	184.856
210	169.777	169.777	168.134	175.783	167.013	173.366	169.886	170.324	171.257	167.592	170.751	182.893
211	165.660	165.660	164.646	173.756	171.368	166.564	168.952	173.246	170.757	169.270	171.029	180.541
212	164.664	164.664	165.953	174.795	175.167	171.664	165.254	173.909	170.712	168.982	172.883	177.220
213	161.028	161.028	167.515	167.663	165.470	171.329	168.346	164.163	164.654	169.446	171.555	178.726
214	164.942	164.942	166.216	174.154	167.336	170.169	168.370	164.594	167.374	171.740	169.550	178.697
215	168.253	168.253	168.150	169.111	172.657	170.339	167.987	168.254	170.553	169.898	170.342	183.335
216	166.692	166.692	169.859	166.865	170.821	164.719	170.430	173.000	170.885	171.604	168.306	184.174
217	160.602	160.602	164.105	167.928	173.487	165.216	172.708	171.795	170.452	171.986	169.640	181.328
218	159.221	159.221	168.434	165.926	167.475	170.643	173.398	165.442	168.537	168.040	168.996	185.295
219	163.391	163.391	165.425	166.843	161.111	173.028	167.806	163.702	170.807	166.399	167.336	180.915
220	162.122	162.122	165.137	165.793	162.783	171.076	164.855	165.898	171.399	165.457	164.329	176.663
221	160.899	160.899	166.684	166.439	161.685	167.570	167.648	169.656	169.636	164.187	165.419	176.807
222	164.870	164.870	171.897	166.934	167.522	167.116	168.088	167.242	166.340	168.179	161.013	184.436
223	163.752	163.752	168.702	168.282	166.964	164.291	167.291	166.429	163.359	165.600	165.778	182.697
