 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
83	1309.191	1012.846	1064.085	1094.434	1114.552	1116.838	1144.963	1165.409	1196.797	1229.300	1263.448	1297.927
84	1295.203	1022.979	1072.291	1092.234	1094.892	1113.288	1136.906	1154.782	1171.315	1221.416	1281.010	1302.099
85	1273.797	1000.577	1079.120	1079.074	1085.791	1095.060	1107.779	1127.051	1150.989	1204.824	1252.707	1271.207
86	1252.427	1000.164	1044.281	1061.046	1081.531	1062.794	1101.879	1117.228	1159.221	1206.945	1247.821	1247.057
87	1232.612	977.161	1027.692	1037.642	1054.690	1052.520	1105.636	1101.107	1139.902	1174.051	1212.327	1214.812
88	1225.326	976.903	1000.942	1029.814	1031.627	1041.352	1084.298	1079.988	1117.104	1167.630	1216.633	1199.080
89	1189.350	990.584	1022.455	1030.898	1052.760	1026.817	1046.001	1061.988	1099.839	1144.910	1217.415	1191.148
90	1163.107	945.950	989.846	1020.598	1024.329	1023.749	1035.237	1057.272	1091.961	1115.050	1181.269	1194.529
91	1159.860	965.712	996.691	1032.496	992.235	1018.441	1028.262	1061.173	1082.351	1128.107	1161.212	1176.353
92	1141.144	960.813	995.031	997.367	980.055	1001.177	1022.883	1029.405	1054.626	1100.554	1149.993	1143.697
93	1137.564	925.122	981.093	976.651	977.124	990.858	1031.401	1030.495	1057.337	1084.177	1145.981	1127.392
94	1118.381	921.066	957.124	968.989	991.287	984.382	1000.311	1030.496	1054.886	1079.269	1129.446	1143.031
95	1101.199	928.641	947.897	961.396	980.561	968.362	1004.655	1007.741	1014.828	1060.833	1112.368	1140.068
96	1099.770	926.895	948.434	942.534	974.740	955.780	994.479	983.687	1021.674	1057.227	1102.915	1090.949
97	1084.531	886.923	925.573	953.625	953.241	945.042	964.182	987.931	1010.293	1050.104	1094.831	1087.925
98	1068.182	882.862	937.399	953.055	930.347	943.677	938.559	997.791	990.039	1027.952	1074.865	1073.588
99	1071.871	888.749	912.630	926.714	942.267	932.467	958.246	967.740	990.478	1024.346	1053.695	1043.197
100	1053.772	884.108	900.607	915.097	939.583	920.589	955.809	951.135	997.415	1014.280	1047.093	1029.111
101	1036.912	868.693	904.087	920.114	912.971	920.576	959.671	938.316	968.940	987.898	1016.646	1026.287
102	1021.011	863.688	883.983	907.676	906.682	905.146	933.216	925.446	951.062	987.325	996.445	1018.460
103	980.907	849.231	870.881	881.109	901.545	911.930	916.673	917.633	944.509	956.252	1005.259	1001.136
104	991.831	832.924	866.707	882.878	899.008	907.680	893.952	904.725	943.036	949.945	978.985	978.356
105	996.553	838.417	869.987	859.538	881.644	898.365	912.329	898.713	925.772	948.712	970.151	971.283
106	967.528	829.276	869.599	850.772	874.044	889.370	891.012	890.763	906.873	940.723	956.829	974.936
107	966.869	818.905	852.833	838.514	875.947	881.959	871.157	873.927	914.173	915.421	938.664	948.515
108	964.461	785.397	835.918	835.973	852.749	896.313	879.697	873.695	884.478	890.542	951.540	936.190
109	939.330	818.499	830.866	842.475	853.090	866.244	869.477	863.991	896.180	890.737	925.524	932.540
110	938.725	807.019	827.524	824.788	829.086	851.242	855.083	855.167	880.895	871.768	899.685	933.038
111	932.403	793.206	810.985	817.907	831.666	855.666	849.981	842.547	861.347	884.382	905.321	913.426
112	933.680	776.172	824.006	820.578	835.660	830.398	844.835	853.308	858.932	880.687	891.158	885.412
113	915.039	769.752	816.230	812.255	818.061	827.229	839.265	826.765	861.601	868.000	895.118	885.495
114	907.116	777.680	798.240	813.442	827.737	826.545	828.307	805.739	846.264	859.281	868.980	876.456
115	886.079	769.522	802.157	825.136	814.358	830.688	838.229	814.602	840.978	836.183	852.909	855.008
116	867.500	763.143	801.484	819.543	797.527	829.964	827.055	815.739	839.703	849.332	855.711	862.702
117	865.679	771.434	797.690	801.891	814.817	810.188	815.154	819.508	836.290	838.571	841.142	850.910
118	855.466	755.775	769.634	768.866	801.030	801.458	811.161	805.822	811.654	826.028	828.104	841.644
119	844.068	750.787	783.781	779.239	788.150	793.426	793.219	795.108	817.205	823.030	835.408	830.647
120	828.445	745.236	778.509	779.575	774.203	788.249	790.751	795.673	781.542	808.334	829.378	835.345
121	830.548	743.710	765.262	774.252	769.575	776.559	785.420	784.049	796.769	792.774	799.357	836.159
122	815.073	724.841	749.596	767.447	777.449	772.898	770.802	782.256	777.289	795.608	793.927	814.548
123	813.456	723.730	742.098	752.065	763.142	772.428	794.628	783.351	761.324	780.987	796.482	800.919
124	802.423	713.181	752.096	765.350	752.624	777.768	783.640	769.659	772.479	788.327	778.396	805.892
125	807.769	712.203	754.146	745.734	752.023	773.522	766.871	769.237	764.198	784.804	786.934	785.547
126	803.549	720.078	760.551	752.310	748.722	757.630	754.704	763.914	760.005	782.493	789.387	791.129
127	791.174	722.968	750.029	744.224	747.021	741.046	761.111	755.237	752.434	768.513	784.887	791.867
128	793.139	712.325	734.711	746.611	737.711	753.311	755.617	758.358	753.234	759.077	765.840	791.015
129	768.793	690.154	723.146	735.246	724.452	754.196	742.293	745.506	760.221	751.819	757.385	783.976
130	785.884	687.383	719.576	729.918	739.046	750.066	744.486	734.647	747.481	751.781	745.300	765.006
131	773.382	686.377	717.802	721.494	741.576	734.256	741.274	727.034	735.201	752.170	754.418	756.785
132	768.899	682.877	715.600	716.022	736.001	708.886	725.493	712.724	738.583	732.114	740.562	756.114
133	769.848	674.853	716.288	709.397	718.349	730.118	730.201	712.858	713.861	716.336	749.449	745.605
134	755.241	672.040	703.200	704.920	706.161	731.628	723.240	714.056	712.884	724.762	757.859	757.988
135	761.162	676.875	695.440	694.674	727.338	721.616	724.078	709.924	722.818	734.722	750.470	746.980
136	759.646	672.897	685.471	704.731	718.849	697.360	712.151	706.215	732.423	737.815	734.994	730.499
