 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8
75	345.937	345.937	348.757	339.009	332.635	335.731	324.180	333.540
76	335.130	335.130	339.882	339.560	341.254	343.404	324.703	343.428
77	348.728	348.728	346.267	351.346	353.059	347.968	339.008	337.415
78	353.791	353.791	353.106	354.055	350.995	351.296	342.706	347.791
79	358.609	358.609	349.918	346.499	340.527	344.997	349.135	358.746
80	367.391	367.391	361.183	350.014	349.366	363.111	353.137	351.111
81	375.768	375.768	353.121	369.330	338.734	363.143	355.100	350.736
82	365.287	365.287	353.823	362.543	348.551	363.315	359.567	363.316
83	366.128	366.128	367.366	366.169	363.035	363.054	359.699	368.873
84	369.051	369.051	364.096	370.518	355.335	364.660	356.971	370.453
85	381.466	381.466	379.957	377.923	374.567	371.820	356.005	371.460
86	384.108	384.108	374.952	382.866	364.705	374.457	367.079	380.506
87	380.132	380.132	377.028	375.014	363.340	375.023	370.250	379.645
88	398.606	398.606	384.744	384.775	374.129	377.250	366.183	379.610
89	395.584	395.584	394.811	388.711	380.004	383.626	375.084	394.160
90	403.306	403.306	396.841	402.827	378.278	385.736	384.349	390.409
91	419.524	419.524	407.783	399.971	400.313	391.792	399.755	390.418
92	414.273	414.273	404.174	412.432	407.570	395.414	405.324	389.596
93	409.584	409.584	405.703	424.770	400.260	403.503	390.252	405.713
94	408.640	408.640	423.185	414.743	396.285	403.063	412.459	417.038
95	428.652	428.652	446.070	433.615	406.070	406.653	405.576	412.553
96	426.724	426.724	433.418	425.043	424.474	399.445	408.684	419.618
97	431.990	431.990	432.477	433.626	410.629	415.655	417.316	419.816
98	440.107	440.107	444.344	436.861	412.940	428.131	439.236	426.851
99	448.942	448.942	439.806	441.429	429.677	433.977	436.772	434.811
100	461.629	461.629	443.570	448.598	433.110	442.241	437.668	440.820
101	459.946	459.946	456.350	447.975	423.892	440.631	434.048	441.797
102	472.853	472.853	453.144	444.243	431.966	440.513	460.465	444.786
103	462.132	462.132	459.234	482.176	444.303	448.549	455.842	445.867
104	478.060	478.060	475.823	482.322	464.282	466.756	463.659	458.451
105	484.297	484.297	469.752	482.931	458.318	469.827	467.449	464.484
106	494.171	494.171	492.331	478.807	468.979	477.985	474.947	470.752
107	498.085	498.085	493.620	498.380	477.277	479.643	475.610	484.700
108	515.136	515.136	501.535	489.223	479.301	479.518	477.675	477.142
109	522.453	522.453	508.935	501.657	487.078	480.680	482.827	491.334
110	520.589	520.589	506.194	509.750	480.328	492.599	473.108	502.190
111	524.502	524.502	516.580	527.826	496.187	517.660	494.200	508.045
112	539.106	539.106	526.365	540.282	515.799	514.056	502.478	521.255
113	559.134	559.134	534.670	533.465	526.706	529.523	502.004	514.237
114	544.502	544.502	536.872	547.722	526.408	532.434	505.730	520.517
115	559.522	559.522	540.240	559.637	531.700	530.267	530.994	514.071
116	586.348	586.348	556.419	554.089	542.605	539.254	547.771	536.077
117	606.765	606.765	561.165	570.384	545.147	555.814	543.489	543.232
118	609.834	609.834	567.479	581.582	540.488	573.985	554.324	545.895
119	615.500	615.500	577.454	581.624	558.077	572.313	575.084	564.659
120	599.242	599.242	583.543	601.154	565.493	587.500	568.415	578.796
121	623.334	623.334	603.904	615.224	592.988	587.877	585.340	572.569
122	649.806	649.806	607.803	622.979	589.208	582.403	577.339	594.805
123	658.000	658.000	610.752	609.075	585.866	599.203	603.703	600.705
124	666.661	666.661	626.801	623.901	595.819	614.471	608.931	604.645
125	651.652	651.652	638.591	647.585	599.373	624.981	601.646	615.733
126	671.923	671.923	640.581	655.847	621.545	622.629	628.144	625.141
127	690.828	690.828	664.764	677.054	620.080	630.465	643.154	630.731
128	717.464	717.464	678.644	688.225	636.034	664.335	656.362	645.441
129	730.352	730.352	685.801	680.636	668.665	667.972	665.301	655.344
130	733.615	733.615	699.672	702.095	663.430	668.717	697.242	671.230
131	743.631	743.631	703.412	713.334	687.060	705.051	694.083	680.432
132	742.613	742.613	719.384	744.701	696.941	712.234	708.246	684.998
133	788.557	788.557	751.214	756.763	711.099	717.455	724.651	713.296
134	806.031	806.031	760.293	761.883	711.721	751.036	726.754	731.921
135	814.236	814.236	773.864	777.676	740.682	759.362	730.166	742.468
136	834.493	834.493	777.128	817.162	754.639	789.729	760.673	764.777
137	844.122	844.122	808.525	834.238	746.435	804.108	778.288	772.350
138	897.599	897.599	814.704	844.195	786.611	804.896	811.228	793.797
139	904.326	904.326	844.524	861.803	790.837	836.053	826.457	808.910
140	903.317	903.317	867.511	879.234	827.029	858.674	843.428	823.781
141	929.744	929.744	875.898	885.812	817.396	868.706	857.145	848.002
142	936.902	936.902	864.860	921.667	857.726	881.809	877.380	881.268
143	950.191	950.191	891.287	930.423	867.620	896.939	898.564	887.567
144	989.924	989.924	918.384	978.460	885.556	900.315	927.354	915.176
145	990.822	990.822	938.234	981.305	902.771	914.189	931.710	918.210
146	1030.818	1030.818	972.638	995.061	898.312	944.579	946.654	938.845
147	1068.563	1068.563	979.913	1021.874	945.544	967.999	994.983	988.629
