 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13
108	478.533	478.533	485.335	474.508	474.538	479.985	489.489	477.474	494.626	480.080	482.867	480.596	482.644
109	494.744	494.744	475.359	476.456	470.830	480.591	476.210	472.054	492.634	484.024	484.285	474.325	480.290
110	498.294	498.294	472.569	481.828	473.927	486.899	478.440	494.942	485.795	475.997	488.325	474.020	484.730
111	482.044	482.044	472.461	486.885	463.437	476.206	483.942	501.663	487.646	472.064	477.631	474.725	470.444
112	477.256	477.256	480.518	479.680	474.383	482.195	489.615	489.858	489.561	487.413	479.951	480.545	484.402
113	488.062	488.062	487.231	475.080	477.886	487.287	491.483	484.466	486.302	484.315	482.655	485.999	492.951
114	485.767	485.767	482.307	489.119	477.195	476.253	498.022	493.724	483.704	482.992	483.398	469.150	489.622
115	469.182	469.182	470.014	490.371	476.816	490.760	489.606	490.699	481.918	490.029	494.077	475.987	483.173
116	491.078	491.078	485.685	485.725	478.049	484.199	491.784	486.421	492.834	486.445	490.601	478.270	479.844
117	489.936	489.936	493.676	486.091	481.015	484.234	489.689	496.119	499.637	477.134	482.313	479.040	483.294
118	490.386	490.386	496.727	477.972	478.416	486.739	488.424	490.729	491.985	480.503	483.125	477.783	481.880
119	496.420	496.420	482.123	483.114	474.147	474.858	492.389	487.154	484.530	485.130	472.761	482.932	481.692
120	504.348	504.348	485.290	486.086	480.831	475.234	497.751	481.516	495.359	485.666	491.883	477.556	494.795
121	500.262	500.262	474.545	481.594	486.369	483.661	492.561	493.422	503.790	490.791	481.099	492.458	496.496
122	500.358	500.358	468.511	483.375	476.018	482.996	493.710	489.595	494.212	493.687	479.175	495.763	493.852
123	497.954	497.954	480.301	485.417	469.889	475.839	481.112	491.895	485.401	488.526	481.721	481.866	488.610
124	503.298	503.298	477.418	486.001	482.571	478.816	493.313	477.212	486.696	488.730	476.243	501.821	482.899
125	484.925	484.925	487.025	481.445	488.302	482.761	488.741	483.250	486.915	487.574	482.669	498.123	491.942
