 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
68	1587.025	1755.750	1685.439	1666.725	1692.416	1677.061	1716.578	1685.912	1642.180	1644.545	1633.809	1637.806	1615.577	1602.774
69	1602.853	1729.426	1677.799	1637.357	1697.238	1643.515	1685.417	1698.857	1615.966	1646.703	1635.241	1605.920	1599.252	1610.019
70	1583.603	1712.807	1667.242	1642.523	1681.517	1609.532	1676.374	1693.312	1618.777	1645.166	1606.893	1607.623	1601.044	1604.050
71	1588.572	1722.227	1645.263	1656.658	1661.716	1627.571	1661.702	1711.637	1617.236	1640.674	1614.662	1597.246	1584.700	1585.480
72	1559.035	1708.423	1649.824	1630.369	1683.624	1620.180	1661.035	1689.974	1597.365	1619.070	1608.606	1603.600	1579.145	1569.285
73	1557.720	1681.640	1655.935	1612.977	1673.969	1613.189	1661.994	1651.631	1608.100	1624.600	1599.217	1581.271	1580.551	1556.560
74	1550.099	1662.836	1626.140	1608.444	1637.571	1607.171	1645.863	1661.440	1587.267	1615.490	1599.707	1569.449	1564.767	1552.390
75	1537.656	1685.499	1628.557	1595.268	1619.862	1600.127	1647.190	1618.535	1591.931	1589.267	1577.342	1578.025	1553.687	1534.659
76	1524.659	1665.073	1631.078	1581.446	1603.852	1574.582	1638.342	1628.150	1578.113	1583.709	1559.723	1562.713	1541.589	1540.646
77	1536.127	1663.713	1639.926	1590.892	1625.797	1582.509	1613.918	1623.592	1562.635	1578.632	1556.507	1561.389	1525.914	1546.737
78	1515.070	1627.657	1607.441	1584.419	1606.867	1578.249	1634.207	1606.874	1549.026	1583.043	1549.006	1553.050	1523.344	1544.312
79	1517.107	1632.813	1623.363	1564.251	1608.105	1552.923	1592.605	1618.369	1561.481	1545.530	1542.975	1529.308	1562.019	1528.809
80	1483.587	1634.847	1588.621	1559.880	1592.493	1560.465	1610.692	1588.197	1550.171	1543.112	1558.803	1536.150	1516.581	1520.373
81	1499.446	1621.389	1591.936	1549.294	1596.428	1553.067	1598.511	1582.577	1525.963	1536.552	1544.005	1519.149	1500.733	1513.973
82	1506.063	1622.740	1590.494	1560.828	1609.045	1540.320	1596.066	1597.595	1531.406	1547.218	1539.645	1507.115	1505.473	1512.983
83	1466.952	1614.775	1561.575	1555.088	1574.602	1539.253	1588.459	1558.847	1554.039	1542.355	1529.826	1509.981	1515.516	1523.022
84	1480.813	1617.783	1582.845	1567.267	1555.543	1535.800	1572.845	1564.400	1536.625	1533.732	1526.013	1510.086	1509.097	1492.123
85	1482.098	1613.323	1568.787	1532.148	1588.065	1515.688	1571.921	1559.539	1501.093	1521.979	1513.442	1510.520	1488.565	1471.319
86	1486.097	1607.385	1563.333	1539.195	1563.713	1514.673	1570.009	1585.319	1507.000	1501.437	1494.414	1532.389	1484.944	1466.695
87	1466.964	1607.160	1565.941	1544.814	1576.797	1530.085	1582.282	1587.179	1520.942	1537.580	1509.296	1504.310	1468.789	1475.032
88	1458.236	1612.994	1563.616	1533.627	1556.112	1524.099	1565.103	1562.443	1476.305	1538.750	1498.517	1483.113	1460.384	1479.501
89	1464.084	1599.764	1568.025	1523.777	1547.748	1525.036	1557.958	1553.096	1487.693	1547.641	1496.296	1504.896	1473.004	1450.284
90	1453.909	1595.422	1576.195	1509.723	1538.250	1527.655	1544.630	1577.498	1469.449	1505.891	1490.122	1477.872	1461.094	1445.547
91	1461.156	1593.001	1575.427	1504.781	1560.972	1486.045	1553.785	1572.640	1453.598	1492.419	1484.266	1480.852	1472.333	1447.670
92	1460.698	1575.305	1534.444	1505.458	1536.690	1473.079	1547.961	1545.950	1476.742	1515.204	1490.932	1470.467	1475.082	1458.703
93	1450.369	1592.963	1546.057	1522.070	1548.801	1505.047	1543.564	1526.510	1472.230	1505.291	1475.446	1490.650	1447.009	1440.807
94	1428.074	1565.385	1525.125	1507.778	1545.403	1512.500	1553.291	1530.278	1463.592	1476.684	1458.333	1468.097	1448.585	1450.601
95	1441.595	1580.373	1524.343	1493.202	1514.946	1483.250	1526.676	1510.469	1457.056	1478.596	1453.676	1468.859	1435.271	1447.822
96	1443.936	1575.783	1547.981	1503.256	1514.111	1461.078	1511.882	1525.586	1463.520	1497.008	1460.416	1460.922	1428.503	1444.029
97	1431.812	1550.673	1536.788	1499.697	1529.538	1475.013	1522.137	1507.890	1444.932	1458.452	1457.614	1442.424	1452.560	1435.564
98	1430.844	1567.633	1521.861	1500.543	1514.899	1469.247	1515.930	1508.369	1452.620	1460.136	1460.216	1458.373	1450.998	1430.647
99	1421.593	1573.160	1512.070	1493.022	1505.079	1468.098	1524.130	1507.512	1459.010	1457.664	1475.418	1448.294	1446.886	1406.569
100	1414.747	1552.081	1516.182	1486.943	1528.372	1473.776	1507.790	1489.158	1465.279	1473.179	1472.306	1419.912	1460.460	1421.553
101	1407.097	1564.626	1513.222	1488.052	1513.025	1468.558	1519.264	1509.061	1448.912	1463.318	1431.657	1438.038	1437.953	1422.284
102	1401.257	1569.024	1515.140	1487.525	1473.600	1483.473	1512.477	1500.914	1440.127	1464.513	1445.541	1414.278	1424.653	1417.729
103	1396.388	1553.926	1515.238	1477.808	1483.297	1464.802	1513.590	1507.984	1446.657	1442.786	1446.527	1438.112	1425.283	1403.809
104	1404.198	1542.763	1499.339	1479.444	1485.043	1457.913	1495.434	1490.698	1451.061	1447.003	1433.511	1455.361	1416.558	1407.090
105	1350.704	1491.019	1463.607	1398.864	1430.996	1409.181	1435.672	1438.436	1380.200	1389.037	1360.115	1359.359	1356.896	1354.334
106	1339.203	1485.811	1469.415	1403.229	1454.984	1391.813	1446.213	1443.129	1378.274	1411.620	1378.081	1354.956	1367.487	1365.699
107	1344.439	1501.948	1452.593	1428.178	1452.666	1404.419	1432.840	1449.765	1387.728	1392.097	1377.396	1358.231	1351.677	1360.390
108	1355.731	1510.077	1473.400	1429.239	1450.883	1423.189	1447.110	1455.255	1420.319	1399.903	1379.601	1367.463	1360.447	1363.148
109	1349.874	1498.704	1449.062	1395.454	1461.036	1413.345	1469.636	1460.033	1389.034	1395.734	1382.489	1365.800	1366.794	1359.747
110	1350.294	1483.369	1419.123	1395.609	1456.045	1426.552	1458.550	1450.930	1377.354	1387.776	1375.768	1372.173	1355.780	1362.791
111	1349.099	1484.742	1464.189	1431.445	1467.652	1425.124	1440.877	1437.077	1372.998	1390.290	1384.295	1365.819	1357.259	1350.012
112	1334.849	1498.104	1461.111	1415.483	1454.389	1408.593	1418.852	1430.462	1381.725	1383.622	1375.011	1373.775	1353.079	1350.110
113	1346.136	1493.441	1453.593	1426.355	1451.249	1392.375	1430.276	1443.158	1386.220	1390.788	1412.562	1392.111	1379.697	1345.863
114	1350.027	1504.096	1489.533	1431.881	1455.873	1395.358	1426.038	1441.231	1376.408	1408.841	1405.343	1355.504	1376.546	1336.686
115	1335.612	1526.602	1456.234	1435.257	1450.040	1416.945	1436.579	1426.962	1401.485	1405.303	1405.312	1357.131	1373.567	1359.849
116	1339.222	1489.656	1465.610	1440.333	1440.326	1413.043	1440.716	1442.118	1376.971	1409.933	1398.120	1369.984	1361.960	1350.836
117	1374.346	1502.800	1482.712	1438.143	1447.984	1436.970	1459.111	1462.283	1388.084	1398.019	1398.075	1406.673	1370.859	1379.945
118	1350.348	1488.664	1490.578	1433.908	1443.251	1415.367	1439.005	1467.694	1384.104	1408.434	1395.034	1379.357	1361.122	1369.227
119	1373.449	1512.459	1469.928	1424.090	1431.947	1408.277	1449.605	1436.863	1398.495	1397.707	1395.238	1371.763	1348.914	1360.902
120	1361.460	1514.038	1480.849	1422.462	1444.495	1410.664	1445.500	1435.341	1394.781	1405.016	1416.133	1378.494	1358.237	1373.473
121	1363.707	1513.864	1482.125	1416.408	1441.540	1434.004	1447.639	1449.489	1412.187	1404.088	1419.830	1402.889	1369.483	1355.837
