 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
119	1321.054	1193.816	1225.754	1453.386	1540.254	1415.726	1389.137	1494.809	1436.341	1368.620	1309.665	1281.149	1293.031	1337.490	1311.472
120	1341.381	1238.679	1258.574	1478.211	1519.957	1437.564	1433.399	1545.419	1443.621	1403.165	1319.513	1289.173	1340.602	1378.374	1327.463
121	1340.946	1297.652	1294.813	1509.983	1547.049	1486.599	1473.118	1555.894	1509.758	1433.037	1350.231	1332.121	1331.840	1380.125	1356.554
122	1337.224	1337.175	1343.834	1541.458	1531.271	1529.716	1532.081	1586.469	1532.994	1474.933	1374.760	1355.807	1353.282	1365.878	1356.667
123	1345.960	1377.404	1372.302	1543.576	1514.332	1570.465	1557.807	1593.830	1565.908	1476.839	1387.509	1353.757	1367.485	1353.482	1375.428
124	1347.119	1398.164	1399.009	1532.025	1512.475	1531.745	1615.524	1585.248	1574.837	1496.854	1416.436	1360.148	1321.434	1340.388	1359.881
125	1328.476	1422.149	1434.198	1512.426	1501.933	1543.506	1649.450	1595.954	1608.619	1543.311	1433.026	1381.850	1369.845	1372.494	1365.990
126	1371.344	1429.894	1466.814	1511.505	1486.972	1508.519	1635.399	1600.784	1588.718	1553.406	1468.246	1378.780	1395.107	1376.207	1358.293
127	1343.951	1444.276	1497.968	1473.656	1445.028	1511.862	1628.746	1588.998	1581.253	1559.225	1474.871	1409.657	1408.684	1349.796	1365.971
128	1343.252	1463.712	1514.460	1432.547	1424.755	1544.717	1626.335	1573.376	1592.161	1582.222	1474.102	1426.028	1410.405	1356.185	1370.487
129	1343.119	1494.620	1500.813	1402.037	1396.582	1501.866	1597.101	1556.894	1542.496	1565.941	1481.930	1441.339	1399.618	1350.385	1379.222
130	1315.561	1537.284	1482.703	1409.566	1382.595	1480.478	1566.696	1553.219	1535.486	1524.469	1479.313	1425.720	1419.393	1367.932	1334.226
