 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
114	315.094	307.579	315.079	301.499	298.912	303.093	303.155	307.250	307.968	299.085	297.645
115	306.021	297.724	300.113	297.077	294.119	293.545	302.805	306.902	295.975	296.185	296.110
116	284.656	295.037	295.563	299.138	297.736	297.175	286.452	308.591	301.429	302.314	304.711
117	294.757	291.382	297.220	297.777	292.739	302.718	289.456	297.720	300.167	291.528	296.030
118	284.104	283.179	296.045	286.169	285.581	291.153	294.111	296.337	304.833	298.301	292.641
119	286.910	287.938	286.912	280.476	286.259	284.445	287.919	285.139	303.153	286.127	276.547
120	284.828	281.055	291.505	291.925	283.005	287.937	291.018	281.810	284.189	281.765	286.854
121	281.212	279.466	278.414	292.123	289.584	284.528	278.559	285.418	280.381	279.397	287.485
122	278.074	271.840	281.254	275.420	277.552	281.006	266.612	282.186	276.947	289.158	281.332
123	281.937	272.641	277.859	275.410	277.340	271.720	265.330	275.799	268.322	279.511	284.364
124	272.236	273.622	275.178	271.249	265.306	269.665	268.640	267.838	269.111	273.520	277.690
125	273.140	266.371	275.754	269.078	273.660	276.758	269.895	272.304	279.955	269.643	262.919
126	264.334	267.706	268.290	266.971	267.735	269.490	266.402	258.898	274.282	271.993	275.292
127	275.337	262.894	275.755	268.660	266.395	265.025	270.503	265.638	267.174	275.255	272.614
128	271.116	258.432	273.136	267.381	267.250	252.192	267.844	274.823	267.037	268.133	262.204
129	272.810	260.892	271.981	276.125	269.460	265.100	270.348	266.140	272.257	271.474	263.081
130	272.217	255.820	271.374	259.138	260.082	265.516	263.003	259.621	273.501	264.371	270.759
131	267.222	264.289	259.319	262.678	254.647	254.390	257.374	264.618	264.777	259.146	268.793
132	267.596	256.353	259.233	259.324	256.527	258.041	249.120	260.116	265.955	271.210	259.149
133	276.455	250.975	260.725	262.387	265.104	246.486	245.909	255.952	254.894	264.974	256.148
134	260.885	247.281	264.957	255.188	257.030	251.519	249.138	251.366	249.402	253.378	254.277
135	253.650	246.544	265.236	260.014	252.952	255.024	249.366	254.428	250.329	250.651	256.798
136	253.013	249.816	252.914	249.786	253.562	258.504	255.542	254.980	260.667	257.707	255.069
137	245.254	245.984	255.127	245.156	255.961	251.465	259.509	251.338	254.185	247.510	249.086
138	255.437	249.420	255.714	255.648	253.151	246.848	243.991	250.641	255.093	245.474	251.285
139	249.419	242.347	248.002	261.898	251.889	248.522	244.222	246.302	252.753	242.977	246.540
140	243.737	244.249	246.509	243.270	243.990	252.058	243.405	246.295	254.027	238.870	252.917
141	245.758	248.129	243.643	240.705	248.703	245.796	248.621	245.692	247.289	244.214	243.459
142	238.193	241.386	246.315	237.868	245.959	240.645	244.502	243.884	241.183	241.851	242.207
143	209.001	209.001	213.774	217.106	219.239	216.174	216.115	217.996	222.217	213.566	234.491
144	211.484	211.484	222.726	216.281	221.878	223.129	211.009	222.255	214.116	221.696	218.909
145	214.706	214.706	208.757	219.167	213.001	220.984	215.899	220.182	213.382	219.349	219.232
146	208.125	208.125	209.892	222.685	215.673	217.394	218.360	217.697	222.075	209.144	222.107
147	211.071	211.071	208.535	213.815	214.555	221.733	210.142	213.749	207.222	212.533	214.020
148	204.626	204.626	213.885	216.350	215.214	212.279	216.169	221.773	219.477	216.561	219.799
149	203.291	203.291	208.593	218.413	216.887	204.793	216.768	217.126	218.216	218.575	209.827
150	202.862	202.862	204.778	212.448	209.578	202.940	206.998	213.835	211.524	217.511	206.958
151	199.671	199.671	209.036	210.502	212.149	213.255	215.203	215.212	215.108	225.761	211.222
152	200.167	200.167	218.683	207.030	207.654	213.034	213.097	212.100	208.617	212.839	213.739
153	199.041	199.041	209.846	213.691	207.939	206.718	211.196	211.303	213.068	207.415	213.793
154	197.118	197.118	208.011	209.323	213.964	209.056	204.160	215.603	211.946	210.760	210.312
155	199.590	199.590	207.846	200.685	216.854	209.336	199.971	209.826	207.279	214.404	211.158
156	203.978	203.978	203.791	207.360	208.458	206.880	203.581	210.327	206.692	212.862	205.548
157	198.567	198.567	215.315	207.752	209.932	204.415	208.358	217.700	203.565	202.453	207.891
158	197.830	197.830	212.311	197.797	205.622	213.019	203.726	211.943	202.264	208.086	205.015
159	200.911	200.911	205.748	204.780	205.702	204.098	199.421	213.861	200.686	211.087	202.449
160	193.351	193.351	202.816	197.099	211.537	203.495	204.929	212.260	205.697	211.797	203.028
161	194.920	194.920	199.804	203.974	201.320	206.847	203.166	204.023	208.109	206.867	199.170
162	205.522	205.522	206.667	200.206	201.743	201.010	201.742	201.858	207.287	205.604	205.155
163	197.674	197.674	201.326	198.666	201.729	198.705	207.622	209.865	206.778	205.797	206.112
164	199.259	199.259	208.954	204.503	207.035	202.300	204.522	207.589	202.745	213.465	203.626
165	198.780	198.780	201.756	203.323	203.553	202.602	207.462	203.777	205.457	201.450	203.625
166	195.713	195.713	202.080	198.848	204.531	206.217	198.173	203.943	201.186	203.884	203.163
167	189.297	189.297	194.739	202.255	202.572	189.592	197.308	203.573	202.949	210.276	200.709
168	195.546	195.546	203.476	199.774	200.049	192.317	205.074	201.650	198.360	199.945	196.709
169	195.883	195.883	196.251	195.326	204.157	195.508	196.899	206.945	194.397	206.485	201.783
170	197.408	197.408	196.919	193.681	198.335	199.989	195.260	201.591	195.943	205.419	203.773
