 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
58	633.603	633.603	564.506	554.775	571.231	595.337	564.088	533.396	583.684	601.190	665.094	672.435	661.316	647.511	649.784	746.330	684.404
59	617.442	617.442	557.586	549.911	568.244	578.192	552.861	519.320	574.083	608.641	656.083	672.433	650.582	636.403	626.963	735.491	660.841
60	588.338	588.338	546.646	533.627	561.952	568.629	540.264	521.616	560.005	590.351	621.738	669.722	633.332	619.881	586.095	689.607	632.993
61	559.786	559.786	529.049	530.947	543.147	548.936	528.138	513.842	554.272	581.271	609.138	641.722	616.583	608.358	587.174	662.567	618.239
62	565.843	565.843	512.800	509.277	531.785	551.642	523.789	511.315	542.337	580.503	617.751	640.697	587.070	597.857	598.225	649.896	598.551
63	550.826	550.826	506.986	506.517	526.641	529.329	523.379	494.154	547.626	567.738	607.543	627.607	582.577	587.149	579.211	613.518	585.043
64	549.612	549.612	523.071	510.757	510.841	541.371	513.130	488.506	545.907	562.862	582.159	619.912	576.270	580.448	559.695	598.765	573.251
65	529.420	529.420	517.933	503.640	508.255	516.714	508.573	495.800	535.593	565.782	593.242	613.375	559.666	574.752	559.334	575.697	567.340
66	528.540	528.540	493.343	492.408	489.679	517.388	505.904	466.272	502.448	542.450	589.481	602.424	546.743	560.415	552.914	567.263	567.913
67	516.654	516.654	493.508	476.870	498.120	515.217	492.202	461.766	504.778	528.350	549.853	552.881	531.476	554.727	525.409	575.226	559.025
68	502.068	502.068	487.051	469.053	484.616	506.976	495.160	467.877	497.743	528.420	551.892	547.258	540.813	565.063	517.953	552.393	529.357
69	506.548	506.548	479.232	475.648	482.194	481.940	481.599	464.293	492.593	526.978	564.354	538.757	536.287	546.415	519.218	533.421	532.315
70	487.358	487.358	478.436	472.156	481.250	488.390	476.366	451.891	494.662	500.161	525.313	542.359	527.051	544.770	498.614	527.215	521.115
71	488.996	488.996	483.424	471.322	460.611	490.861	461.701	458.863	487.668	492.320	524.860	543.106	524.346	538.861	494.408	518.278	523.815
72	480.978	480.978	458.905	457.831	461.517	472.984	450.506	449.843	473.431	494.883	520.532	524.433	524.115	516.991	498.909	519.302	512.620
73	474.597	474.597	445.739	441.643	446.003	462.942	440.529	436.960	467.471	480.535	513.685	523.415	514.852	513.275	489.537	510.265	509.162
74	454.494	454.494	445.799	430.630	449.726	473.087	446.323	439.302	467.376	489.343	509.467	521.359	492.928	509.680	479.827	505.690	493.066
