 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
12	235.336	237.953	233.418	227.311	236.839	234.215	239.285	239.845	238.257	236.123	229.805	231.663	238.547	238.150	236.947	241.369	235.293	238.665	227.429
13	233.224	257.536	244.454	232.763	238.762	235.645	247.995	233.720	237.661	238.322	226.052	238.778	235.701	240.483	229.005	238.162	237.393	232.976	231.957
14	235.462	252.676	237.945	243.518	238.966	235.835	252.790	241.632	240.180	240.065	233.886	233.041	233.546	238.143	241.311	240.766	240.543	237.062	237.886
15	234.751	249.414	243.631	242.119	240.392	240.998	236.805	243.445	235.836	232.865	230.614	228.179	227.431	236.082	238.003	229.773	238.303	233.594	237.686
16	230.146	245.606	241.264	242.386	244.770	244.621	240.893	238.399	238.635	239.526	240.204	236.001	247.214	230.533	235.327	231.653	230.839	230.841	236.317
17	235.276	261.622	245.042	246.960	245.321	240.035	239.335	241.629	234.310	235.840	240.096	233.879	250.530	245.484	240.849	251.056	235.436	234.851	233.217
18	243.984	247.883	237.706	239.973	241.066	243.733	237.698	245.415	236.884	238.783	236.368	230.958	240.284	237.044	245.756	244.347	233.387	239.186	233.600
19	232.897	250.059	252.037	242.389	241.240	229.523	232.848	251.797	235.903	237.150	232.473	237.119	233.564	244.986	232.031	231.455	247.025	238.406	236.394
20	232.766	252.434	250.085	252.733	249.374	244.263	240.392	247.880	250.807	250.173	237.515	245.131	242.678	250.916	239.228	234.040	253.215	230.449	242.103
21	242.930	253.033	237.843	256.562	252.546	240.629	252.871	248.806	243.090	245.312	240.678	236.820	249.160	243.786	255.187	245.183	244.477	236.049	233.489
22	243.172	252.871	234.800	252.006	250.888	245.033	245.188	246.112	242.259	243.992	247.038	238.440	233.433	256.141	237.999	232.579	238.520	244.380	242.849
23	258.091	255.308	252.701	233.696	244.505	241.988	244.487	249.949	238.803	241.658	244.986	238.469	233.176	241.734	243.592	248.275	246.740	250.649	247.103
24	246.893	256.831	250.469	247.182	250.846	245.397	244.891	255.920	252.052	251.591	243.786	242.667	244.047	249.307	245.543	251.306	251.572	249.280	248.445
25	243.167	256.182	249.636	258.866	247.794	241.679	249.022	258.393	246.928	248.460	241.301	245.142	235.725	249.508	239.980	252.438	241.008	238.267	254.087
26	241.918	256.878	253.664	251.143	249.430	249.642	255.012	260.035	239.025	246.667	251.856	240.710	245.086	254.429	251.063	245.243	246.614	240.280	244.857
27	238.090	259.127	251.380	259.637	248.409	250.356	255.700	253.353	246.165	245.880	246.356	245.626	259.896	257.493	245.773	241.743	247.171	248.881	250.634
28	241.292	271.623	247.120	258.416	254.242	244.442	249.236	246.783	252.234	250.626	239.498	254.293	247.626	250.314	251.001	253.349	253.990	244.583	249.087
29	245.476	273.648	250.851	248.628	248.189	249.644	240.294	253.628	246.614	247.600	236.954	245.999	247.505	252.192	257.030	256.531	246.395	252.647	247.817
30	238.899	261.417	251.911	255.892	251.583	242.114	252.964	262.349	246.577	245.292	253.201	253.909	249.479	249.956	252.906	250.243	260.076	244.875	228.354
31	245.018	266.104	255.948	270.030	244.762	253.732	249.516	260.688	247.759	257.563	254.120	246.570	258.036	262.962	254.555	247.721	258.764	257.111	256.185
32	249.959	254.572	256.922	258.110	247.602	257.226	244.345	258.056	248.604	254.656	260.380	246.002	258.455	254.954	255.310	242.300	259.879	263.233	248.020
33	241.205	263.035	245.486	260.903	244.440	254.758	256.117	255.601	261.511	243.631	249.666	259.866	252.491	261.181	249.130	252.435	259.922	255.534	248.307
34	247.365	270.004	257.052	265.646	248.551	250.205	255.919	255.557	252.200	255.603	257.695	246.586	256.772	260.438	256.152	258.046	256.941	249.490	243.554
35	248.890	263.692	258.302	254.870	247.658	259.843	248.252	261.045	250.861	248.611	261.064	245.044	255.565	263.317	259.534	249.187	250.844	252.355	250.928
36	253.379	271.184	257.955	264.221	242.178	250.529	250.686	268.598	249.298	247.786	258.107	249.920	254.146	265.771	256.812	254.573	257.136	259.930	258.200
37	248.815	269.211	269.688	254.938	260.540	258.054	254.037	268.977	250.666	256.028	253.744	258.831	260.002	262.340	261.276	258.070	261.396	252.797	260.101
38	259.234	268.361	258.276	261.370	257.828	256.286	256.803	252.716	257.434	265.624	269.174	259.490	264.173	263.115	258.949	254.917	272.160	255.914	253.753
