;idxAnalysis;T;B;F;dx;dy;dz;D2;D3
189;0;121.775;6.0;137.099013651279;-4548.41772151899;633.227848101266;-414.696016544855;4592.28497341345;107.971054254962
190;0;122.374;6.0012;138.288173931947;-4549.87341772152;609.493670886077;-382.04932624979;4590.51529265932;103.386038949296
191;0;122.974;6.0036;138.352220275757;-4540.50632911392;659.493670886075;-363.806036382301;4588.15100303623;99.5519506867713
192;0;123.574;6.0012;137.587655742472;-4531.26582278481;737.278481012658;-317.336420114325;4590.85498739636;98.8096352231914
193;0;123.684;6.0036;138.676749735328;-4502.72151898734;809.177215189873;-310.58810809695;4574.851783734;82.3826248226405
194;0;124.285;6.0012;138.748535167359;-4499.30379746835;818.417721518988;-305.207112265008;4573.13264937827;80.305969514432
195;0;124.884;6.0036;139.384481400311;-4496.51898734177;810.632911392406;-312.26319205338;4569.0052222073;76.6634179455787
196;0;125.485;6.0048;138.781488400374;-4486.07594936709;846.962025316456;-342.020315025948;4565.32825718129;75.1218847589043
197;0;126.084;6.0012;136.057024582996;-4489.87341772152;883.291139240507;-376.517632950564;4575.93340683877;88.3976163849939
198;0;134.298;6.0012;130.43421093231;-4624.05063291139;538.227848101265;-413.961941031174;4655.26943067745;170.638621119765
199;0;134.963;6.0048;131.347764919057;-4616.51898734177;501.582278481012;-462.225161825933;4643.68736486139;163.635237813032
200;0;135.563;6.0048;131.06216444381;-4613.67088607595;497.088607594936;-496.201774546188;4640.37241272999;163.826794502696
201;0;136.164;6.0036;130.132523712817;-4627.53164556962;444.556962025316;-511.395561953369;4648.83641605439;173.879883428595
202;0;136.763;6.0036;129.791856579577;-4637.21518987342;386.265822784809;-522.688175581224;4653.27476118103;179.538727222316
203;0;137.363;6.0036;129.427670456014;-4641.51898734177;341.898734177214;-546.702586596274;4654.09424639061;183.093999534925
204;0;137.963;6.0;128.699178047818;-4647.08860759493;294.177215189873;-572.529187464796;4656.3905292378;188.456323070119
205;0;138.563;6.0036;127.269215477373;-4654.93670886076;297.40506329114;-595.623791871772;4664.4276749855;199.302971588959
206;0;139.163;6.0048;130.338331559756;-4613.67088607595;378.227848101266;-618.719039573721;4629.14844762016;167.313544081937
207;0;139.763;6.0084;131.499037677034;-4605.82278481013;326.645569620253;-643.318621391766;4617.39113063087;158.990959006467
208;0;140.363;6.0036;136.638447958285;-4608.22784810127;347.405063291138;-396.139497997044;4621.30438058524;135.251899141496
209;0;140.964;6.006;138.900115371015;-4592.53164556962;404.177215189873;-327.303616979607;4610.28265259702;118.886389184073
210;0;141.563;6.0048;138.835950273291;-4607.27848101266;342.911392405062;-272.422761114072;4620.02199395668;125.046821869513
211;0;142.164;6.006;138.329264824339;-4612.21518987342;359.367088607595;-242.044259943195;4626.19429575471;129.521892646037
212;0;142.763;6.0036;136.338512982057;-4628.92405063291;377.911392405064;-187.548797654676;4644.32501953054;145.11030834457
213;0;143.363;5.9988;139.21339374929;-4607.59493670886;394.556962025315;-104.441359558913;4624.45740569289;122.636636686273
214;0;143.963;6.0012;140.601497651364;-4587.15189873418;471.455696202532;-31.5761679494109;4611.31575751893;108.423865784272
215;0;144.564;6.0036;140.28265241023;-4595.12658227848;439.810126582279;-53.5151471366009;4616.1262173609;113.436409784033
216;0;145.164;6.0036;142.232284457223;-4579.6835443038;441.329113924051;-76.3605858881795;4600.89912438471;98.5327546200469
217;0;145.764;6.0012;140.570097677359;-4586.45569620253;467.3417721519;-99.4979757745131;4610.20435395512;108.277917498571
218;0;146.363;6.0048;136.820007524506;-4615.88607594937;464.81012658228;-117.956310061162;4639.2297550258;137.729081836167
219;0;146.963;6.0036;137.543104772748;-4608.03797468354;487.151898734177;-54.9203671504467;4633.71675316542;131.042209053975
220;0;147.563;6.0012;137.961630094364;-4614.93670886076;408.164556962026;-124.594487089574;4632.95144938414;131.626513384191
221;0;148.163;6.0048;138.229841782179;-4610.63291139241;395.886075949367;-205.447508531924;4627.59782487042;129.156118645762
222;0;148.764;6.0048;138.110514433183;-4603.03797468355;402.59493670886;-288.14469434581;4620.61048774319;126.586228198158
223;0;149.364;6.0036;138.698028146346;-4584.11392405063;425.316455696202;-374.420909745529;4603.80218473392;116.002660078853
224;0;149.963;6.0048;137.29465180542;-4580.82278481013;401.455696202531;-487.544346212279;4598.38059123525;121.154360677488
225;0;150.564;6.0012;136.993677955173;-4577.27848101266;440.316455696202;-481.582097151101;4598.40808040113;120.556876496154
226;0;151.164;6.0036;134.783981373417;-4581.45569620253;455.443037974683;-541.42803646422;4604.03786443012;132.764119945678
227;0;151.764;6.0012;132.144921749782;-4588.54430379747;457.911392405062;-604.074835629657;4611.33621320399;147.734144008612
228;0;152.363;6.0036;128.804240356466;-4601.39240506329;461.392405063292;-668.204401456886;4624.46699813332;169.493139529537
229;0;152.963;6.0048;127.576402467029;-4607.21518987342;446.139240506329;-698.174412040251;4628.76571320259;178.123747279883
230;0;153.564;6.0036;123.980600159762;-4634.43037974683;419.620253164557;-730.660472649492;4653.3886686571;207.402406151587
231;0;154.164;6.0012;126.764441935735;-4614.11392405063;380.06329113924;-733.720314418827;4629.74031770568;184.519696937858
232;0;154.763;6.006;126.555693848321;-4621.77215189873;342.784810126582;-735.313210446721;4634.46644718895;189.436975344222
233;0;155.363;6.0012;126.262252721896;-4624.62025316455;324.87341772152;-738.123881488418;4636.01717247918;191.409663413002
234;0;155.963;6.0012;123.896365007404;-4644.55696202532;264.113924050633;-766.094497381453;4652.06035412002;211.718052788884
235;0;156.564;6.0;123.269377797907;-4655.75949367089;257.468354430379;-747.726400746464;4662.87319326182;219.444408017202
236;0;157.164;6.0036;123.677774370606;-4657.59493670886;245.759493670885;-734.904079066158;4664.07421930498;218.617554251242
237;0;157.763;6.0048;124.762163121019;-4652.72151898734;231.075949367087;-722.844917112564;4658.45614207366;211.203899050111
238;0;158.363;6.0036;123.809259407349;-4656.89873417722;275.189873417722;-722.570921919211;4665.02253872508;217.650805134414
239;0;158.962;6.0036;122.558283281506;-4663.35443037975;288.86075949367;-735.415241750866;4672.29227271986;226.815076672362
240;0;159.562;6.006;122.84105218761;-4658.03797468354;262.594936708861;-757.152105597354;4665.43394277307;223.473652247477
241;0;160.163;6.0048;120.908805882622;-4674.62025316456;269.683544303797;-757.980160597014;4682.39294862835;240.346671836583
242;0;160.762;6.0036;120.085753024748;-4676.64556962025;294.113924050632;-767.939597366057;4685.88484538077;245.394255890292
243;0;161.363;6.0048;119.995154461365;-4678.03797468355;285.06329113924;-770.525769773521;4686.71530739136;246.632652576569
244;0;161.963;6.0012;118.818424180646;-4686.45569620253;297.911392405065;-772.01683000085;4695.91505355387;255.952424220947
245;0;162.563;6.006;120.500595815633;-4683.73417721519;311.582278481013;-723.307790432017;4694.08663736376;246.486658448122
246;0;163.164;6.0012;119.389120290836;-4701.77215189873;324.303797468354;-683.561943721586;4712.94327585458;259.256949422961
247;0;163.764;6.0012;119.34428010591;-4705.50632911393;373.73417721519;-643.991281010208;4720.32488802942;261.052037768595
248;0;164.363;6.0012;119.751410937009;-4712.59493670886;359.93670886076;-604.346828842334;4726.32050033422;261.802258374559
249;0;164.964;6.0048;121.612940202794;-4713.10126582278;290.569620253165;-563.884635360818;4722.04979284573;252.598819087918
250;0;165.563;6.0012;115.321848581151;-4708.67088607595;348.79746835443;-791.753020303651;4721.57189792867;284.49559085642
251;0;166.164;6.0036;113.095945678414;-4701.77215189873;390.759493670886;-870.141332475591;4717.98202097723;294.551488910441
252;0;166.763;6.0012;110.588949453502;-4697.27848101266;433.67088607595;-939.049078202007;4717.25508803737;306.813794408942
253;0;167.363;6.0048;95.7805187277582;-4706.26582278481;472.848101265823;-1310.03697085451;4729.96018181793;405.026098808845
254;0;167.963;6.0036;103.240715418597;-4712.91139240506;476.772151898735;-1093.66296196952;4736.96585141666;358.578360149256
255;0;168.563;6.0036;110.595516227786;-4709.24050632911;456.139240506329;-895.02894934592;4731.27986417846;312.1932436142
256;0;169.164;6.006;115.004049516625;-4713.48101265823;447.974683544304;-738.673062773404;4734.72117170444;288.995666468544
257;0;169.764;6.0;120.509933019565;-4708.35443037975;474.810126582277;-502.146651926198;4732.23478901688;255.802092798392
258;0;170.362;6.0036;120.488904663154;-4701.13924050633;470.949367088608;-548.854090513306;4724.66966728782;253.442397176989
259;0;170.962;6.0036;119.354390687459;-4698.92405063291;496.265822784811;-588.839573107018;4725.05735420013;258.606771178984
260;0;171.562;6.0012;118.730489304451;-4694.49367088608;540.253164556962;-594.952148432157;4725.47820943058;259.784098269338
261;0;172.162;6.0048;117.463766191992;-4687.46835443038;626.898734177215;-601.242873322254;4729.20306147867;264.269091358286
262;0;172.763;6.0048;106.592893016769;-4683.67088607595;658.860759493671;-970.840080998162;4729.78545702403;325.395275073134
263;0;173.363;6.0048;98.3503550483424;-4679.62025316456;664.810126582278;-1209.9534875585;4726.60747452486;376.01687435996
264;0;173.963;6.0012;88.3194144490738;-4674.17721518987;666.20253164557;-1475.46671186772;4721.41487820877;443.590792657185
265;0;174.563;6.0012;102.486838274869;-4677.91139240506;635.632911392406;-1115.49445278032;4720.89866373324;347.898068133564
266;0;175.162;6.0036;102.126567888101;-4681.51898734177;636.708860759494;-1118.04815637666;4724.61831285991;352.105547996711
267;0;175.762;6.0048;104.559900436977;-4672.46835443038;634.113924050633;-1073.99393318116;4715.30073185457;333.064925157454
268;0;176.363;6.0048;106.035887883245;-4666.39240506329;615.06329113924;-1058.74504430066;4706.75269481406;321.36130477088
269;0;176.963;6.0048;117.672263782609;-4649.05063291139;655.443037974683;-720.45298023804;4695.02687568488;246.982090506991
270;0;177.563;6.0036;110.732583077809;-4653.03797468355;629.430379746835;-949.64406153851;4695.41744648923;287.487328071202
271;0;178.163;6.0036;103.383592128491;-4655.18987341772;589.746835443039;-1168.65833922664;4692.39747756794;332.737420635031
272;0;178.763;6.0012;91.8416099210732;-4652.21518987342;618.101265822784;-1446.96470665523;4693.09656279313;408.095825781304
273;0;179.364;6.0012;88.1932197427065;-4649.62025316456;632.025316455697;-1533.05969434738;4692.3794070044;433.465995599629
274;0;179.964;6.0036;85.176855249708;-4652.6582278481;632.151898734177;-1601.62537232697;4695.40675642014;458.053158505496
275;0;180.564;6.0012;82.190956504402;-4663.60759493671;627.468354430381;-1658.12528900043;4705.62985532893;486.221563469162
276;0;181.163;6.0012;85.8287202017164;-4658.54430379747;597.341772151898;-1589.47776382909;4696.6852378248;455.355754169776
277;0;181.763;6.0012;87.2924721198116;-4668.29113924051;599.177215189874;-1538.42917303642;4706.58639524593;448.638094243525
278;0;182.363;6.0012;90.272184865019;-4658.60759493671;616.26582278481;-1474.98250816279;4699.19230165511;422.239251784712
279;0;182.963;6.0012;91.7896052148799;-4655.0;602.911392405064;-1449.89749752578;4693.88188465494;409.711054033538
280;0;183.563;6.0012;93.3647861380325;-4638.10126582278;637.911392405062;-1425.78742689941;4681.76401547398;391.055995111981
281;0;184.162;6.0012;94.7994306232907;-4628.29113924051;651.582278481012;-1402.29395518353;4673.93178546742;376.760923646462
282;0;184.763;6.0036;95.7716738930251;-4625.06329113924;664.303797468353;-1379.99615522197;4672.52715159309;369.052890805073
283;0;185.363;6.0012;96.8455574333862;-4627.15189873418;664.430379746837;-1349.11533884763;4674.61254260605;362.399739076304
284;0;185.963;6.0;111.049869999006;-4626.7088607595;667.215189873418;-983.188450882632;4674.57067459978;273.847341267799
285;0;186.562;6.0036;115.364985194694;-4632.84810126582;616.772151898734;-878.682849772913;4673.72329270359;252.604374550637
286;0;187.162;6.0036;118.176397580157;-4650.56962025316;619.430379746836;-727.54421724749;4691.64062862608;244.716543373796
287;0;187.762;6.0036;121.125449255237;-4654.43037974684;603.481012658228;-615.633759543137;4693.39019180691;230.594450144466
288;0;188.362;6.0012;124.089453672595;-4655.18987341772;601.202531645569;-478.286715878827;4693.85100334767;215.155934707338
289;0;188.962;6.0036;125.064338934058;-4643.67088607595;604.556962025316;-492.914942709659;4682.8590004956;205.729505850717
290;0;189.563;6.0012;123.385441909224;-4656.07594936709;602.658227848102;-506.407710382376;4694.91641947624;219.14876459884
291;0;190.163;6.0036;124.449226894833;-4647.21518987342;592.278481012658;-517.837695415719;4684.80552638643;210.338381535357
292;0;190.763;6.0036;124.921699314307;-4637.6582278481;617.278481012657;-516.206056509541;4678.55817121562;203.949676194297
293;0;191.363;6.0036;124.362641707241;-4638.48101265823;635.759493670885;-515.484450840262;4681.84752406393;207.140173884597
294;0;191.963;6.0;123.440110664353;-4638.73417721519;675.189873417722;-502.398378294806;4687.61518600131;211.46076052642
295;0;192.563;6.0036;122.945705782654;-4651.13924050633;655.189873417722;-491.541869771935;4697.05971910161;219.709329881081
296;0;193.162;6.0048;124.606741294374;-4653.86075949367;592.025316455695;-476.183242571745;4691.36589322123;212.47075323192
297;0;193.653;6.0036;125.200292700836;-4652.91139240506;569.493670886075;-477.405600370098;4687.63346122029;208.881107797274
298;0;201.094;6.0012;127.770350482738;-4660.88607594937;385.379746835443;-485.473587086788;4676.79126776572;198.921008057085
299;0;201.756;6.0048;126.193353087093;-4672.40506329114;394.93670886076;-494.770547550567;4689.06644007893;212.097239103128
300;0;202.357;6.0;125.243864522273;-4674.43037974684;418.860759493671;-503.229846583863;4693.15924628003;217.061862882369
301;0;202.956;6.0036;127.562877011502;-4658.35443037974;408.73417721519;-493.801146658781;4676.25166417103;199.251503174187
302;0;203.556;6.0036;127.34293982945;-4666.07594936709;386.265822784809;-479.607406340004;4682.03652816951;203.536870707567
303;0;204.157;6.0012;128.097184955782;-4653.79746835443;445.569620253164;-457.09976071291;4675.07894724299;194.37196251249
304;0;204.757;6.0036;127.504739198694;-4660.69620253165;465.316455696201;-429.398934734241;4683.86683160768;200.508471490775
305;0;205.356;6.0036;127.970437289144;-4659.11392405063;480.886075949366;-395.560039123849;4683.8652815089;197.538449994441
306;0;205.956;6.0012;127.027663647743;-4666.89873417721;494.177215189873;-377.023999751176;4692.9899760257;205.110237820061
307;0;206.557;6.0012;128.664901569022;-4654.05063291139;494.240506329114;-368.061857127623;4680.22018411521;191.670435980743
308;0;207.157;6.0036;130.133051716719;-4640.88607594937;499.810126582278;-370.377626641784;4667.72254237277;179.393973053922
309;0;207.756;6.0036;130.544539707207;-4632.08860759494;519.367088607596;-382.319250072023;4661.11435617488;173.767585663753
310;0;208.357;6.006;129.84863193486;-4632.78481012658;535.506329113923;-400.207694697464;4663.6318599843;177.772193170236
311;0;208.957;6.0036;129.591724106025;-4638.48101265823;511.582278481013;-403.714428917285;4666.60717571629;181.037560968394
312;0;209.557;6.0048;130.957458776299;-4640.6329113924;453.227848101264;-383.621692120037;4662.71265473145;175.467153166504
313;0;210.157;6.0012;130.076338054199;-4654.62025316456;420.632911392404;-367.15012070248;4673.58767408039;184.986876949207
314;0;210.756;6.006;132.116955493639;-4635.6329113924;443.354430379747;-364.264122879415;4656.78597748724;168.011024536218
315;0;211.356;5.9988;131.991916980782;-4633.48101265823;446.708860759495;-370.698058554732;4654.96456495056;166.701505616993
316;0;211.956;6.0048;131.990869446144;-4630.25316455696;476.518987341772;-367.931882641065;4654.70887523452;166.227835890084
317;0;212.556;6.0036;132.057567106679;-4627.91139240507;486.012658227848;-366.530063370076;4653.36138290487;164.774249818041
318;0;213.156;6.0048;131.551057884217;-4628.16455696203;519.683544303796;-351.17741699972;4657.25006334636;167.471467716107
319;0;213.756;6.0012;131.035039574166;-4639.11392405063;497.911392405064;-323.450112987661;4665.75757567913;173.955604942059
320;0;214.356;6.0012;131.784480687221;-4638.92405063291;478.037974683544;-302.261896481676;4663.48975047442;170.274965893266
321;0;214.957;6.0036;132.178603325838;-4633.03797468354;483.227848101265;-322.320281387318;4658.17024463902;166.308341910392
322;0;215.557;6.0036;131.980628273761;-4629.62025316456;475.759493670886;-372.010116380318;4654.00158834625;165.845929244051
323;0;216.157;6.0012;131.394607569244;-4629.74683544304;466.012658227848;-412.215095670082;4653.14125703523;168.364344923406
324;0;216.757;6.0036;131.145251681241;-4627.91139240506;484.683544303797;-420.072585697631;4653.22275354097;169.14543559232
325;0;217.357;6.0012;131.228315210128;-4632.21518987342;465.189873417721;-405.961568835814;4655.51492142646;170.18135524356
326;0;217.957;6.0012;130.395827869321;-4636.70886075949;487.911392405064;-395.498894943484;4662.30914743802;176.053960170341
327;0;218.557;6.0012;129.601990056327;-4641.83544303797;494.683544303798;-397.706839601093;4668.12040217993;182.031357367207
328;0;219.156;6.0048;129.311793828741;-4638.16455696202;525.06329113924;-406.368914635577;4667.78983215404;182.445294947192
329;0;219.756;6.0036;127.971720706397;-4648.29113924051;521.835443037975;-417.205656464829;4677.49107372237;193.060402564975
330;0;220.356;6.0012;128.816060834819;-4645.37974683544;492.911392405062;-420.516061766123;4671.45744207005;187.346297585595
331;0;220.957;6.0036;128.794293773808;-4643.98734177215;501.962025316455;-423.767007894376;4671.03674845315;187.219907678053
