ExpType;ExpDay;CellID;CellName;CompNum;TpsComp;MaxIndent;MinThickness;Hysteresis;CompTime;InitialThickness;SurroundingThickness;PreviousThickness;H0Chadwick;EChadwick;CiEChadwick;R2Chadwick;FitParams;Validated;Comments
3T3aSFL_doxy;21-01-21;M2_P1_C6;21-01-21_M2_P1_C6;9;1s;57.928144388311;162.032809252387;0.486519790122156;138.963654545455;219.960953640698;213.109970567385;204.744260863636;236.209768079998;19664.1131968532;2221.70986801712;0.990997116762479;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C6;21-01-21_M2_P1_C6;10;1s;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Strain100-R20.9;0;Couldn't be fitted
3T3aSFL_doxy;21-01-21;M2_P1_C6;21-01-21_M2_P1_C6;11;1s;73.2793394628059;174.546598419579;-1.47713502091934;167.491672727273;247.825937882385;232.658109741566;232.658109741566;582.295543403831;1206.01476274491;494.220215844347;0.853376038162899;Strain100-R20.9;0;Has large jumps & Bad R2 on fit 
3T3aSFL_doxy;21-01-21;M2_P1_C6;21-01-21_M2_P1_C6;12;1s;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Strain100-R20.9;0;Couldn't be fitted
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;1;1s;115.16492099858;144.977055312791;0.590217708289475;4.3476;260.141976311371;241.664109163125;237.618945439413;302.675828895122;5749.15615764064;549.646642980311;0.992112964651676;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;2;1s;124.273077850144;170.331097411265;0.715196039746481;17.4857090909091;294.604175261409;280.174247359294;261.17720115005;368.99544227733;4411.57392554574;301.179811960537;0.995239229019112;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;3;1s;147.229189007327;224.108440251412;0.651241510794682;30.1928;371.337629258739;343.328500033543;332.042247097516;441.446381565811;4130.60760902381;248.71395507835;0.996691193822038;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;4;1s;153.997103106154;250.32372038492;0.725115459029381;42.8969090909091;404.320823491073;374.918378989482;350.393202588229;486.856170840463;3837.89700539317;212.084246353033;0.997048892960766;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;5;1s;128.105197755576;210.21223697144;0.694405574356415;55.6257272727273;338.317434727016;336.976473931041;372.107793275867;400.462111394595;4986.20641373757;202.485199249002;0.998475636460614;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;6;1s;144.609423956814;242.747817901056;0.672313115837771;68.3307272727273;387.35724185787;347.167357888056;350.744293299401;453.214009400659;4220.26387994441;445.595678965723;0.990433253988883;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;7;1s;100.559484561975;274.201408954474;0.7256996803863;81.0346727272727;374.760893516449;355.195824121764;338.433502716013;424.515084800337;8554.15768234564;1094.47318344512;0.985292739448813;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;8;1s;181.874101274274;223.758715035416;0.73277130475436;93.7406727272727;405.63281630969;356.906910223849;366.703050499268;489.137581621312;3085.90664859881;117.350448961525;0.998564139044479;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;9;1s;138.596105615565;217.523949942735;0.730506328917474;106.453672727273;356.1200555583;325.694402404824;338.631240053623;423.113478116048;4415.63867859646;187.532811774441;0.998304448329999;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C7;21-01-21_M2_P1_C7;10;1s;160.123509521966;207.73996960686;0.689185487482727;119.139745454545;367.863479128826;340.718974702952;330.602337198867;437.488500719603;3716.78132287577;191.218135221086;0.997456737273047;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C8;21-01-21_M2_P1_C8;1;1s;355.426735851265;577.313813959095;0.733397041657152;4.36107272727273;932.74054981036;879.535393602522;888.840235147472;1109.22948758142;1334.86643252186;104.629657905632;0.993998721033943;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C8;21-01-21_M2_P1_C8;2;1s;494.424869454269;408.384008980578;0.81961156408168;17.5376545454545;902.808878434847;774.149071608992;876.989809804468;1066.88836571216;887.620679491038;61.6205967327455;0.995363825703192;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C8;21-01-21_M2_P1_C8;3;1s;298.809512476501;412.286123371939;0.68395500910595;30.2486727272727;711.09563584844;669.909373771746;669.940494117634;848.867873791226;1629.94326632603;57.7285071427532;0.998795936231614;Strain100-R20.9;1;Succes!
3T3aSFL_doxy;21-01-21;M2_P1_C8;21-01-21_M2_P1_C8;4;1s;289.59160083868;405.463225843596;0.715776489318491;42.9027636363636;695.054826682276;671.717853170317;670.005721841139;813.203071441528;1836.37392531896;57.2215069385397;0.999085321633997;Strain100-R20.9;1;Succes!
