;ExpType;ExpDay;CellID;CellName;CompNum;TpsComp;MaxIndent;MinThickness;Hysteresis;CompTime;InitialThickness;SurroundingThickness;PreviousThickness;H0Chadwick;EChadwick;CiEChadwick;R2Chadwick;FitParams;Validated;Comments;manipID;date;manip;experimentType;drug;substrate;objective magnification;scale pixel per um;objective immersion;optical index correction;magnetic field correction;cell type;cell subtype;bead type;bead diameter;normal field;ramp field;compression duration;with fluo images;bacteria;comments;cellID;meanFluoPeakAmplitude
21;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;6;1s;81.67975268774221;114.912048415269;0.592775043181754;91.82;196.59180110301202;211.11066554009102;211.11066554009102;234.754044563843;7081.59237838534;629.8367276033799;0.99523357668894;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
22;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;7;1s;51.6610417768106;117.004000790795;0.542859430960107;106.21648648648599;168.665042567605;147.178869002873;147.178869002873;208.22549530788;12331.343560604199;1650.58499539392;0.989695661505576;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
23;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;8;1s;80.3455052426985;62.6701612666816;0.5940429632165111;5.59754054054054;143.01566650938;212.72047618401902;;191.578081867538;5453.4888525518;570.842597414634;0.9922944688496949;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
24;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;1;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
25;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;2;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
26;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;3;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
27;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;4;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
28;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;5;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
29;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;6;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
30;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;7;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
