;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;validatedThickness;ctFieldThickness;ctFieldFluctuAmpli;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments 
1713;21-06-16;M2_P1_C11;21-06-16_M2_P1_C11;21-06-16_M2;10;1s;110.90899999999999;1165.1266264835097;954.2047725873699;210.92185389613974;1043.323890914965;1154.32980813649;True;1025.2878150923193;147.86305854010448;1257.8015713021452;3136.2197850356933;0.9768065436098733;500.6108283878448;57.560713171630596;R2 > 0.9;True;ok
1714;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;1;1s;3.806;211.8798791202395;149.47979214376846;62.400086976471044;162.25105078987463;166.18463719893998;True;180.50200200560494;50.74491343002009;207.63539826653664;54021.96078558384;0.41498257220013496;62594.219987005665;20.883380976829358;R2 > 0.9;False;R2 < 0.9
1715;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;2;1s;16.149;209.79887809639663;141.5228012498801;68.27607684651653;179.65424822584964;180.66052096095518;True;180.50200200560494;50.74491343002009;232.4661302401738;10406.904084704733;0.9519296749131024;2139.0201967886205;11.945494323359526;R2 > 0.9;True;ok
1716;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;3;1s;28.096999999999998;209.65890475788;153.77989544810953;55.87900930977048;176.07012230685496;173.16596830112485;True;180.50200200560494;50.74491343002009;214.95912115328395;20619.39679865697;0.7770573061408586;10792.018645606602;35.04256132631053;R2 > 0.9;False;R2 < 0.9
1717;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;4;1s;40.052;169.5594505673304;139.2214840382012;30.337966529129204;163.9063537701404;156.92831602541537;True;180.50200200560494;50.74491343002009;172.88109514276982;101756.93394475098;0.5635334816901251;99572.65186035424;6.103021067330701;R2 > 0.9;False;R2 < 0.9
1718;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;5;1s;51.949;190.4392522365703;145.03907071089998;45.40018152567032;163.4963770993245;173.54213360943504;True;180.50200200560494;50.74491343002009;204.66778846713584;29064.298862161275;0.9694334279186442;5162.97937275967;3.7813799062596445;R2 > 0.9;True;ok
1719;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;6;1s;63.845;195.2251879626468;147.95914008186992;47.26604788077688;180.0893165988905;181.84729280261945;True;180.50200200560494;50.74491343002009;205.40102236895032;36343.88638759688;0.9467972513543624;8213.40906780204;16.789352518150736;R2 > 0.9;True;ok
1720;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;7;1s;75.743;230.0479029596739;167.94043323111055;62.10746972856336;194.73261746697517;209.97144279195481;True;180.50200200560494;50.74491343002009;255.3526411414873;12906.95228588985;0.9547548846281234;2730.605025901961;19.705234855411618;R2 > 0.9;True;ok
1721;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;8;1s;87.641;237.35876950512375;166.42599007695026;70.93277942817349;213.66430976093034;213.05863641458018;True;180.50200200560494;50.74491343002009;263.1484949226336;12327.340238295144;0.9750726216584515;1812.1760214437054;24.747076010220553;R2 > 0.9;True;ok
1722;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;9;1s;99.539;211.88492392277325;162.91326822862084;48.97165569415242;203.9727736708851;194.10159148807998;True;180.50200200560494;50.74491343002009;230.83727604222597;21602.010784101978;0.9829228388805187;2713.999787966277;12.568100921968835;R2 > 0.9;True;ok
1723;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;10;1s;111.43799999999999;187.92226581737668;152.1370219964101;35.78524382096657;184.82653900863488;179.60761223084955;True;180.50200200560494;50.74491343002009;202.21410997120586;40368.62892151907;0.948666240966866;8980.979728473409;1.4791367766702024;R2 > 0.9;True;ok
1724;21-06-16;M2_P1_C12;21-06-16_M2_P1_C12;21-06-16_M2;11;1s;123.337;219.46086534644292;170.17874914112963;49.28211620531329;185.01842794044978;201.72345232590533;True;180.50200200560494;50.74491343002009;236.6317639446211;21568.68746988568;0.98521420157462;2500.3472297747503;2.0497935664207034;R2 > 0.9;True;ok
1725;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;1;1s;3.805;415.1471301691836;250.25831753905004;164.88881263013354;381.9457487237246;354.0040449254793;True;354.27008873566;107.13321841884022;473.4796751828416;3803.0262291581207;0.9915107899219546;317.458039199767;62.869809341228574;R2 > 0.9;True;ok
1726;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;2;1s;16.227999999999998;382.4692528724193;249.77147578282074;132.69777708959856;347.33908756762503;353.9584165869451;True;354.27008873566;107.13321841884022;455.91590656552717;4310.132730810365;0.9899845080525272;434.97323311337277;60.39499588471881;R2 > 0.9;True;ok
1727;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;3;1s;28.115;446.9364606084103;300.6314454646799;146.30501514373037;379.8294852139047;417.49752736145547;True;354.27008873566;107.13321841884022;503.81690651983683;5319.125364023575;0.9373597919719144;1251.2730284168447;71.1893314664394;R2 > 0.9;True;ok
1728;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;4;1s;40.071999999999996;425.1403372019501;249.13919967537004;176.00113752658007;434.05277676766536;402.6022106538853;True;354.27008873566;107.13321841884022;496.4220354107128;3571.721554858726;0.9450937801238387;759.8756487014307;79.45788888412062;R2 > 0.9;True;ok
1729;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;5;1s;52.026;421.2134638026403;242.24420513076984;178.96925867187048;389.91273906071547;383.0745194739352;True;354.27008873566;107.13321841884022;475.14510800841657;4873.77242179995;0.943560877773386;1064.2389064114705;66.9524113414709;R2 > 0.9;True;ok
1730;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;6;1s;63.988;339.4989153162869;220.50505443078055;118.99386088550636;353.0926907902249;340.2803676178455;True;354.27008873566;107.13321841884022;398.754347488971;5237.523967659645;0.9796670399355031;722.310054344076;21.836689209650103;R2 > 0.9;True;ok
1731;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;7;1s;75.883;370.5425509783966;248.91057689284025;121.63197408555635;342.9050986951852;355.7789286507805;True;354.27008873566;107.13321841884022;425.58516844423207;5795.650881490442;0.9816994360056648;768.4334405623631;24.662323440289583;R2 > 0.9;True;ok
1732;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;8;1s;87.839;343.2911546228467;217.92768055204033;125.36347407080638;359.95200579933;321.2868271964803;True;354.27008873566;107.13321841884022;393.29175603586975;5623.436795803235;0.9791980245298041;752.205421205721;53.627964951168906;R2 > 0.9;True;ok
1733;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;9;1s;99.734;352.21692797028027;243.3856328792699;108.83129509101036;333.6369526206754;340.1144524901056;True;354.27008873566;107.13321841884022;403.30960843602685;6415.05216813952;0.970236027436859;1076.666285305584;40.95809695776097;R2 > 0.9;True;ok
1734;21-06-16;M2_P1_C1;21-06-16_M2_P1_C1;21-06-16_M2;10;1s;111.68299999999999;326.1693202480201;210.79858585337934;115.37073439464075;322.3580931123797;322.2710615924352;True;354.27008873566;107.13321841884022;369.9596186542405;6408.261561678471;0.9847261815622921;740.7579930061202;29.78891273181125;R2 > 0.9;True;ok
1735;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;1;1s;3.806;144.51610901171958;70.56070343436113;73.95540557735845;159.42803634808524;141.5960311958397;True;159.88553451613006;51.51515546098433;175.4231608534066;7149.698194722675;0.9697040145585819;1105.3979406635663;-32.272369618159246;R2 > 0.9;True;ok
1736;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;2;1s;16.136;124.2146430507267;86.56965150561973;37.644991545106976;127.13167326269468;125.30121697460527;True;159.88553451613006;51.51515546098433;170.10730428690792;9.04218602115925e+17;7.467443035739798e-16;0.0;18.100335615429685;R2 > 0.9;False;R2 < 0.9
1737;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;3;1s;27.908;181.04067465181348;119.75646247070927;61.28421218110421;141.94908121687467;155.6537669877107;True;159.88553451613006;51.51515546098433;194.48759396073368;14180.434526204419;0.9377445770996327;3413.3726181788807;15.436449087570509;R2 > 0.9;True;ok
1738;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;4;1s;39.676;139.8622993852532;96.68882974967073;43.17346963558248;147.52969983020012;131.11442147304524;True;159.88553451613006;51.51515546098433;147.6597754618237;26792.71322166479;0.8164144460792666;12008.506840429436;23.020799411199732;R2 > 0.9;False;R2 < 0.9
1739;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;5;1s;51.571000000000005;181.00980873720314;128.88006607951957;52.12974265768358;138.70540942996513;156.65880398380523;True;159.88553451613006;51.51515546098433;204.05178228637797;13284.951962377123;0.9547013884306802;2789.2266142832814;24.68910638487978;R2 > 0.9;True;ok
1740;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;6;1s;63.472;130.92018697335666;82.49193651400947;48.4282504593472;165.43382934040437;160.52632802016979;True;159.88553451613006;51.51515546098433;149.33320764701705;14375.122367689664;0.9573043764175067;2711.3683221671527;21.935049570200135;R2 > 0.9;True;ok
1741;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;7;1s;75.375;171.42085185650708;121.20078194325924;50.22006991324784;151.46111735680006;165.48725151450026;True;159.88553451613006;51.51515546098433;197.13149143114566;14485.155497019869;0.9521354953941777;3188.635034170784;3.07555689100991;R2 > 0.9;True;ok
1742;21-06-16;M2_P1_C2;21-06-16_M2_P1_C2;21-06-16_M2;8;1s;87.28;191.06076519461294;123.73071986821014;67.3300453264028;173.25101996309513;180.3910344068804;True;159.88553451613006;51.51515546098433;220.2566400775275;9799.153981086629;0.9919308933181773;857.6117500691544;13.468235978849407;R2 > 0.9;True;ok
