ExpType,ExpDay,CellID,CellName,CompNum,TpsComp,MaxIndent,MinThickness,Hysteresis,CompTime,InitialThickness,SurroundingThickness,PreviousThickness,H0Chadwick,EChadwick,CiEChadwick,R2Chadwick,FitParams,Validated,Comments
DictyDB_M450,20-10-22,M1_P2_C8,20-10-22_M1_P2_C8,4,2s,153.183529144445,133.597089610131,0.587029997445006,45.3374561403509,286.780618754576,238.101938274825,244.289883000762,241.691234441501,6457.85459470944,3299.02044987067,0.879725029571257,Strain100-R20.9,0,Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C8,20-10-22_M1_P2_C8,5,2s,134.962587947566,120.168722737965,0.43245814038791,58.7265178571429,255.131310685531,224.332178441548,234.710002174375,299.272088758529,3825.94233296171,926.90666207874,0.938174156956688,Strain100-R20.9,0,Has large jumps 
DictyDB_M450,20-10-22,M1_P2_C8,20-10-22_M1_P2_C8,6,2s,72.9926843397009,161.997780974096,0.621823232372594,72.1319821428572,234.990465313796,186.183279767744,206.269145266397,209.434642837294,29851.5619163421,11173.6046953721,0.932964970261169,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P2_C8,20-10-22_M1_P2_C8,7,2s,300.007377894655,128.676050013853,0.86935436417837,85.5365535714286,428.683427908508,280.732721529381,251.063800494211,392.359754091867,1727.08138879794,724.761693834244,0.899191435599923,Strain100-R20.9,0,Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C8,20-10-22_M1_P2_C8,8,2s,230.778341816167,99.0887015536357,0.561827900430885,98.9544385964912,329.867043369803,278.796979487509,267.079883886971,186.297440291033,9228.52122816899,5677.4545657258,0.832274182061594,Strain100-R20.9,0,Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P2_C8,20-10-22_M1_P2_C8,9,2s,224.997203798147,159.87428545649,0.762485734697378,112.363456140351,384.871489254637,208.055293815337,270.091703953402,397.763388410579,2032.73745479302,441.585627047877,0.969555916350495,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C1,20-10-22_M1_P1_C1,1,12s,146.043207887759,31.9665950208989,0.743685707957033,10.4538360655738,178.009802908658,167.088612565431,189.588974719559,264.989464167632,2099.97509181537,504.89448692248,0.907224073481748,Strain100-R20.9,0,Has large jumps 
DictyDB_M450,20-10-22,M1_P1_C1,20-10-22_M1_P1_C1,2,12s,44.6548389623132,282.646531013793,-0.675158675995548,44.2156557377049,327.301369976106,208.848824426474,188.644510815363,516.762491634217,2083.2583092583,1225.39944859729,0.77573689615768,Strain100-R20.9,0,Disaligned vertically & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P1_C1,20-10-22_M1_P1_C1,3,12s,117.067376182963,102.100887092006,0.590344431177876,77.6506229508197,219.168263274969,209.696944638462,210.260125504449,246.683957485711,4066.62389449852,1393.25288172651,0.910028097840798,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C1,20-10-22_M1_P1_C1,4,12s,68.7262004701488,89.7168473220882,-1.08345760871793,111.015639344262,158.443047792237,230.268452533833,174.284347851287,155.130031671896,13828.2642589622,3902.33689127085,0.951503163339195,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C1,20-10-22_M1_P1_C1,5,12s,113.391235406492,91.4948539812048,0.745782760799962,144.380557377049,204.886089387697,218.128677094284,313.632294869122,4120.27306427376,48.5434961925663,843.317562064887,0.000858758079156585,Strain100-R20.9,0,Has too big CI on E & Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P1_C1,20-10-22_M1_P1_C1,6,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C3,20-10-22_M1_P1_C3,1,12s,554.495256836286,208.107654585845,0.902853191390196,10.4536393442623,762.602911422131,620.04355696691,749.729709288761,899.970500937016,636.217336390945,57.2791014984141,0.98940895129776,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C3,20-10-22_M1_P1_C3,2,12s,288.381122697047,242.223197951732,0.725745929586993,44.1577213114754,530.604320648778,428.221277156051,536.182383628442,678.391713034274,1375.49821528832,124.391463308447,0.989618190097553,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C3,20-10-22_M1_P1_C3,3,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C3,20-10-22_M1_P1_C3,4,12s,229.902997134829,627.947282453944,-0.168197994663583,110.893442622951,857.850279588773,544.75887539824,832.852866555477,1421.57293885102,552.033497436976,348.023468250582,0.636876261912811,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
