;date;cellID;manipID;compNum ;Adhesion;Minor;Majeur;Square_Mean_radius;Radius ;ratio_adhesion;Area_ellipse;mean_area;area_adhesion;ratio_area;User_Validation;Comment
122;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;6;25;300;304;302.0066224;;0.766946697;1147.705696;;1963.495408;;;
123;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;7;25;299;306;302.5202473;;0.766946697;1151.405537;;1963.495408;;;
124;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;8;25;301;305;303.0066006;;0.766946697;1155.319314;;1963.495408;;;
125;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;1;5;261;281;271.1844391;17.39941284;3.479882567;922.9592485;950.2550123;78.53981634;12.09902259;;
126;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;2;5;268;279;273.5552961;;3.479882567;940.967657;;78.53981634;;;
127;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;3;5;270;290;280.1785145;;3.479882567;985.3657458;;78.53981634;;;
128;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;4;5;268;270;269.0018587;;3.479882567;910.6138616;;78.53981634;;;
129;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;5;5;267;270;268.5041899;;3.479882567;907.2160487;;78.53981634;;;
130;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;6;5;270;281;275.5548947;;3.479882567;954.7854295;;78.53981634;;;
131;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;7;5;269;283;276.0887538;;3.479882567;958.019644;;78.53981634;;;
132;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;8;5;275;287;281.0640496;;3.479882567;993.2310535;;78.53981634;;;
133;22/07/2006;22-07-06_M1_P1_C1;22-07-06_M1;9;5;273;285;279.0645087;;3.479882567;979.1364221;;78.53981634;;;
134;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;1;5;261;268;264.5231559;16.83782015;3.367564029;880.2600662;890.1970959;78.53981634;11.33434145;;
135;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;2;5;260;270;265.0471656;;3.367564029;883.4313583;;78.53981634;;;
136;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;3;5;262;270;266.0300735;;3.367564029;890.2269841;;78.53981634;;;
137;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;4;5;261;268;264.5231559;;3.367564029;880.2600662;;78.53981634;;;
138;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;5;5;261;271;266.0469883;;3.367564029;890.1137237;;78.53981634;;;
139;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;6;5;261;272;266.5567482;;3.367564029;893.3982762;;78.53981634;;;
140;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;7;5;264;270;267.0168534;;3.367564029;897.0226099;;78.53981634;;;
141;22/07/2006;22-07-06_M1_P1_C2;22-07-06_M1;8;5;263;274;268.5563256;;3.367564029;906.8636829;;78.53981634;;;
142;22/07/2006;22-07-06_M1_P1_C3;22-07-06_M1;1;5;251;252;251.500497;15.86265024;3.172530047;795.9943059;790.4476909;78.53981634;10.06429258;;
143;22/07/2006;22-07-06_M1_P1_C3;22-07-06_M1;2;5;250;253;251.5044731;;3.172530047;795.9691369;;78.53981634;;;
144;22/07/2006;22-07-06_M1_P1_C3;22-07-06_M1;3;5;249;251;250.002;;3.172530047;786.5181832;;78.53981634;;;
145;22/07/2006;22-07-06_M1_P1_C3;22-07-06_M1;4;5;247;252;249.5125247;;3.172530047;783.3091377;;78.53981634;;;
146;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;1;;;;;;;0;;;;;
147;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;2;;;;;;;0;;;;;
148;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;3;;;;;;;0;;;;;
149;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;4;;;;;;;0;;;;;
150;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;5;;;;;;;0;;;;;
151;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;6;;;;;;;0;;;;;
152;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;7;;;;;;;0;;;;;
153;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;8;;;;;;;0;;;;;
