;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;compAbsStartTime;compStartTimeThisDay;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;surroundingDx;surroundingDz;validatedThickness;minF;maxF;minS;maxS;ctFieldThickness;ctFieldFluctuAmpli;ctFieldDX;ctFieldDZ;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments;H0Chadwick_f<150pN;EChadwick_f<150pN;R2Chadwick_f<150pN;Npts_f<150pN;validatedFit_f<150pN;H0Chadwick_f<100pN;EChadwick_f<100pN;R2Chadwick_f<100pN;Npts_f<100pN;validatedFit_f<100pN;H0Chadwick_s<150Pa;EChadwick_s<150Pa;R2Chadwick_s<150Pa;Npts_s<150Pa;validatedFit_s<150Pa
311;21-01-18;M1-1_P1_C3;21-01-18_M1-1_P1_C3;21-01-18_M1-1;11;1s;116.871;17417.184;696.648000000001;805.1289908689401;515.1860270667703;289.94296380216986;758.0033586885247;749.9354817858498;561.2405063291149;-35.0050118737231;True;54.3827323891919;749.55721121754;61.92484133517762;253.3640004109869;911.8630480114448;363.75636249712227;707.1265822784799;-19.03487912740315;933.438054792785;1703.7422931319077;0.9911225552610626;155.91779652741798;134.88285617080055;R2 > 0.9;True;ok;918.48792091243;1935.8730037371254;0.9510546692900478;14.0;True;;;;9.0;False;917.7212899318006;1940.25323948234;0.949849073974919;20.0;True
312;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;1;1s;3.804;17679.579;959.0430000000015;1006.1598075584631;511.5194424224301;494.640365136033;914.563589696555;914.6555459465148;544.5000000000005;712.9398283952889;True;50.6413590619589;691.84363135753;35.71739597643324;139.4293753462801;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;1213.0261723114072;749.8473491183942;0.9965271237742824;42.44756463792692;144.24905696244878;R2 > 0.9;True;ok;1172.1435528074735;981.4970030055663;0.9959893021534972;15.0;True;;;;9.0;False;1213.0261723114072;749.8473491183942;0.9965271237742824;50.0;True
313;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;2;1s;15.397;17691.172;970.6359999999986;961.4317420347597;483.93701254476946;477.4947294899903;932.19644557631;911.0602491387399;517.6645569620246;926.0799027764725;True;37.800376404922;714.412644355901;29.890910874573024;153.58594143750184;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;1141.5582717011046;837.1813624067601;0.9947836818465803;55.83086496592614;137.1317637919601;R2 > 0.9;True;ok;1071.0839387483345;1698.3838254712844;0.9702823658736294;19.0;True;1045.809448610572;2619.4472777752712;0.9851793908089873;14.0;True;1139.600853838525;847.0540487232201;0.994492008737816;53.0;True
314;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;3;1s;26.648;17702.423;981.8869999999988;943.9407048144536;467.3381608612399;476.60254395321374;893.2684893262799;875.8215535579097;497.22151898734546;910.5877327138139;True;38.3402662498329;722.851489708134;32.140355341790205;158.14726363546197;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;1113.53610876028;849.0644292119605;0.9963298372775784;47.31043931658064;230.54570200940998;R2 > 0.9;True;ok;1072.2043173169698;1202.4884486493224;0.9836821396396961;19.0;True;1073.592330978839;1187.9318020590126;0.9610793251707254;13.0;True;1109.0506325489005;872.9960632476168;0.9959395828667096;50.0;True
315;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;4;1s;37.896;17713.671;993.1349999999984;904.5703952411835;415.44146311998975;489.12893212119377;860.6564696372648;839.1081549369751;466.3354430379745;874.2971746018195;True;39.4180121362457;755.81006280899;29.864244713515397;157.49342245301884;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;1093.907988689941;792.5784740093294;0.9930015390896122;60.35448447870954;155.61321330287046;R2 > 0.9;True;ok;1008.7826324187745;1869.1711881837427;0.9389342521530484;19.0;True;981.0252436287183;3105.8492289744827;0.9532965093750633;13.0;True;1090.969321141457;806.3007338502973;0.9915690948077274;51.0;True
316;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;5;1s;49.147;17724.922;1004.3859999999986;910.9204856215998;398.4738824506794;512.4466031709204;819.9571541507903;822.7568582669805;452.44303797467956;873.5759501628199;True;38.8827482661869;773.220212807363;35.87325966150262;163.62735168841576;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;1066.5492711945683;803.0857602113758;0.9989170529174091;23.88967065773386;169.73951328464955;R2 > 0.9;True;ok;1046.8560154823472;932.7967657961673;0.9906188413637783;18.0;True;1058.0565365530815;826.1150756736507;0.9818157275919066;13.0;True;1063.4998314306504;817.8031778460618;0.998701248478084;48.0;True
317;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;6;1s;60.518;17736.293;1015.7570000000014;860.0751973001998;294.8546807560597;565.2205165441401;823.4127177952851;786.940547399875;426.1772151898699;888.7530297889855;True;58.0163409698355;874.7367572891;35.354694656840124;154.09899652626993;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;1097.3744539416073;652.0890325398047;0.9949008598008137;42.63998354285718;168.55495973905;R2 > 0.9;True;ok;1018.7265941945219;1116.6553958937836;0.9865491866853615;13.0;True;;;;8.0;False;1095.465551961525;657.6306561404085;0.9943385224808557;48.0;True
318;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;7;1s;71.768;17747.543;1027.0070000000014;820.8475550806901;316.13952557824996;504.7080295024401;756.0381975364153;740.1537011406849;395.67088607594997;848.9689805374865;True;48.5880331495473;827.597681578269;37.79422537465019;169.11121243634307;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;1008.0103834383566;755.9765442249327;0.9982772222045748;28.20308990192757;177.91475199043998;R2 > 0.9;True;ok;964.7826200961148;1065.1264914497533;0.9912239929165835;15.0;True;;;;10.0;False;1003.1926103055883;776.3610319060263;0.9977178876831572;45.0;True
319;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;8;1s;83.02;17758.795;1038.2589999999982;784.9151137459003;240.98947760354986;543.9256361423504;719.6450163223699;705.6463809679799;360.164556962025;868.3625678704984;True;43.8181923593188;921.642433456275;35.69440050558682;181.08455979485743;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;960.5365594944676;764.0864413678415;0.9966080845663426;39.57092495842994;173.93923817289033;R2 > 0.9;True;ok;907.2850411894759;1203.9151343981443;0.9924519281792916;17.0;True;897.6474748925807;1370.5250110071313;0.9760942833048731;11.0;True;949.2203506004381;816.4030461451033;0.9956077459284666;43.0;True
320;21-01-18;M1-1_P1_C4;21-01-18_M1-1_P1_C4;21-01-18_M1-1;9;1s;94.27;17770.045;1049.5089999999982;775.1961666871039;295.5579131941795;479.6382534929244;699.2774925761396;698.4941122413998;344.72151898734;889.487416147143;True;43.8042256478789;840.493898269063;37.747254468181985;183.21562857266667;789.101330300095;250.91075335344442;435.164556962025;871.0510668354459;944.1180088358535;804.2064160726973;0.9978940354070218;32.57594764264695;165.75779214956037;R2 > 0.9;True;ok;912.5191588471431;1036.429815672885;0.9857833795516273;17.0;True;909.5536282821537;1075.0052484134544;0.9411392045559984;11.0;True;937.0603478231485;841.3728018010279;0.9963547085117894;42.0;True
