;idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
433;3;30.438999999998487;70131.308;29.479;0.0;4.507031165110094;-1.7403050750378362;0.124;4.831355056035118;4.832946066063235
434;3;30.454999999987194;70131.324;28.444;0.0;4.504663765405649;-1.7420006989307883;0.122;4.829757972655975;4.831298590900168
435;3;30.468999999997322;70131.338;27.45;0.0;4.505609436472451;-1.746137030323458;0.136;4.832133164834804;4.834046640517282
436;3;30.485000000000582;70131.354;26.619;0.0;4.50589207600568;-1.7483719221600882;0.138;4.833204711038892;4.835174431063324
437;3;30.49899999999616;70131.368;25.641;0.0;4.5073111381036;-1.7520487227016095;0.142;4.835858602398659;4.837942994950758
438;3;30.514999999999418;70131.384;24.704;0.0;4.5067873105643885;-1.753889853065771;0.144;4.836037787212923;4.838181216051262
439;3;30.529999999998836;70131.399;23.698;0.0;4.506040863434601;-1.7577473350118225;0.118;4.8367427011040816;4.838181885448666
440;3;30.543999999994412;70131.413;22.98;0.0;4.504962255033523;-1.7632938284911859;0.126;4.837756716172469;4.839397281157213
441;3;30.55999999999767;70131.429;22.136;0.0;4.504787345195147;-1.7677757472866367;0.124;4.8392292896829305;4.840817711722386
442;3;30.573999999993248;70131.443;21.239;0.0;4.502721968694435;-1.770891884562556;0.118;4.838446361609583;4.839885039355068
443;3;30.589999999996508;70131.459;20.302;0.0;4.501194459051057;-1.7762831303179591;0.15;4.839001272705361;4.841325574390149
444;3;30.604999999995925;70131.474;19.705;0.0;4.498470020270665;-1.7800568322474126;0.15;4.837854364209887;4.840179216651451
445;3;30.6189999999915;70131.488;18.89;0.0;4.498123149622262;-1.7869846013940662;0.128;4.840085312759188;4.841777549081247
446;3;30.63499999999476;70131.504;18.07;0.0;4.496880913825134;-1.7928064414198939;0.134;4.841083854832658;4.842938043122318
447;3;30.64999999999418;70131.519;17.227;0.0;4.494722961664;-1.7970927458055277;0.146;4.8406690487097395;4.8428703099645825
448;3;30.663999999989755;70131.533;16.675;0.0;4.49641004360982;-1.8015062158101276;0.146;4.843875300405429;4.8460751052658875
449;3;30.679999999993015;70131.549;15.92;0.0;4.493675925713331;-1.8128601502885981;0.13;4.845573779217479;4.847317325061354
450;3;30.69399999998859;70131.563;15.19;0.0;4.49343688331485;-1.819243796704885;0.136;4.847744116203275;4.849651432441663
451;3;30.70999999999185;70131.579;14.618;0.0;4.490467128437783;-1.8268953101742305;0.14;4.847869790528296;4.849890875671005
452;3;30.72499999999127;70131.594;13.961;0.0;4.491673776374785;-1.8319578865675052;0.152;4.850897134709188;4.85327796561559
453;3;30.739999999990687;70131.609;13.283;0.0;4.488775014228871;-1.8426059700965947;0.154;4.852246684722554;4.8546898860175425
454;3;30.754000000000815;70131.623;12.626;0.0;4.487431482523859;-1.8499290244355464;0.142;4.8537901382111;4.8558668336142965
455;3;30.769999999989523;70131.639;12.18;0.0;4.484174931349757;-1.8572351231576636;0.148;4.853570553482874;4.855826512308286
456;3;30.78399999999965;70131.653;11.551;0.0;4.482746992259684;-1.863599995385308;0.154;4.854691085889334;4.8571330576188005
457;3;30.79899999999907;70131.668;10.979;0.0;4.480108371874469;-1.871049416713351;0.148;4.855120692992408;4.857375931871351
458;3;30.814999999987776;70131.684;10.37;0.0;4.477440141232955;-1.8770252780794097;0.16;4.854965922936357;4.8576016832253
459;3;30.829999999987194;70131.699;9.94;0.0;4.4739238834229464;-1.8897784320927544;0.172;4.856671435980121;4.859716188942026
460;3;30.845000000001164;70131.714;9.417;0.0;4.470752543724373;-1.8985640686803833;0.154;4.857177558016812;4.8596182802872665
461;3;30.85899999999674;70131.728;8.934;0.0;4.468281251826283;-1.9031222822190756;0.156;4.856687324349901;4.859192089895295
462;3;30.875;70131.744;8.431;0.0;4.4678822905837565;-1.9092772301604914;0.166;4.858735607554837;4.861570497701465
463;3;30.888999999995576;70131.758;8.05;0.0;4.466138471474554;-1.9173024592242163;0.168;4.860292333443771;4.863194995734007
464;3;30.904999999998836;70131.774;7.636;0.0;4.465332918112591;-1.9258339050306275;0.186;4.8629244595557335;4.8664802783269785
465;3;30.919999999998254;70131.789;7.23;0.0;4.465399069340373;-1.93055337455707;0.164;4.864856131529437;4.86761966267698
466;3;30.93499999999767;70131.804;6.776;0.0;4.461943826668481;-1.940619657736927;0.19;4.86569084183736;4.869399076717778
467;3;30.948999999993248;70131.818;6.463;0.0;4.460902120130211;-1.9433185336862056;0.192;4.865812845635404;4.869599434116785
468;3;30.964999999996508;70131.834;6.135;0.0;4.4575331324211485;-1.9560697043568056;0.18;4.8678342530261665;4.871161084888778
469;3;30.978999999992084;70131.848;5.761;0.0;4.45630934735067;-1.9638924601457268;0.182;4.869863098106783;4.873262828362758
470;3;30.994999999995343;70131.864;5.408;0.0;4.455248740221749;-1.9671811188762176;0.182;4.87022000444647;4.873619485732403
471;3;31.00899999999092;70131.878;5.214;0.0;4.45587957683475;-1.9733314557856378;0.186;4.873284296821405;4.876832561985914
472;3;31.02499999999418;70131.894;4.893;0.0;4.452439119587405;-1.9839777123058486;0.188;4.874462193571576;4.878086271947086
473;3;31.038999999989755;70131.908;4.646;0.0;4.4498627739454575;-1.9908691928350801;0.188;4.874919368556301;4.878543107314454
474;3;31.054999999993015;70131.924;4.349;0.0;4.447418340401319;-1.9960498985771025;0.194;4.874807185125139;4.878665913151635
475;3;31.06899999998859;70131.938;4.236;0.0;4.448185953210668;-1.998943678303335;0.19;4.8766929474152425;4.880392822649583
476;3;31.08499999999185;70131.954;4.029;0.0;4.4449091682896205;-2.008703024951602;0.194;4.877715177908079;4.881571607258756
477;3;31.098999999987427;70131.968;3.818;0.0;4.444335236146876;-2.0134341684598955;0.192;4.87914263390388;4.882918885459649
478;3;31.114999999990687;70131.984;3.595;0.0;4.440958705947251;-2.0206407936956734;0.194;4.879047391148784;4.882902768341364
479;3;31.129000000000815;70131.998;3.566;0.0;4.438152756730345;-2.021167725946197;0.194;4.876711891067554;4.880569113175192
480;3;31.144999999989523;70132.014;3.424;0.0;4.438667297071296;-2.0282706292784893;0.198;4.880127981895963;4.884143028176382
481;3;31.15899999999965;70132.028;3.295;0.0;4.436818332988925;-2.034888422981065;0.196;4.881201472376344;4.885134984207601
482;3;31.17499999998836;70132.044;3.161;0.0;4.435740543329178;-2.0406616094971306;0.196;4.882631869413221;4.8865642298254555
483;3;31.188999999998487;70132.058;3.173;0.0;4.435484274065704;-2.044657397728783;0.202;4.884070496990313;4.888245965535205
484;3;31.204999999987194;70132.074;3.124;0.0;4.431336518509492;-2.050643628210079;0.204;4.882815031331253;4.887074649541833
485;3;31.218999999997322;70132.088;3.084;0.0;4.427946743178852;-2.0509166509270798;0.206;4.879853631972803;4.8841997778016975
486;3;31.235000000000582;70132.104;3.023;0.0;4.431392815552472;-2.0515741595605235;0.204;4.883256988722438;4.8875162217538
487;3;31.24899999999616;70132.118;3.1;0.0;4.429502901163721;-2.054286532463992;0.206;4.882682573020772;4.887026203007382
488;3;31.264999999999418;70132.134;3.092;0.0;4.429422500385833;-2.0573593827068013;0.206;4.883903286976104;4.888245832252711
489;3;31.278999999994994;70132.148;3.063;0.0;4.42840682271936;-2.054621137422973;0.208;4.881829063563436;4.886258180433434
490;3;31.294999999998254;70132.164;57.603;0.0;4.426097417897935;-2.061862717584332;0.21;4.882787750751308;4.887301527314129
491;0;31.30899999999383;70132.178;5.124;0.0;4.452961449116601;-2.059381225940443;0.174;4.906110139517312;4.9091947100389675
494;0;31.90899999999965;70132.778;5.096;0.0;4.447117621688423;-2.081928350047431;0.218;4.910323899282298;4.915160709057529
497;0;32.50999999999476;70133.379;5.104;0.0;4.44697668619569;-2.085916289427429;0.234;4.911888477364555;4.9174591420841205
500;0;33.10899999999674;70133.978;5.108;0.0;4.450892125067481;-2.0833484796491812;0.216;4.9143444727292245;4.919089102328223
503;0;33.70899999998801;70134.578;5.092;0.0;4.452545593679768;-2.0833332799803803;0.232;4.915835617600626;4.921307125070628
506;0;34.30899999999383;70135.178;5.104;0.0;4.451343960312387;-2.0840933318154304;0.238;4.915069487680425;4.920828392529769
510;0;38.22499999999127;70139.094;5.12;0.0;4.511274161177889;-1.9986318330901431;0.23;4.934179137562046;4.939536796254537
513;0;38.85199999999895;70139.721;5.137;0.0;4.50751134378942;-2.0127439715540163;0.286;4.936476153028326;4.944754069659819
516;0;39.45299999999406;70140.322;5.137;0.0;4.516457175399265;-2.012201523010383;0.302;4.9444251826092795;4.953639509130717
519;0;40.05199999999604;70140.921;5.132;0.0;4.517270454525276;-2.0097964646338786;0.328;4.944189942607569;4.955057839075326
522;0;40.65299999999115;70141.522;5.132;0.0;4.519362076097127;-2.0031543918719503;0.316;4.94340581912317;4.953495441861314
525;0;41.25299999999697;70142.122;5.096;0.0;4.515691428652164;-2.012685900966816;0.308;4.943922897330947;4.95350760721665
528;4;41.85299999998824;70142.722;3.063;0.0;4.478919431038951;-2.03758141565592;0.308;4.920615540271833;4.930245561345263
529;4;41.87299999999232;70142.742;3.092;0.0;4.479776368735531;-2.0390249335141606;0.29;4.921993396315535;4.930529281261164
530;4;41.887999999991735;70142.757;3.063;0.0;4.481411931874772;-2.041546103450096;0.302;4.924526717935628;4.9337782069790945
531;4;41.90199999998731;70142.771;3.019;0.0;4.475348705560802;-2.0417895797589187;0.324;4.919110765613725;4.929769439271664
532;4;41.91799999999057;70142.787;3.14;0.0;4.476174837272593;-2.0440492071820864;0.322;4.920800578687785;4.931324602499215
533;4;41.9320000000007;70142.801;3.205;0.0;4.476064816962577;-2.043951582748484;0.322;4.920659947432891;4.931184271376427
534;4;41.947999999989406;70142.817;3.258;0.0;4.479544121742625;-2.0442897627609256;0.322;4.923965492645945;4.934482766488098
535;4;41.962999999988824;70142.832;3.319;0.0;4.478711922074123;-2.0436750089466145;0.324;4.922953181081639;4.933603553501419
