;cell type;cell subtype;bead type;drug;substrate;compNum;EChadwick;H0Chadwick;surroundingThickness;ctFieldThickness
229;3T3;aSFL;M450;none;20um fibronectin discs;5;1842.192813373669;575.5370664334713;397.6982199299755;448.59945827274487
230;3T3;aSFL;M450;none;20um fibronectin discs;6;1430.7638298713948;621.5863269320404;404.3024125120546;448.59945827274487
231;3T3;aSFL;M450;none;20um fibronectin discs;7;1293.4821112537004;712.4257600129536;457.92681340500985;448.59945827274487
232;3T3;aSFL;M450;none;20um fibronectin discs;8;1644.6155036701523;603.5373653437116;410.0137931967352;448.59945827274487
233;3T3;aSFL;M450;none;20um fibronectin discs;9;1660.7406118904378;582.3011890178732;403.0722430864503;448.59945827274487
234;3T3;aSFL;M450;none;20um fibronectin discs;10;2675.671821045288;563.9152390222072;435.07771292586494;448.59945827274487
235;3T3;aSFL;M450;none;20um fibronectin discs;11;1711.413433566874;687.072331077008;483.6795175991301;448.59945827274487
236;3T3;aSFL;M450;none;20um fibronectin discs;1;12683.76660535714;352.8892963292703;333.98190674624493;320.4526960789849
237;3T3;aSFL;M450;none;20um fibronectin discs;6;7886.416031690756;374.10572510718265;315.9095921744697;320.4526960789849
238;3T3;aSFL;M450;none;20um fibronectin discs;7;9713.15754881979;341.5528970294895;311.4590761829349;320.4526960789849
239;3T3;aSFL;M450;none;20um fibronectin discs;8;5748.37414169804;396.1279637915959;340.07925416543003;320.4526960789849
240;3T3;aSFL;M450;none;20um fibronectin discs;9;8536.577906127723;361.7279720474364;338.461994101885;320.4526960789849
241;3T3;aSFL;M450;none;20um fibronectin discs;10;9829.763466464105;368.5756826297306;339.6993838221101;320.4526960789849
242;3T3;aSFL;M450;none;20um fibronectin discs;11;5313.508459479389;412.98278630772745;300.3589726121445;320.4526960789849
243;3T3;aSFL;M450;none;20um fibronectin discs;12;12394.922465351763;330.92091802104704;266.2717248593749;320.4526960789849
244;3T3;aSFL;M450;none;20um fibronectin discs;1;3558.6271364969607;440.4379002125984;326.4964215674645;355.5553204110006
245;3T3;aSFL;M450;none;20um fibronectin discs;2;7127.964531648604;303.1962577578607;251.08560041985493;355.5553204110006
246;3T3;aSFL;M450;none;20um fibronectin discs;3;9267.327095617173;278.33490959888;231.18127351222483;355.5553204110006
247;3T3;aSFL;M450;none;20um fibronectin discs;4;6838.771922319178;298.42744220951005;230.99619772924507;355.5553204110006
248;3T3;aSFL;M450;none;20um fibronectin discs;5;6380.245532275664;340.42602210310986;261.18102684798487;355.5553204110006
